Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.013346181654642714e+04,3.450188680065343849e+00
1.013346183746518545e+04,3.450188700459307700e+00
1.013346185838394376e+04,3.450188720843920809e+00
1.013346187930270389e+04,3.450188741219184063e+00
1.013346190022146220e+04,3.450188761585094355e+00
1.013346192114022051e+04,3.450188781941653016e+00
1.013346194205897882e+04,3.450188802288859158e+00
1.013346196297773713e+04,3.450188822626713669e+00
1.013346198389649544e+04,3.450188842955216106e+00
1.013346200481525375e+04,3.450188863274366025e+00
1.013346202573401206e+04,3.450188883584163868e+00
1.013346204665277219e+04,3.450188903884610081e+00
1.013346206757153050e+04,3.450188924175702887e+00
1.013346208849028881e+04,3.450188944457441398e+00
1.013346210940904712e+04,3.450188964729827390e+00
1.013346213032780543e+04,3.450188984992860863e+00
1.013346215124656374e+04,3.450189005246540042e+00
1.013346217216532204e+04,3.450189025490865813e+00
1.013346219308408035e+04,3.450189045725838177e+00
1.013346221400284048e+04,3.450189065951458023e+00
1.013346223492159879e+04,3.450189086167722685e+00
1.013346225584035710e+04,3.450189106374632608e+00
1.013346227675911541e+04,3.450189126572188680e+00
1.013346229767787372e+04,3.450189146760390013e+00
1.013346231859663203e+04,3.450189166939236607e+00
1.013346233951539034e+04,3.450189187108728461e+00
1.013346236043414865e+04,3.450189207268865577e+00
1.013346238135290878e+04,3.450189227419648841e+00
1.013346240227166709e+04,3.450189247561075589e+00
1.013346242319042540e+04,3.450189267693147155e+00
1.013346244410918371e+04,3.450189287815862649e+00
1.013346246502794202e+04,3.450189307929223403e+00
1.013346248594670033e+04,3.450189328033227643e+00
1.013346250686545864e+04,3.450189348127875366e+00
1.013346252778421695e+04,3.450189368213167462e+00
1.013346254870297707e+04,3.450189388289105263e+00
1.013346256962173538e+04,3.450189408355684328e+00
1.013346259054049369e+04,3.450189428412906878e+00
1.013346261145925200e+04,3.450189448460773356e+00
1.013346263237801031e+04,3.450189468499282430e+00
1.013346265329676862e+04,3.450189488528434101e+00
1.013346267421552693e+04,3.450189508548228812e+00
1.013346269513428706e+04,3.450189528558668339e+00
1.013346271605304537e+04,3.450189548559747799e+00
1.013346273697180368e+04,3.450189568551469854e+00
1.013346275789056199e+04,3.450189588533834950e+00
1.013346277880932030e+04,3.450189608506840866e+00
1.013346279972807861e+04,3.450189628470489378e+00
1.013346282064683692e+04,3.450189648424779154e+00
1.013346284156559523e+04,3.450189668369710638e+00
1.013346286248435536e+04,3.450189688305285607e+00
1.013346288340311366e+04,3.450189708231500507e+00
1.013346290432187197e+04,3.450189728148355783e+00
1.013346292524063028e+04,3.450189748055852323e+00
1.013346294615938859e+04,3.450189767953989239e+00
1.013346296707814690e+04,3.450189787842766975e+00
1.013346298799690521e+04,3.450189807722185975e+00
1.013346300891566352e+04,3.450189827592244907e+00
1.013346302983442365e+04,3.450189847452945546e+00
1.013346305075318196e+04,3.450189867304284785e+00
1.013346307167194027e+04,3.450189887146263512e+00
1.013346309259069858e+04,3.450189906978882615e+00
1.013346311350945689e+04,3.450189926802140761e+00
