Time (BJD_TBD - 2450000), L_b/L_star (ppm)
7.275322532253225290e+03,3.819121254179526090e+02
7.275325532553255471e+03,3.767956306971055938e+02
7.275328532853285651e+03,3.716845082093453243e+02
7.275331533153314922e+03,3.665795536891907886e+02
7.275334533453345102e+03,3.614815619062561609e+02
7.275337533753375283e+03,3.563913265507941901e+02
7.275340534053405463e+03,3.513096401039446164e+02
7.275343534353435643e+03,3.462372937158916102e+02
7.275346534653464914e+03,3.411750770842209590e+02
7.275349534953495095e+03,3.361237783248701021e+02
7.275352535253525275e+03,3.310841838586040922e+02
7.275355535553555455e+03,3.260570782824465823e+02
7.275358535853585636e+03,3.210432442490745188e+02
7.275361536153615816e+03,3.160434623449729088e+02
7.275364536453645087e+03,3.110585109703903299e+02
7.275367536753675267e+03,3.060891662121471199e+02
7.275370537053705448e+03,3.011362017318425615e+02
7.275373537353735628e+03,2.962003886393914627e+02
7.275376537653765808e+03,2.912824953744598702e+02
7.275379537953795079e+03,2.863832875883135216e+02
7.275382538253825260e+03,2.815035280186967270e+02
7.275385538553855440e+03,2.766439763799920115e+02
7.275388538853885620e+03,2.718053892389749535e+02
7.275391539153915801e+03,2.669885198985425063e+02
7.275394539453945072e+03,2.621941182818684979e+02
7.275397539753975252e+03,2.574229308098505840e+02
7.275400540054005432e+03,2.526757002936200820e+02
7.275403540354035613e+03,2.479531658130634071e+02
7.275406540654065793e+03,2.432560626032534117e+02
7.275409540954095064e+03,2.385851219413432602e+02
7.275412541254125244e+03,2.339410710270939262e+02
7.275415541554155425e+03,2.293246328781462751e+02
7.275418541854185605e+03,2.247365262117915847e+02
7.275421542154215786e+03,2.201774653344852197e+02
7.275424542454245056e+03,2.156481600320038865e+02
7.275427542754275237e+03,2.111493154534881853e+02
7.275430543054305417e+03,2.066816320098567985e+02
7.275433543354335598e+03,2.022458052592928084e+02
7.275436543654365778e+03,1.978425258003157978e+02
7.275439543954395049e+03,1.934724791655988838e+02
7.275442544254425229e+03,1.891363457099326979e+02
7.275445544554455410e+03,1.848348005122616655e+02
7.275448544854485590e+03,1.805685132652774882e+02
7.275451545154515770e+03,1.763381481724882462e+02
7.275454545454545041e+03,1.721443638460661987e+02
7.275457545754575222e+03,1.679878131992422539e+02
7.275460546054605402e+03,1.638691433522771490e+02
7.275463546354635582e+03,1.597889955266458344e+02
7.275466546654665763e+03,1.557480049464396075e+02
7.275469546954695033e+03,1.517468007407115067e+02
7.275472547254725214e+03,1.477860058406787687e+02
7.275475547554755394e+03,1.438662368900161255e+02
7.275478547854785575e+03,1.399881041439942351e+02
7.275481548154815755e+03,1.361522113756782346e+02
7.275484548454845935e+03,1.323591557819504771e+02
7.275487548754875206e+03,1.286095278916444613e+02
7.275490549054905387e+03,1.249039114690791621e+02
7.275493549354935567e+03,1.212428834299994804e+02
7.275496549654965747e+03,1.176270137472025397e+02
7.275499549954995928e+03,1.140568653629247677e+02
7.275502550255025199e+03,1.105329941022786500e+02
7.275505550555055379e+03,1.070559485824615820e+02
7.275508550855085559e+03,1.036262701337312109e+02
7.275511551155115740e+03,1.002444927108649324e+02
7.275514551455145920e+03,9.691114281108551154e+01
7.275517551755175191e+03,9.362673939310118953e+01
7.275520552055205371e+03,9.039179379232842848e+01
