Time (BJD_TBD - 2450000), F_g/F_star (ppm)
9.917472040194710644e+03,7.719207256465065825e+01
9.917472061840393508e+03,7.719266533310512557e+01
9.917472083486076372e+03,7.719325809915748948e+01
9.917472105131759236e+03,7.719385086280770736e+01
9.917472126777442099e+03,7.719444362405565130e+01
9.917472148423126782e+03,7.719503638295111614e+01
9.917472170068809646e+03,7.719562913939438431e+01
9.917472191714492510e+03,7.719622189343517960e+01
9.917472213360175374e+03,7.719681464507345936e+01
9.917472235005858238e+03,7.719740739430913834e+01
9.917472256651541102e+03,7.719800014114214548e+01
9.917472278297223966e+03,7.719859288557239552e+01
9.917472299942906830e+03,7.719918562759986003e+01
9.917472321588591512e+03,7.719977836727422016e+01
9.917472343234274376e+03,7.720037110449582940e+01
9.917472364879957240e+03,7.720096383931441153e+01
9.917472386525640104e+03,7.720155657172988128e+01
9.917472408171322968e+03,7.720214930174213919e+01
9.917472429817005832e+03,7.720274202935118524e+01
9.917472451462688696e+03,7.720333475455693417e+01
9.917472473108371560e+03,7.720392747735928651e+01
9.917472494754056243e+03,7.720452019780795183e+01
9.917472516399739106e+03,7.720511291580329782e+01
9.917472538045421970e+03,7.720570563139503406e+01
9.917472559691104834e+03,7.720629834458308949e+01
9.917472581336787698e+03,7.720689105536739305e+01
9.917472602982470562e+03,7.720748376374788791e+01
9.917472624628153426e+03,7.720807646972450300e+01
9.917472646273836290e+03,7.720866917329711043e+01
9.917472667919520973e+03,7.720926187451553346e+01
9.917472689565203837e+03,7.720985457328001189e+01
9.917472711210886700e+03,7.721044726964031213e+01
9.917472732856569564e+03,7.721103996359636312e+01
9.917472754502252428e+03,7.721163265514810803e+01
9.917472776147935292e+03,7.721222534429543316e+01
9.917472797793618156e+03,7.721281803103829589e+01
9.917472819439301020e+03,7.721341071537662515e+01
9.917472841084983884e+03,7.721400339731034990e+01
9.917472862730668567e+03,7.721459607688917970e+01
9.917472884376351431e+03,7.721518875401346804e+01
9.917472906022034294e+03,7.721578142873289607e+01
9.917472927667717158e+03,7.721637410104744959e+01
9.917472949313400022e+03,7.721696677095704331e+01
9.917472970959082886e+03,7.721755943846157777e+01
9.917472992604765750e+03,7.721815210356101034e+01
9.917473014250448614e+03,7.721874476625524153e+01
9.917473035896133297e+03,7.721933742659403777e+01
