Time (BJD_TBD - 2450000), L_g/L_star (ppm)
1.061387115652073226e+04,3.581987868859678059e+01
1.061387117247603237e+04,3.581969619383815484e+01
1.061387118843133067e+04,3.581951369838579069e+01
1.061387120438663078e+04,3.581933120219806455e+01
1.061387122034192907e+04,3.581914870531662842e+01
1.061387123629722919e+04,3.581896620769985873e+01
1.061387125225252748e+04,3.581878370938937906e+01
1.061387126820782760e+04,3.581860121034361555e+01
1.061387128416312771e+04,3.581841871058335869e+01
1.061387130011842601e+04,3.581823621012945580e+01
1.061387131607372612e+04,3.581805370894026908e+01
1.061387133202902442e+04,3.581787120705743632e+01
1.061387134798432453e+04,3.581768870443938368e+01
1.061387136393962282e+04,3.581750620112770633e+01
1.061387137989492294e+04,3.581732369708081620e+01
1.061387139585022123e+04,3.581714119234032268e+01
1.061387141180552135e+04,3.581695868686465190e+01
1.061387142776081964e+04,3.581677618069540614e+01
1.061387144371611976e+04,3.581659367379099734e+01
1.061387145967141805e+04,3.581641116619302778e+01
1.061387147562671817e+04,3.581622865785993071e+01
1.061387149158201646e+04,3.581604614883331550e+01
1.061387150753731657e+04,3.581586363907155857e+01
1.061387152349261487e+04,3.581568112861632613e+01
1.061387153944791498e+04,3.581549861742599461e+01
1.061387155540321328e+04,3.581531610554218759e+01
1.061387157135851339e+04,3.581513359292330989e+01
1.061387158731381169e+04,3.581495107961097801e+01
1.061387160326911180e+04,3.581476856556361810e+01
1.061387161922441010e+04,3.581458605082281821e+01
1.061387163517971021e+04,3.581440353534699739e+01
1.061387165113500851e+04,3.581422101917777923e+01
1.061387166709030862e+04,3.581403850227356145e+01
1.061387168304560691e+04,3.581385598467596054e+01
1.061387169900090703e+04,3.581367346634338844e+01
1.061387171495620532e+04,3.581349094731747584e+01
1.061387173091150544e+04,3.581330842755658495e+01
1.061387174686680373e+04,3.581312590710238197e+01
1.061387176282210385e+04,3.581294338591325044e+01
1.061387177877740396e+04,3.581276086401000924e+01
1.061387179473270226e+04,3.581257834141348440e+01
1.061387181068800237e+04,3.581239581808205941e+01
1.061387182664330066e+04,3.581221329405736498e+01
1.061387184259860078e+04,3.581203076929780593e+01
1.061387185855389907e+04,3.581184824384501297e+01
1.061387187450919919e+04,3.581166571765736961e+01
1.061387189046449748e+04,3.581148319077648523e+01
1.061387190641979760e+04,3.581130066316081439e+01
1.061387192237509589e+04,3.581111813485193807e+01
1.061387193833039601e+04,3.581093560580826107e+01
1.061387195428569430e+04,3.581075307607140701e+01
1.061387197024099441e+04,3.581057054559978781e+01
1.061387198619629271e+04,3.581038801443501995e+01
1.061387200215159282e+04,3.581020548253551539e+01
1.061387201810689112e+04,3.581002294994287638e+01
1.061387203406219123e+04,3.580984041661551487e+01
1.061387205001748953e+04,3.580965788259504734e+01
1.061387206597278964e+04,3.580947534783989283e+01
1.061387208192808794e+04,3.580929281239166784e+01
1.061387209788338805e+04,3.580911027620877007e+01
1.061387211383868635e+04,3.580892773933279472e+01
1.061387212979398646e+04,3.580874520172217501e+01
1.061387214574928475e+04,3.580856266341854877e+01
1.061387216170458487e+04,3.580838012438027818e+01
1.061387217765988316e+04,3.580819758464901525e+01
1.061387219361518328e+04,3.580801504418312931e+01
1.061387220957048157e+04,3.580783250302427945e+01
1.061387222552578169e+04,3.580764996113085630e+01
1.061387224148107998e+04,3.580746741854448345e+01
1.061387225743638010e+04,3.580728487522352310e+01
1.061387227339168021e+04,3.580710233118885100e+01
1.061387228934697850e+04,3.580691978646125051e+01
1.061387230530227862e+04,3.580673724099913358e+01
1.061387232125757691e+04,3.580655469484413089e+01
1.061387233721287703e+04,3.580637214795462597e+01
1.061387235316817532e+04,3.580618960037224241e+01
1.061387236912347544e+04,3.580600705205539924e+01
1.061387238507877373e+04,3.580582450304571296e+01
1.061387240103407385e+04,3.580564195330156707e+01
1.061387241698937214e+04,3.580545940286459938e+01
1.061387243294467225e+04,3.580527685169321472e+01
1.061387244889997055e+04,3.580509429982903669e+01
1.061387246485527066e+04,3.580491174723045589e+01
1.061387248081056896e+04,3.580472919393909592e+01
1.061387249676586907e+04,3.580454663991336162e+01
1.061387251272116737e+04,3.580436408519487657e+01
1.061387252867646748e+04,3.580418152974203849e+01
1.061387254463176578e+04,3.580399897359647099e+01
1.061387256058706589e+04,3.580381641671658599e+01
1.061387257654236419e+04,3.580363385914399998e+01
1.061387259249766430e+04,3.580345130083711069e+01
1.061387260845296260e+04,3.580326874183754171e+01
1.061387262440826271e+04,3.580308618210366944e+01
1.061387264036356100e+04,3.580290362167718143e+01
1.061387265631886112e+04,3.580272106051642567e+01
1.061387267227415941e+04,3.580253849866303995e+01
1.061387268822945953e+04,3.580235593607542199e+01
1.061387270418475782e+04,3.580217337279518830e+01
1.061387272014005794e+04,3.580199080878075790e+01
1.061387273609535623e+04,3.580180824407375439e+01
1.061387275205065635e+04,3.580162567863253997e+01
1.061387276800595646e+04,3.580144311247798328e+01
1.061387278396125475e+04,3.580126054563086768e+01
1.061387279991655487e+04,3.580107797804961223e+01
1.061387281587185316e+04,3.580089540977584051e+01
1.061387283182715328e+04,3.580071284076794313e+01
1.061387284778245157e+04,3.580053027106754371e+01
1.061387286373775169e+04,3.580034770063305416e+01
1.061387287969304998e+04,3.580016512950608387e+01
1.061387289564835010e+04,3.579998255764504478e+01
1.061387291160364839e+04,3.579979998509154626e+01
1.061387292755894850e+04,3.579961741180399315e+01
1.061387294351424680e+04,3.579943483782403035e+01
1.061387295946954691e+04,3.579925226311003428e+01
1.061387297542484521e+04,3.579906968770364273e+01
1.061387299138014532e+04,3.579888711156322501e+01
1.061387300733544362e+04,3.579870453473046155e+01
1.061387302329074373e+04,3.579852195716370034e+01
1.061387303924604203e+04,3.579833937890459339e+01
1.061387305520134214e+04,3.579815679991153132e+01
1.061387307115664044e+04,3.579797422022613773e+01
1.061387308711194055e+04,3.579779163980681034e+01
1.061387310306723884e+04,3.579760905869518695e+01
1.061387311902253896e+04,3.579742647684965107e+01
1.061387313497783725e+04,3.579724389431183340e+01
1.061387315093313737e+04,3.579706131104013167e+01
1.061387316688843566e+04,3.579687872707618368e+01
1.061387318284373578e+04,3.579669614237835873e+01
1.061387319879903407e+04,3.579651355698832305e+01
1.061387321475433419e+04,3.579633097086442461e+01
1.061387323070963248e+04,3.579614838404835098e+01
1.061387324666493259e+04,3.579596579649843591e+01
