Time (BJD_TBD - 2450000), F_h/F_star (ppm)
1.014094465960125126e+04,1.215399153567107149e+00
1.014094467844804421e+04,1.215437171418262574e+00
1.014094469729483535e+04,1.215475189836147329e+00
1.014094471614162831e+04,1.215513208828092884e+00
1.014094473498841944e+04,1.215551228386766214e+00
1.014094475383521240e+04,1.215589248519498566e+00
1.014094477268200535e+04,1.215627269222621987e+00
1.014094479152879649e+04,1.215665290492464079e+00
1.014094481037558944e+04,1.215703312336363862e+00
1.014094482922238058e+04,1.215741334746980762e+00
1.014094484806917353e+04,1.215779357731650023e+00
1.014094486691596467e+04,1.215817381283034848e+00
1.014094488576275762e+04,1.215855405408468481e+00
1.014094490460954876e+04,1.215893430100614125e+00
1.014094492345634171e+04,1.215931455366807024e+00
1.014094494230313285e+04,1.215969481199706825e+00
1.014094496114992580e+04,1.216007507606651883e+00
1.014094497999671694e+04,1.216045534580302290e+00
1.014094499884350989e+04,1.216083562127992845e+00
1.014094501769030103e+04,1.216121590242386752e+00
1.014094503653709398e+04,1.216159618930817699e+00
1.014094505538388512e+04,1.216197648185946667e+00
1.014094507423067807e+04,1.216235678015112454e+00
1.014094509307746921e+04,1.216273708410973153e+00
1.014094511192426216e+04,1.216311739380867118e+00
1.014094513077105330e+04,1.216349770917452444e+00
1.014094514961784625e+04,1.216387803028067705e+00
1.014094516846463739e+04,1.216425835705372549e+00
1.014094518731143035e+04,1.216463868956703775e+00
1.014094520615822330e+04,1.216501902778389654e+00
1.014094522500501444e+04,1.216539937166761787e+00
1.014094524385180739e+04,1.216577972129154972e+00
1.014094526269859853e+04,1.216616007658231080e+00
1.014094528154539148e+04,1.216654043761324910e+00
1.014094530039218262e+04,1.216692080431098111e+00
1.014094531923897557e+04,1.216730117674887257e+00
1.014094533808576671e+04,1.216768155485352221e+00
1.014094535693255966e+04,1.216806193869830022e+00
1.014094537577935080e+04,1.216844232820979865e+00
1.014094539462614375e+04,1.216882272346139215e+00
1.014094541347293489e+04,1.216920312437969054e+00
