Time (BJD_TBD - 2450000), L_d/L_star (ppm)
7.261497149714971783e+03,1.718222412048257297e+01
7.261500150015001054e+03,1.745861067319425430e+01
7.261503150315031235e+03,1.773701178317514504e+01
7.261506150615061415e+03,1.801742141745133452e+01
7.261509150915091595e+03,1.829983349960815886e+01
7.261512151215121776e+03,1.858424190983833668e+01
7.261515151515151956e+03,1.887064048507461678e+01
7.261518151815181227e+03,1.915902301903558680e+01
7.261521152115211407e+03,1.944938326271042683e+01
7.261524152415241588e+03,1.974171492396983396e+01
7.261527152715271768e+03,2.003601166805146505e+01
7.261530153015301948e+03,2.033226711761006555e+01
7.261533153315331219e+03,2.063047485276492665e+01
7.261536153615361400e+03,2.093062841160129750e+01
7.261539153915391580e+03,2.123272128976790540e+01
7.261542154215421760e+03,2.153674694097898978e+01
7.261545154515451941e+03,2.184269877706604035e+01
7.261548154815481212e+03,2.215057016802687784e+01
7.261551155115511392e+03,2.246035444254332702e+01
7.261554155415541572e+03,2.277204488756570200e+01
7.261557155715571753e+03,2.308563474883111510e+01
7.261560156015601933e+03,2.340111723091670370e+01
7.261563156315631204e+03,2.371848549729045175e+01
7.261566156615661384e+03,2.403773267084474696e+01
7.261569156915691565e+03,2.435885183346809413e+01
7.261572157215721745e+03,2.468183602657937570e+01
7.261575157515751926e+03,2.500667825118265952e+01
7.261578157815781196e+03,2.533337146791956584e+01
7.261581158115811377e+03,2.566190859761848486e+01
7.261584158415841557e+03,2.599228252085383772e+01
7.261587158715871738e+03,2.632448607849586963e+01
7.261590159015901918e+03,2.665851207176706694e+01
7.261593159315931189e+03,2.699435326229604470e+01
7.261596159615961369e+03,2.733200237268219368e+01
7.261599159915991549e+03,2.767145208604252815e+01
7.261602160216021730e+03,2.801269504657695109e+01
7.261605160516051910e+03,2.835572385962607456e+01
7.261608160816081181e+03,2.870053109172670958e+01
7.261611161116111361e+03,2.904710927119151265e+01
7.261614161416141542e+03,2.939545088764387515e+01
7.261617161716171722e+03,2.974554839259809924e+01
7.261620162016201903e+03,3.009739419951875661e+01
7.261623162316231173e+03,3.045098068387773438e+01
7.261626162616261354e+03,3.080630018374856860e+01
7.261629162916291534e+03,3.116334499932946400e+01
7.261632163216321715e+03,3.152210739353836644e+01
7.261635163516351895e+03,3.188257959207359704e+01
7.261638163816382075e+03,3.224475378358248179e+01
