Time (BJD_TBD - 2450000), F_h/F_star (ppm)
1.062595113132848564e+04,2.417566008589087545e+00
1.062595115000627993e+04,2.417515831905327151e+00
1.062595116868407240e+04,2.417465655699901017e+00
1.062595118736186669e+04,2.417415479963041847e+00
1.062595120603966097e+04,2.417365304699635953e+00
1.062595122471745344e+04,2.417315129914569649e+00
1.062595124339524773e+04,2.417264955598073417e+00
1.062595126207304202e+04,2.417214781755038455e+00
1.062595128075083630e+04,2.417164608385466540e+00
1.062595129942862877e+04,2.417114435494242208e+00
1.062595131810642306e+04,2.417064263071599051e+00
1.062595133678421735e+04,2.417014091122422048e+00
1.062595135546200981e+04,2.416963919651599291e+00
1.062595137413980410e+04,2.416913748649359484e+00
1.062595139281759839e+04,2.416863578120595601e+00
1.062595141149539086e+04,2.416813408070192182e+00
1.062595143017318514e+04,2.416763238488381482e+00
1.062595144885097943e+04,2.416713069380049816e+00
1.062595146752877190e+04,2.416662900750083054e+00
1.062595148620656619e+04,2.416612732588714341e+00
1.062595150488436047e+04,2.416562564900827770e+00
1.062595152356215294e+04,2.416512397691316316e+00
1.062595154223994723e+04,2.416462230950408685e+00
1.062595156091774152e+04,2.416412064682991634e+00
1.062595157959553399e+04,2.416361898893950588e+00
1.062595159827332827e+04,2.416311733573519138e+00
1.062595161695112256e+04,2.416261568726585818e+00
1.062595163562891503e+04,2.416211404358038717e+00
1.062595165430670932e+04,2.416161240458102100e+00
1.062595167298450360e+04,2.416111077031671606e+00
1.062595169166229607e+04,2.416060914083627775e+00
1.062595171034009036e+04,2.416010751604209084e+00
1.062595172901788465e+04,2.415960589598293407e+00
1.062595174769567893e+04,2.415910428065891846e+00
1.062595176637347140e+04,2.415860267011886720e+00
1.062595178505126569e+04,2.415810106426512949e+00
1.062595180372905998e+04,2.415759946314653739e+00
1.062595182240685244e+04,2.415709786681198512e+00
1.062595184108464673e+04,2.415659627516377750e+00
1.062595185976244102e+04,2.415609468825076434e+00
1.062595187844023349e+04,2.415559310612187538e+00
1.062595189711802777e+04,2.415509152867939324e+00
1.062595191579582206e+04,2.415458995597220326e+00
1.062595193447361453e+04,2.415408838804913305e+00
1.062595195315140882e+04,2.415358682481257180e+00
1.062595197182920310e+04,2.415308526631133379e+00
1.062595199050699557e+04,2.415258371259427772e+00
1.062595200918478986e+04,2.415208216356374837e+00
1.062595202786258415e+04,2.415158061926865329e+00
1.062595204654037661e+04,2.415107907975779344e+00
1.062595206521817090e+04,2.415057754493355358e+00
1.062595208389596519e+04,2.415007601484476574e+00
1.062595210257375766e+04,2.414957448954028862e+00
1.062595212125155194e+04,2.414907296892247146e+00
1.062595213992934623e+04,2.414857145304013297e+00
1.062595215860713870e+04,2.414806994194220735e+00
1.062595217728493299e+04,2.414756843553099941e+00
1.062595219596272727e+04,2.414706693385535452e+00
1.062595221464052156e+04,2.414656543691532153e+00
1.062595223331831403e+04,2.414606394475968365e+00
1.062595225199610832e+04,2.414556245729092776e+00
1.062595227067390260e+04,2.414506097455774825e+00
1.062595228935169507e+04,2.414455949660911038e+00
1.062595230802948936e+04,2.414405802334733675e+00
1.062595232670728365e+04,2.414355655482127272e+00
1.062595234538507611e+04,2.414305509107976366e+00
1.062595236406287040e+04,2.414255363202514992e+00
1.062595238274066469e+04,2.414205217770634349e+00
1.062595240141845716e+04,2.414155072817214087e+00
1.062595242009625144e+04,2.414104928332492683e+00
1.062595243877404573e+04,2.414054784321355562e+00
1.062595245745183820e+04,2.414004640788683709e+00
1.062595247612963249e+04,2.413954497724717374e+00
1.062595249480742677e+04,2.413904355134336210e+00
1.062595251348521924e+04,2.413854213022431860e+00
1.062595253216301353e+04,2.413804071379238358e+00
1.062595255084080782e+04,2.413753930209639353e+00
1.062595256951860028e+04,2.413703789518518938e+00
1.062595258819639457e+04,2.413653649296115589e+00
1.062595260687418886e+04,2.413603509547311621e+00
1.062595262555198133e+04,2.413553370276992904e+00
1.062595264422977561e+04,2.413503231475392585e+00
1.062595266290756990e+04,2.413453093147403195e+00
1.062595268158536419e+04,2.413402955293022067e+00
1.062595270026315666e+04,2.413352817917133741e+00
1.062595271894095094e+04,2.413302681009974915e+00
1.062595273761874523e+04,2.413252544576431013e+00
1.062595275629653770e+04,2.413202408621384354e+00
1.062595277497433199e+04,2.413152273135070747e+00
1.062595279365212627e+04,2.413102138122381390e+00
1.062595281232991874e+04,2.413052003588195937e+00
1.062595283100771303e+04,2.413001869522753307e+00
1.062595284968550732e+04,2.412951735930934927e+00
1.062595286836329979e+04,2.412901602817623559e+00
1.062595288704109407e+04,2.412851470173069668e+00
1.062595290571888836e+04,2.412801338002138252e+00
1.062595292439668083e+04,2.412751206309726726e+00
1.062595294307447512e+04,2.412701075086069569e+00
