Time (BJD_TBD - 2450000), L_c/L_star (ppm)
7.260621062106210957e+03,1.012149308478130507e+02
7.260624062406240228e+03,9.978025389925069533e+01
7.260627062706270408e+03,9.835281651766841549e+01
7.260630063006300588e+03,9.693270518961602988e+01
7.260633063306330769e+03,9.552000595733362331e+01
7.260636063606360949e+03,9.411480441397453944e+01
7.260639063906390220e+03,9.271718569884174599e+01
7.260642064206420400e+03,9.132723449053710851e+01
7.260645064506450581e+03,8.994503500437312482e+01
7.260648064806480761e+03,8.857067098557267570e+01
7.260651065106510941e+03,8.720422570462088174e+01
7.260654065406540212e+03,8.584578195262982092e+01
7.260657065706570393e+03,8.449542203467751733e+01
7.260660066006600573e+03,8.315322776729257725e+01
7.260663066306630753e+03,8.181928047184692332e+01
7.260666066606660934e+03,8.049366097004174492e+01
7.260669066906691114e+03,7.917644957901092084e+01
7.260672067206720385e+03,7.786772610684974438e+01
7.260675067506750565e+03,7.656756984619566708e+01
7.260678067806780746e+03,7.527605957180395535e+01
7.260681068106810926e+03,7.399327353418561870e+01
7.260684068406841106e+03,7.271928945526454413e+01
7.260687068706870377e+03,7.145418452405004928e+01
7.260690069006900558e+03,7.019803539042941054e+01
7.260693069306930738e+03,6.895091816282437946e+01
7.260696069606960918e+03,6.771290840204333961e+01
7.260699069906991099e+03,6.648408111708810964e+01
7.260702070207020370e+03,6.526451076097742998e+01
7.260705070507050550e+03,6.405427122476011448e+01
7.260708070807080730e+03,6.285343583525616395e+01
7.260711071107110911e+03,6.166207734913273697e+01
7.260714071407141091e+03,6.048026794886635571e+01
7.260717071707170362e+03,5.930807923872421838e+01
7.260720072007200542e+03,5.814558223900681355e+01
7.260723072307230723e+03,5.699284738387709126e+01
7.260726072607260903e+03,5.584994451566872442e+01
7.260729072907291084e+03,5.471694288101126347e+01
7.260732073207320354e+03,5.359391112697345960e+01
7.260735073507350535e+03,5.248091729554550255e+01
7.260738073807380715e+03,5.137802882155887119e+01
7.260741074107410896e+03,5.028531252723588807e+01
7.260744074407441076e+03,4.920283461848311646e+01
7.260747074707470347e+03,4.813066068120338059e+01
7.260750075007500527e+03,4.706885567602490994e+01
7.260753075307530708e+03,4.601748393631614675e+01
7.260756075607560888e+03,4.497660916298405454e+01
7.260759075907591068e+03,4.394629442094153404e+01
7.260762076207620339e+03,4.292660213559380367e+01
7.260765076507650519e+03,4.191759408782301932e+01
7.260768076807680700e+03,4.091933141209960922e+01
7.260771077107710880e+03,3.993187459153863728e+01
7.260774077407741061e+03,3.895528345454592056e+01
7.260777077707770331e+03,3.798961717148434758e+01
7.260780078007800512e+03,3.703493424992096550e+01
7.260783078307830692e+03,3.609129253283866490e+01
7.260786078607860873e+03,3.515874919395731979e+01
7.260789078907891053e+03,3.423736073456404227e+01
