Time (BJD_TBD - 2450000), L_f/L_star (ppm)
7.283420342034203713e+03,1.308923459078530804e+01
7.283423342334232984e+03,1.303145516704844908e+01
7.283426342634263165e+03,1.297377629750740802e+01
7.283429342934293345e+03,1.291619822398375028e+01
7.283432343234323525e+03,1.285872118785897378e+01
7.283435343534353706e+03,1.280134543009104853e+01
7.283438343834383886e+03,1.274407119121320875e+01
7.283441344134413157e+03,1.268689871135054403e+01
7.283444344434443337e+03,1.262982823014962719e+01
7.283447344734473518e+03,1.257285998688123030e+01
7.283450345034503698e+03,1.251599422037028475e+01
7.283453345334533878e+03,1.245923116901222549e+01
7.283456345634563149e+03,1.240257107078890186e+01
7.283459345934593330e+03,1.234601416319902789e+01
7.283462346234623510e+03,1.228956068336032814e+01
7.283465346534653690e+03,1.223321086793978374e+01
7.283468346834683871e+03,1.217696495316962313e+01
7.283471347134713142e+03,1.212082317486363614e+01
7.283474347434743322e+03,1.206478576834800975e+01
7.283477347734773502e+03,1.200885296856240636e+01
7.283480348034803683e+03,1.195302500999092210e+01
7.283483348334833863e+03,1.189730212667813269e+01
7.283486348634863134e+03,1.184168455224499539e+01
7.283489348934893314e+03,1.178617251982033309e+01
7.283492349234923495e+03,1.173076626214118257e+01
7.283495349534953675e+03,1.167546601148430518e+01
7.283498349834983856e+03,1.162027199968190239e+01
7.283501350135013126e+03,1.156518445813760287e+01
7.283504350435043307e+03,1.151020361775861645e+01
7.283507350735073487e+03,1.145532970905488845e+01
7.283510351035103668e+03,1.140056296207139575e+01
7.283513351335133848e+03,1.134590360640384787e+01
7.283516351635163119e+03,1.129135187121430839e+01
7.283519351935193299e+03,1.123690798516398281e+01
7.283522352235223480e+03,1.118257217651170521e+01
7.283525352535253660e+03,1.112834467304645791e+01
7.283528352835283840e+03,1.107422570210345469e+01
7.283531353135313111e+03,1.102021549057911542e+01
7.283534353435343291e+03,1.096631426486477778e+01
7.283537353735373472e+03,1.091252225094410200e+01
7.283540354035403652e+03,1.085883967432648056e+01
7.283543354335433833e+03,1.080526676006256892e+01
7.283546354635463103e+03,1.075180373275932766e+01
7.283549354935493284e+03,1.069845081651463836e+01
7.283552355235523464e+03,1.064520823501328195e+01
7.283555355535553645e+03,1.059207621146131295e+01
7.283558355835583825e+03,1.053905496860128110e+01
7.283561356135614005e+03,1.048614472871132719e+01
7.283564356435643276e+03,1.043334571362024299e+01
7.283567356735673457e+03,1.038065814464247083e+01
7.283570357035703637e+03,1.032808224267335007e+01
7.283573357335733817e+03,1.027561822812408288e+01
7.283576357635763998e+03,1.022326632093667520e+01
7.283579357935793269e+03,1.017102674059909084e+01
7.283582358235823449e+03,1.011889970608090650e+01
7.283585358535853629e+03,1.006688543592734675e+01
7.283588358835883810e+03,1.001498414819506877e+01
7.283591359135913990e+03,9.963196060467089055e+00
7.283594359435943261e+03,9.911521389867516518e+00
7.283597359735973441e+03,9.859960352997948263e+00
7.283600360036003622e+03,9.808513166030673247e+00
7.283603360336033802e+03,9.757180044645007655e+00
7.283606360636063982e+03,9.705961204042063528e+00
7.283609360936093253e+03,9.654856858959353971e+00
7.283612361236123434e+03,9.603867223607878145e+00
7.283615361536153614e+03,9.552992511764303529e+00
7.283618361836183794e+03,9.502232936707979860e+00
7.283621362136213975e+03,9.451588711235572760e+00
7.283624362436243246e+03,9.401060047675494857e+00
7.283627362736273426e+03,9.350647157825688893e+00
7.283630363036303606e+03,9.300350253044799231e+00
7.283633363336333787e+03,9.250169544189857262e+00
7.283636363636363967e+03,9.200105241630780029e+00
7.283639363936393238e+03,9.150157555264625486e+00
7.283642364236423418e+03,9.100326694454095033e+00
7.283645364536453599e+03,9.050612868117633880e+00
7.283648364836483779e+03,9.001016284667874956e+00
7.283651365136513959e+03,8.951537152025974109e+00
7.283654365436543230e+03,8.902175677635474571e+00
7.283657365736573411e+03,8.852932068402132870e+00
7.283660366036603591e+03,8.803806530782145146e+00
7.283663366336633771e+03,8.754799270721935756e+00
7.283666366636663952e+03,8.705910493672030626e+00
7.283669366936693223e+03,8.657140404601047834e+00
7.283672367236723403e+03,8.608489207935610565e+00
7.283675367536753583e+03,8.559957107648370922e+00
7.283678367836783764e+03,8.511544307197867809e+00
7.283681368136813944e+03,8.463251009542517522e+00
7.283684368436844125e+03,8.415077417139734450e+00
7.283687368736873395e+03,8.367023731959683630e+00
7.283690369036903576e+03,8.319090155426090760e+00
7.283693369336933756e+03,8.271276888502946179e+00
7.283696369636963937e+03,8.223584131635265138e+00
7.283699369936994117e+03,8.176012084762854570e+00
7.283702370237023388e+03,8.128560947333825837e+00
7.283705370537053568e+03,8.081230918246326667e+00
7.283708370837083748e+03,8.034022195933937738e+00
7.283711371137113929e+03,7.986934978307195010e+00
7.283714371437144109e+03,7.939969462767377806e+00
7.283717371737173380e+03,7.893125846219728459e+00
7.283720372037203560e+03,7.846404325015794434e+00
7.283723372337233741e+03,7.799805095037965152e+00
7.283726372637263921e+03,7.753328351641713745e+00
7.283729372937294102e+03,7.706974289669021871e+00
7.283732373237323372e+03,7.660743103461537196e+00
7.283735373537353553e+03,7.614634986803842764e+00
7.283738373837383733e+03,7.568650133006481262e+00
7.283741374137413914e+03,7.522788734849344294e+00
7.283744374437444094e+03,7.477050984594738381e+00
7.283747374737473365e+03,7.431437074000426968e+00
7.283750375037503545e+03,7.385947194263480675e+00
7.283753375337533726e+03,7.340581536102535054e+00
7.283756375637563906e+03,7.295340289701738534e+00
7.283759375937594086e+03,7.250223644723447158e+00
7.283762376237623357e+03,7.205231790321414032e+00
7.283765376537653538e+03,7.160364915085387416e+00
7.283768376837683718e+03,7.115623207121946514e+00
7.283771377137713898e+03,7.071006853999412201e+00
7.283774377437744079e+03,7.026516042760550640e+00
7.283777377737773350e+03,6.982150959935228052e+00
7.283780378037803530e+03,6.937911791485965374e+00
7.283783378337833710e+03,6.893798722887718888e+00
7.283786378637863891e+03,6.849811939073403799e+00
7.283789378937894071e+03,6.805951624446392678e+00
7.283792379237923342e+03,6.762217962893211087e+00
7.283795379537953522e+03,6.718611137729713967e+00
7.283798379837983703e+03,6.675131331779662780e+00
7.283801380138013883e+03,6.631778727321170130e+00
7.283804380438044063e+03,6.588553506099016133e+00
7.283807380738074244e+03,6.545455849324109288e+00
7.283810381038103515e+03,6.502485937685341000e+00
7.283813381338133695e+03,6.459643951297207920e+00
7.283816381638163875e+03,6.416930069776945800e+00
7.283819381938194056e+03,6.374344472191619815e+00
7.283822382238224236e+03,6.331887337070602584e+00
7.283825382538253507e+03,6.289558842417513063e+00
7.283828382838283687e+03,6.247359165658108893e+00
7.283831383138313868e+03,6.205288483716794090e+00
7.283834383438344048e+03,6.163346972964212078e+00
7.283837383738374228e+03,6.121534809229565610e+00
7.283840384038403499e+03,6.079852167812292763e+00
7.283843384338433680e+03,6.038299223431102369e+00
7.283846384638463860e+03,5.996876150298875885e+00
7.283849384938494040e+03,5.955583122071283597e+00
7.283852385238524221e+03,5.914420311858926027e+00
7.283855385538553492e+03,5.873387892238871366e+00
7.283858385838583672e+03,5.832486035204292207e+00
7.283861386138613852e+03,5.791714912238321133e+00
7.283864386438644033e+03,5.751074694263562215e+00
7.283867386738674213e+03,5.710565551653876248e+00
7.283870387038703484e+03,5.670187654245721909e+00
7.283873387338733664e+03,5.629941171288827206e+00
7.283876387638763845e+03,5.589826271518559153e+00
7.283879387938794025e+03,5.549843123106508180e+00
7.283882388238824205e+03,5.509991893671871921e+00
7.283885388538853476e+03,5.470272750292946462e+00
7.283888388838883657e+03,5.430685859458030507e+00
7.283891389138913837e+03,5.391231387137212394e+00
7.283894389438944017e+03,5.351909498733419035e+00
7.283897389738974198e+03,5.312720359093639821e+00
7.283900390039003469e+03,5.273664132520260672e+00
7.283903390339033649e+03,5.234740982723007363e+00
7.283906390639063829e+03,5.195951072889065436e+00
7.283909390939094010e+03,5.157294565635423211e+00
7.283912391239124190e+03,5.118771623019655159e+00
7.283915391539153461e+03,5.080382406551087193e+00
7.283918391839183641e+03,5.042127077143473635e+00
7.283921392139213822e+03,5.004005795184271577e+00
7.283924392439244002e+03,4.966018720487340055e+00
7.283927392739274183e+03,4.928166012303801580e+00
7.283930393039304363e+03,4.890447829321586504e+00
7.283933393339333634e+03,4.852864329675983690e+00
7.283936393639363814e+03,4.815415670903542278e+00
7.283939393939393995e+03,4.778102010009678047e+00
7.283942394239424175e+03,4.740923503422472152e+00
7.283945394539454355e+03,4.703880307003426964e+00
7.283948394839483626e+03,4.666972576057854205e+00
7.283951395139513806e+03,4.630200465289757261e+00
7.283954395439543987e+03,4.593564128868121266e+00
7.283957395739574167e+03,4.557063720381415273e+00
7.283960396039604348e+03,4.520699392848464448e+00
7.283963396339633618e+03,4.484471298728439415e+00
7.283966396639663799e+03,4.448379589876459761e+00
7.283969396939693979e+03,4.412424417608892924e+00
7.283972397239724160e+03,4.376605932658698350e+00
7.283975397539754340e+03,4.340924285185829845e+00
7.283978397839783611e+03,4.305379624787246229e+00
7.283981398139813791e+03,4.269972100453435004e+00
7.283984398439843972e+03,4.234701860632267056e+00
7.283987398739874152e+03,4.199569053185287615e+00
7.283990399039904332e+03,4.164573825397901885e+00
7.283993399339933603e+03,4.129716323989294224e+00
7.283996399639963784e+03,4.094996695069553994e+00
7.283999399939993964e+03,4.060415084202537273e+00
7.284002400240024144e+03,4.025971636362920769e+00
7.284005400540054325e+03,3.991666495946077919e+00
7.284008400840083596e+03,3.957499806777974527e+00
7.284011401140113776e+03,3.923471712073121509e+00
7.284014401440143956e+03,3.889582354496047945e+00
7.284017401740174137e+03,3.855831876119309332e+00
7.284020402040204317e+03,3.822220418433239342e+00
7.284023402340233588e+03,3.788748122355509729e+00
7.284026402640263768e+03,3.755415128189911744e+00
7.284029402940293949e+03,3.722221575686773143e+00
7.284032403240324129e+03,3.689167604001656997e+00
7.284035403540354309e+03,3.656253351704969123e+00
7.284038403840384490e+03,3.623478956781381211e+00
7.284041404140413761e+03,3.590844556639129603e+00
7.284044404440443941e+03,3.558350288069854539e+00
7.284047404740474121e+03,3.525996287307485932e+00
7.284050405040504302e+03,3.493782689987976919e+00
7.284053405340534482e+03,3.461709631158702116e+00
7.284056405640563753e+03,3.429777245287409126e+00
7.284059405940593933e+03,3.397985666223305223e+00
7.284062406240624114e+03,3.366335027254154344e+00
7.284065406540654294e+03,3.334825461067267405e+00
7.284068406840684474e+03,3.303457099758522197e+00
7.284071407140713745e+03,3.272230074841288694e+00
7.284074407440743926e+03,3.241144517208006892e+00
7.284077407740774106e+03,3.210200557186501769e+00
7.284080408040804286e+03,3.179398324501494955e+00
7.284083408340834467e+03,3.148737948283542476e+00
7.284086408640863738e+03,3.118219557077760218e+00
7.284089408940893918e+03,3.087843278806236658e+00
7.284092409240924098e+03,3.057609240823122576e+00
7.284095409540954279e+03,3.027517569876954528e+00
7.284098409840984459e+03,2.997568392119458025e+00
7.284101410141013730e+03,2.967761833113995440e+00
7.284104410441043910e+03,2.938098017798924211e+00
7.284107410741074091e+03,2.908577070541345400e+00
7.284110411041104271e+03,2.879199115100361528e+00
