Time (BJD_TBD - 2450000), L_g/L_star (ppm)
7.285199519951995171e+03,2.112811436488697581e+01
7.285202520252025352e+03,2.116576774432865804e+01
7.285205520552055532e+03,2.120342998048041139e+01
7.285208520852084803e+03,2.124110098563014759e+01
7.285211521152114983e+03,2.127878067207964463e+01
7.285214521452145163e+03,2.131646895207623515e+01
7.285217521752175344e+03,2.135416573785856542e+01
7.285220522052205524e+03,2.139187094164559966e+01
7.285223522352234795e+03,2.142958447562514124e+01
7.285226522652264975e+03,2.146730625199999665e+01
7.285229522952295156e+03,2.150503618291945784e+01
7.285232523252325336e+03,2.154277418052519977e+01
7.285235523552355517e+03,2.158052015694016390e+01
7.285238523852384787e+03,2.161827402425731393e+01
7.285241524152414968e+03,2.165603569458545152e+01
7.285244524452445148e+03,2.169380507998102559e+01
7.285247524752475329e+03,2.173158209249380945e+01
7.285250525052505509e+03,2.176936664415593725e+01
7.285253525352535689e+03,2.180715864698190032e+01
7.285256525652564960e+03,2.184495801295743078e+01
7.285259525952595141e+03,2.188276465408548077e+01
7.285262526252625321e+03,2.192057848231771189e+01
7.285265526552655501e+03,2.195839940960041048e+01
7.285268526852685682e+03,2.199622734786347422e+01
7.285271527152714953e+03,2.203406220900894041e+01
7.285274527452745133e+03,2.207190390495702204e+01
7.285277527752775313e+03,2.210975234757781749e+01
7.285280528052805494e+03,2.214760744873703402e+01
7.285283528352835674e+03,2.218546912028495655e+01
7.285286528652864945e+03,2.222333727404499371e+01
7.285289528952895125e+03,2.226121182186000169e+01
7.285292529252925306e+03,2.229909267552347174e+01
7.285295529552955486e+03,2.233697974682564080e+01
7.285298529852985666e+03,2.237487294754231471e+01
7.285301530153014937e+03,2.241277218942361671e+01
7.285304530453045118e+03,2.245067738423988501e+01
7.285307530753075298e+03,2.248858844371324039e+01
7.285310531053105478e+03,2.252650527956367199e+01
7.285313531353135659e+03,2.256442780349767929e+01
7.285316531653164930e+03,2.260235592719695319e+01
7.285319531953195110e+03,2.264028956236473533e+01
7.285322532253225290e+03,2.267822862065690970e+01
7.285325532553255471e+03,2.271617301372817721e+01
7.285328532853285651e+03,2.275412265322088601e+01
7.285331533153314922e+03,2.279207745075363079e+01
7.285334533453345102e+03,2.283003731796754110e+01
7.285337533753375283e+03,2.286800216645733386e+01
7.285340534053405463e+03,2.290597190781776504e+01
7.285343534353435643e+03,2.294394645363212959e+01
7.285346534653464914e+03,2.298192571546096730e+01
7.285349534953495095e+03,2.301990960488846838e+01
7.285352535253525275e+03,2.305789803345346911e+01
7.285355535553555455e+03,2.309589091269576144e+01
7.285358535853585636e+03,2.313388815414471722e+01
7.285361536153615816e+03,2.317188966931960437e+01
7.285364536453645087e+03,2.320989536971828571e+01
7.285367536753675267e+03,2.324790516686326569e+01
7.285370537053705448e+03,2.328591897223305551e+01
7.285373537353735628e+03,2.332393669730839392e+01
7.285376537653765808e+03,2.336195825356083944e+01
7.285379537953795079e+03,2.339998355244145500e+01
7.285382538253825260e+03,2.343801250542724901e+01
7.285385538553855440e+03,2.347604502395212478e+01
7.285388538853885620e+03,2.351408101945314399e+01
7.285391539153915801e+03,2.355212040335938184e+01
7.285394539453945072e+03,2.359016308708037357e+01
7.285397539753975252e+03,2.362820898205265152e+01
7.285400540054005432e+03,2.366625799967064836e+01
7.285403540354035613e+03,2.370431005133303159e+01
7.285406540654065793e+03,2.374236504843149831e+01
7.285409540954095064e+03,2.378042290233920042e+01
7.285412541254125244e+03,2.381848352445737049e+01
7.285415541554155425e+03,2.385654682614614330e+01
7.285418541854185605e+03,2.389461271877091519e+01
7.285421542154215786e+03,2.393268111369110329e+01
7.285424542454245056e+03,2.397075192224873419e+01
7.285427542754275237e+03,2.400882505581486370e+01
7.285430543054305417e+03,2.404690042572044106e+01
7.285433543354335598e+03,2.408497794330279618e+01
7.285436543654365778e+03,2.412305751989431712e+01
7.285439543954395049e+03,2.416113906681093937e+01
7.285442544254425229e+03,2.419922249539867209e+01
7.285445544554455410e+03,2.423730771696459030e+01
7.285448544854485590e+03,2.427539464282307335e+01
7.285451545154515770e+03,2.431348318428450384e+01
7.285454545454545041e+03,2.435157325264401251e+01
7.285457545754575222e+03,2.438966475922780930e+01
7.285460546054605402e+03,2.442775761532406875e+01
7.285463546354635582e+03,2.446585173222942444e+01
7.285466546654665763e+03,2.450394702123747948e+01
7.285469546954695033e+03,2.454204339362777176e+01
7.285472547254725214e+03,2.458014076071169285e+01
7.285475547554755394e+03,2.461823903376382461e+01
7.285478547854785575e+03,2.465633812406821335e+01
7.285481548154815755e+03,2.469443794290690164e+01
7.285484548454845935e+03,2.473253840156032624e+01
7.285487548754875206e+03,2.477063941129578595e+01
7.285490549054905387e+03,2.480874088341404260e+01
7.285493549354935567e+03,2.484684272918008219e+01
7.285496549654965747e+03,2.488494485986960925e+01
7.285499549954995928e+03,2.492304718675755382e+01
7.285502550255025199e+03,2.496114962110702962e+01
7.285505550555055379e+03,2.499925207421533813e+01
7.285508550855085559e+03,2.503735445734529463e+01
7.285511551155115740e+03,2.507545668177124654e+01
7.285514551455145920e+03,2.511355865876799953e+01
7.285517551755175191e+03,2.515166029959939920e+01
7.285520552055205371e+03,2.518976151556470100e+01
7.285523552355235552e+03,2.522786221792946293e+01
7.285526552655265732e+03,2.526596231797206471e+01
7.285529552955295912e+03,2.530406172697219702e+01
7.285532553255325183e+03,2.534216035619969176e+01
7.285535553555355364e+03,2.538025811696083167e+01
7.285538553855385544e+03,2.541835492052916834e+01
7.285541554155415724e+03,2.545645067819224749e+01
7.285544554455445905e+03,2.549454530123983531e+01
7.285547554755475176e+03,2.553263870095290500e+01
7.285550555055505356e+03,2.557073078864990734e+01
7.285553555355535536e+03,2.560882147561766331e+01
7.285556555655565717e+03,2.564691067315786199e+01
7.285559555955595897e+03,2.568499829257560307e+01
7.285562556255625168e+03,2.572308424516815251e+01
7.285565556555655348e+03,2.576116844227129121e+01
7.285568556855685529e+03,2.579925079519027165e+01
7.285571557155715709e+03,2.583733121524608833e+01
7.285574557455745889e+03,2.587540961376438275e+01
7.285577557755775160e+03,2.591348590206385438e+01
7.285580558055805341e+03,2.595155999150281900e+01
7.285583558355835521e+03,2.598963179340998053e+01
7.285586558655865701e+03,2.602770121913101065e+01
7.285589558955895882e+03,2.606576818001708418e+01
7.285592559255925153e+03,2.610383258741353529e+01
7.285595559555955333e+03,2.614189435270632345e+01
7.285598559855985513e+03,2.617995338725294374e+01
7.285601560156015694e+03,2.621800960242870815e+01
7.285604560456045874e+03,2.625606290961554734e+01
7.285607560756076055e+03,2.629411322020221320e+01
7.285610561056105325e+03,2.633216044557282487e+01
7.285613561356135506e+03,2.637020449715334891e+01
7.285616561656165686e+03,2.640824528634245283e+01
7.285619561956195867e+03,2.644628272455804208e+01
7.285622562256226047e+03,2.648431672322572439e+01
7.285625562556255318e+03,2.652234719376765071e+01
7.285628562856285498e+03,2.656037404764879284e+01
7.285631563156315678e+03,2.659839719630787158e+01
7.285634563456345859e+03,2.663641655120382623e+01
7.285637563756376039e+03,2.667443202380446010e+01
7.285640564056405310e+03,2.671244352557507540e+01
7.285643564356435490e+03,2.675045096802466560e+01
7.285646564656465671e+03,2.678845426263729479e+01
7.285649564956495851e+03,2.682645332091813017e+01
7.285652565256526032e+03,2.686444805438215155e+01
7.285655565556555302e+03,2.690243837454296738e+01
7.285658565856585483e+03,2.694042419295897517e+01
7.285661566156615663e+03,2.697840542116454898e+01
7.285664566456645844e+03,2.701638197071619985e+01
7.285667566756676024e+03,2.705435375318134916e+01
7.285670567056705295e+03,2.709232068012712702e+01
7.285673567356735475e+03,2.713028266316629811e+01
7.285676567656765656e+03,2.716823961388872277e+01
7.285679567956795836e+03,2.720619144390753874e+01
7.285682568256826016e+03,2.724413806484773914e+01
7.285685568556855287e+03,2.728207938833491397e+01
7.285688568856885468e+03,2.732001532604156679e+01
7.285691569156915648e+03,2.735794578961822054e+01
7.285694569456945828e+03,2.739587069073958503e+01
7.285697569756976009e+03,2.743378994109342628e+01
7.285700570057005280e+03,2.747170345236906641e+01
7.285703570357035460e+03,2.750961113630375365e+01
7.285706570657065640e+03,2.754751290461377522e+01
7.285709570957095821e+03,2.758540866904075273e+01
7.285712571257126001e+03,2.762329834134023443e+01
7.285715571557155272e+03,2.766118183327045088e+01
7.285718571857185452e+03,2.769905905663852863e+01
7.285721572157215633e+03,2.773692992323173456e+01
7.285724572457245813e+03,2.777479434486355458e+01
7.285727572757275993e+03,2.781265223336255943e+01
7.285730573057306174e+03,2.785050350057253254e+01
7.285733573357335445e+03,2.788834805834112984e+01
7.285736573657365625e+03,2.792618581856612181e+01
7.285739573957395805e+03,2.796401669312663429e+01
7.285742574257425986e+03,2.800184059392939417e+01
7.285745574557456166e+03,2.803965743289724344e+01
7.285748574857485437e+03,2.807746712195808314e+01
7.285751575157515617e+03,2.811526957309083841e+01
7.285754575457545798e+03,2.815306469825690527e+01
7.285757575757575978e+03,2.819085240944616189e+01
7.285760576057606158e+03,2.822863261866580942e+01
7.285763576357635429e+03,2.826640523792900694e+01
7.285766576657665610e+03,2.830417017930099988e+01
7.285769576957695790e+03,2.834192735483053838e+01
7.285772577257725970e+03,2.837967667659581750e+01
7.285775577557756151e+03,2.841741805669353838e+01
7.285778577857785422e+03,2.845515140722723046e+01
7.285781578157815602e+03,2.849287664035355760e+01
7.285784578457845782e+03,2.853059366821375420e+01
7.285787578757875963e+03,2.856830240297955115e+01
7.285790579057906143e+03,2.860600275684203808e+01
7.285793579357935414e+03,2.864369464200038706e+01
7.285796579657965594e+03,2.868137797070778561e+01
7.285799579957995775e+03,2.871905265520302919e+01
7.285802580258025955e+03,2.875671860775644006e+01
7.285805580558056135e+03,2.879437574065875793e+01
7.285808580858085406e+03,2.883202396620987429e+01
7.285811581158115587e+03,2.886966319676447057e+01
7.285814581458145767e+03,2.890729334466416489e+01
7.285817581758175947e+03,2.894491432228298677e+01
7.285820582058206128e+03,2.898252604201632465e+01
7.285823582358235399e+03,2.902012841626983075e+01
7.285826582658265579e+03,2.905772135750505925e+01
7.285829582958295759e+03,2.909530477817130389e+01
7.285832583258325940e+03,2.913287859075139963e+01
7.285835583558356120e+03,2.917044270775065229e+01
7.285838583858385391e+03,2.920799704168558364e+01
7.285841584158415571e+03,2.924554150512948780e+01
7.285844584458445752e+03,2.928307601064456378e+01
7.285847584758475932e+03,2.932060047082764243e+01
7.285850585058506113e+03,2.935811479829894211e+01
7.285853585358536293e+03,2.939561890570220015e+01
7.285856585658565564e+03,2.943311270569360616e+01
7.285859585958595744e+03,2.947059611098751830e+01
7.285862586258625925e+03,2.950806903428827965e+01
7.285865586558656105e+03,2.954553138833616543e+01
7.285868586858686285e+03,2.958298308589589354e+01
7.285871587158715556e+03,2.962042403974584559e+01
7.285874587458745737e+03,2.965785416272322195e+01
7.285877587758775917e+03,2.969527336765659342e+01
7.285880588058806097e+03,2.973268156741128010e+01
7.285883588358836278e+03,2.977007867487815318e+01
7.285886588658865548e+03,2.980746460296257894e+01
7.285889588958895729e+03,2.984483926463001069e+01
7.285892589258925909e+03,2.988220257283817460e+01
7.285895589558956090e+03,2.991955444058246982e+01
7.285898589858986270e+03,2.995689478088497282e+01
7.285901590159015541e+03,2.999422350678327476e+01
7.285904590459045721e+03,3.003154053137599178e+01
7.285907590759075902e+03,3.006884576775502182e+01
7.285910591059106082e+03,3.010613912905109402e+01
7.285913591359136262e+03,3.014342052842247810e+01
7.285916591659165533e+03,3.018068987904403144e+01
7.285919591959195714e+03,3.021794709415258140e+01
7.285922592259225894e+03,3.025519208697938467e+01
7.285925592559256074e+03,3.029242477079535689e+01
7.285928592859286255e+03,3.032964505890010543e+01
7.285931593159315526e+03,3.036685286461079869e+01
7.285934593459345706e+03,3.040404810130756985e+01
7.285937593759375886e+03,3.044123068236599394e+01
7.285940594059406067e+03,3.047840052120227483e+01
7.285943594359436247e+03,3.051555753126246628e+01
7.285946594659465518e+03,3.055270162601105000e+01
7.285949594959495698e+03,3.058983271897647782e+01
7.285952595259525879e+03,3.062695072368370575e+01
7.285955595559556059e+03,3.066405555369936664e+01
7.285958595859586239e+03,3.070114712262079593e+01
7.285961596159615510e+03,3.073822534406489737e+01
7.285964596459645691e+03,3.077529013171359296e+01
7.285967596759675871e+03,3.081234139924613658e+01
7.285970597059706051e+03,3.084937906038459943e+01
7.285973597359736232e+03,3.088640302888268963e+01
7.285976597659766412e+03,3.092341321852607550e+01
7.285979597959795683e+03,3.096040954312126559e+01
7.285982598259825863e+03,3.099739191654073167e+01
7.285985598559856044e+03,3.103436025265569143e+01
7.285988598859886224e+03,3.107131446538130248e+01
7.285991599159916404e+03,3.110825446866569166e+01
7.285994599459945675e+03,3.114518017647877102e+01
7.285997599759975856e+03,3.118209150285742126e+01
7.286000600060006036e+03,3.121898836183833481e+01
7.286003600360036216e+03,3.125587066750309972e+01
7.286006600660066397e+03,3.129273833396727156e+01
7.286009600960095668e+03,3.132959127536933508e+01
7.286012601260125848e+03,3.136642940591539741e+01
7.286015601560156028e+03,3.140325263981275938e+01
7.286018601860186209e+03,3.144006089131440262e+01
7.286021602160216389e+03,3.147685407470836338e+01
7.286024602460245660e+03,3.151363210430647399e+01
7.286027602760275840e+03,3.155039489448940415e+01
7.286030603060306021e+03,3.158714235963977757e+01
7.286033603360336201e+03,3.162387441418707823e+01
7.286036603660366382e+03,3.166059097259671162e+01
7.286039603960395652e+03,3.169729194935909433e+01
7.286042604260425833e+03,3.173397725903414823e+01
7.286045604560456013e+03,3.177064681618495356e+01
7.286048604860486194e+03,3.180730053542247759e+01
7.286051605160516374e+03,3.184393833139455765e+01
7.286054605460545645e+03,3.188056011877489482e+01
7.286057605760575825e+03,3.191716581230790695e+01
7.286060606060606005e+03,3.195375532674204067e+01
7.286063606360636186e+03,3.199032857687469544e+01
7.286066606660666366e+03,3.202688547754100767e+01
7.286069606960695637e+03,3.206342594360312148e+01
7.286072607260725817e+03,3.209994988999476817e+01
7.286075607560755998e+03,3.213645723165478785e+01
7.286078607860786178e+03,3.217294788357186519e+01
7.286081608160816359e+03,3.220942176077356578e+01
7.286084608460845629e+03,3.224587877831535820e+01
7.286087608760875810e+03,3.228231885132522905e+01
7.286090609060905990e+03,3.231874189493733951e+01
7.286093609360936171e+03,3.235514782433675407e+01
7.286096609660966351e+03,3.239153655474820681e+01
7.286099609960996531e+03,3.242790800143656327e+01
7.286102610261025802e+03,3.246426207969583544e+01
7.286105610561055983e+03,3.250059870489374703e+01
7.286108610861086163e+03,3.253691779240533322e+01
7.286111611161116343e+03,3.257321925765773329e+01
