Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.891700001452865763e+03,2.899977364547124807e+02
9.891700024345202110e+03,2.900148394561134069e+02
9.891700047237536637e+03,2.900319424489492235e+02
9.891700070129872984e+03,2.900490454358777015e+02
9.891700093022207511e+03,2.900661484141205051e+02
9.891700115914543858e+03,2.900832513863351778e+02
9.891700138806878385e+03,2.901003543497436112e+02
9.891700161699214732e+03,2.901174573070032920e+02
9.891700184591549259e+03,2.901345602553358276e+02
9.891700207483885606e+03,2.901516631973991593e+02
9.891700230376221953e+03,2.901687661317737366e+02
9.891700253268556480e+03,2.901858690570402928e+02
9.891700276160892827e+03,2.902029719758564852e+02
9.891700299053227354e+03,2.902200748854440349e+02
9.891700321945563701e+03,2.902371777884605422e+02
9.891700344837898228e+03,2.902542806821277281e+02
9.891700367730234575e+03,2.902713835691031932e+02
9.891700390622569103e+03,2.902884864466087151e+02
9.891700413514905449e+03,2.903055893173017807e+02
9.891700436407239977e+03,2.903226921784043384e+02
9.891700459299576323e+03,2.903397950325737611e+02
9.891700482191912670e+03,2.903568978783910097e+02
9.891700505084247197e+03,2.903740007144365904e+02
9.891700527976583544e+03,2.903911035433681036e+02
9.891700550868918072e+03,2.904082063624073271e+02
9.891700573761254418e+03,2.904253091742118613e+02
9.891700596653588946e+03,2.904424119760035410e+02
9.891700619545925292e+03,2.904595147704397959e+02
9.891700642438259820e+03,2.904766175547424609e+02
9.891700665330596166e+03,2.904937203315691931e+02
9.891700688222932513e+03,2.905108230995004988e+02
9.891700711115267040e+03,2.905279258571172818e+02
9.891700734007603387e+03,2.905450286070771995e+02
9.891700756899937915e+03,2.905621313466016886e+02
9.891700779792274261e+03,2.905792340783486907e+02
9.891700802684608789e+03,2.905963367995397562e+02
9.891700825576945135e+03,2.906134395128323717e+02
9.891700848469279663e+03,2.906305422154485427e+02
9.891700871361616009e+03,2.906476449100456989e+02
9.891700894253952356e+03,2.906647475952045738e+02
9.891700917146286884e+03,2.906818502695059578e+02
9.891700940038623230e+03,2.906989529356072239e+02
9.891700962930957758e+03,2.907160555907305479e+02
9.891700985823294104e+03,2.907331582375330186e+02
9.891701008715628632e+03,2.907502608732366980e+02
9.891701031607964978e+03,2.907673635004992434e+02
9.891701054500299506e+03,2.907844661165420348e+02
9.891701077392635852e+03,2.908015687240230704e+02
9.891701100284970380e+03,2.908186713201637303e+02
9.891701123177306727e+03,2.908357739076220696e+02
9.891701146069643073e+03,2.908528764849783101e+02
9.891701168961977601e+03,2.908699790508134697e+02
9.891701191854313947e+03,2.908870816077849781e+02
9.891701214746648475e+03,2.909041841531147270e+02
9.891701237638984821e+03,2.909212866894600893e+02
9.891701260531319349e+03,2.909383892140430703e+02
9.891701283423655696e+03,2.909554917295210998e+02
9.891701306315990223e+03,2.909725942331160695e+02
9.891701329208326570e+03,2.909896967274854092e+02
9.891701352100662916e+03,2.910067992112100228e+02
9.891701374992997444e+03,2.910239016828704166e+02
9.891701397885333790e+03,2.910410041451242478e+02
9.891701420777668318e+03,2.910581065951933510e+02
9.891701443670004664e+03,2.910752090357351562e+02
9.891701466562339192e+03,2.910923114639716118e+02
9.891701489454675539e+03,2.911094138825600908e+02
9.891701512347010066e+03,2.911265162887225983e+02
9.891701535239346413e+03,2.911436186851163939e+02
9.891701558131680940e+03,2.911607210689635963e+02
9.891701581024017287e+03,2.911778234429215786e+02
9.891701603916353633e+03,2.911949258055711880e+02
9.891701626808688161e+03,2.912120281554928169e+02
9.891701649701024508e+03,2.912291304953445774e+02
9.891701672593359035e+03,2.912462328223476788e+02
9.891701695485695382e+03,2.912633351391601764e+02
9.891701718378029909e+03,2.912804374430035637e+02
9.891701741270366256e+03,2.912975397365353842e+02
9.891701764162700783e+03,2.913146420169775865e+02
9.891701787055037130e+03,2.913317442869875435e+02
9.891701809947373476e+03,2.913488465451460456e+02
9.891701832839708004e+03,2.913659487900339968e+02
9.891701855732044351e+03,2.913830510243088270e+02
9.891701878624378878e+03,2.914001532451922571e+02
9.891701901516715225e+03,2.914172554553418877e+02
9.891701924409049752e+03,2.914343576519796102e+02
9.891701947301386099e+03,2.914514598377629113e+02
9.891701970193720626e+03,2.914685620099133985e+02
9.891701993086056973e+03,2.914856641710889562e+02
9.891702015978393320e+03,2.915027663198700338e+02
9.891702038870727847e+03,2.915198684548375354e+02
9.891702061763064194e+03,2.915369705786488908e+02
9.891702084655398721e+03,2.915540726885259915e+02
9.891702107547735068e+03,2.915711747871263810e+02
9.891702130440069595e+03,2.915882768716718374e+02
9.891702153332405942e+03,2.916053789448198472e+02
