Time (BJD_TBD - 2450000), L_h/L_star (ppm)
7.260849084908491022e+03,2.608160116691194474e+01
7.260852085208521203e+03,2.607340472654902186e+01
7.260855085508550474e+03,2.606519642337833886e+01
7.260858085808580654e+03,2.605697626567643965e+01
7.260861086108610834e+03,2.604874426173930146e+01
7.260864086408641015e+03,2.604050041987234110e+01
7.260867086708671195e+03,2.603224474839295866e+01
7.260870087008700466e+03,2.602397725563297470e+01
7.260873087308730646e+03,2.601569794992860452e+01
7.260876087608760827e+03,2.600740683963552158e+01
7.260879087908791007e+03,2.599910393311879275e+01
7.260882088208821187e+03,2.599078923875539715e+01
7.260885088508850458e+03,2.598246276493670592e+01
7.260888088808880639e+03,2.597412452005843164e+01
7.260891089108910819e+03,2.596577451253572022e+01
7.260894089408940999e+03,2.595741275079305765e+01
7.260897089708971180e+03,2.594903924326679956e+01
7.260900090009000451e+03,2.594065399840768649e+01
7.260903090309030631e+03,2.593225702467069027e+01
7.260906090609060811e+03,2.592384833053021964e+01
7.260909090909090992e+03,2.591542792446996657e+01
7.260912091209121172e+03,2.590699581498546422e+01
7.260915091509151353e+03,2.589855201058402656e+01
7.260918091809180623e+03,2.589009651978735960e+01
7.260921092109210804e+03,2.588162935112124075e+01
7.260924092409240984e+03,2.587315051313092340e+01
7.260927092709271164e+03,2.586466001437090156e+01
7.260930093009301345e+03,2.585615786340738964e+01
7.260933093309330616e+03,2.584764406882097987e+01
7.260936093609360796e+03,2.583911863919622931e+01
7.260939093909390976e+03,2.583058158313720654e+01
7.260942094209421157e+03,2.582203290925712835e+01
7.260945094509451337e+03,2.581347262618092486e+01
7.260948094809480608e+03,2.580490074254781874e+01
7.260951095109510788e+03,2.579631726700098682e+01
7.260954095409540969e+03,2.578772220820304639e+01
7.260957095709571149e+03,2.577911557482573102e+01
7.260960096009601330e+03,2.577049737555245557e+01
7.260963096309630600e+03,2.576186761908091682e+01
7.260966096609660781e+03,2.575322631411260232e+01
7.260969096909690961e+03,2.574457346936853597e+01
7.260972097209721142e+03,2.573590909357873002e+01
7.260975097509751322e+03,2.572723319548484255e+01
7.260978097809780593e+03,2.571854578384283130e+01
7.260981098109810773e+03,2.570984686741229552e+01
7.260984098409840954e+03,2.570113645497240284e+01
7.260987098709871134e+03,2.569241455531125951e+01
7.260990099009901314e+03,2.568368117722857846e+01
7.260993099309930585e+03,2.567493632953826221e+01
7.260996099609960766e+03,2.566618002105789742e+01
7.260999099909990946e+03,2.565741226062453961e+01
7.261002100210021126e+03,2.564863305708414742e+01
7.261005100510051307e+03,2.563984241929424357e+01
7.261008100810080578e+03,2.563104035612656872e+01
7.261011101110110758e+03,2.562222687645634167e+01
7.261014101410140938e+03,2.561340198917834599e+01
7.261017101710171119e+03,2.560456570319616887e+01
7.261020102010201299e+03,2.559571802742492963e+01
7.261023102310230570e+03,2.558685897079392646e+01
7.261026102610260750e+03,2.557798854223583973e+01
7.261029102910290931e+03,2.556910675070293948e+01
7.261032103210321111e+03,2.556021360515622831e+01
7.261035103510351291e+03,2.555130911456819121e+01
7.261038103810381472e+03,2.554239328792273511e+01
7.261041104110410743e+03,2.553346613421792810e+01
7.261044104410440923e+03,2.552452766245516003e+01
7.261047104710471103e+03,2.551557788165532870e+01
7.261050105010501284e+03,2.550661680084804672e+01
7.261053105310531464e+03,2.549764442907433448e+01
