Time (BJD_TBD - 2450000), F_total/F_star (ppm)
9.908229012185967804e+03,9.257265793146234500e+02
9.908229035408196069e+03,9.257498292280513397e+02
9.908229058630426152e+03,9.257730772631124410e+02
9.908229081852656236e+03,9.257963234177794902e+02
9.908229105074886320e+03,9.258195676918462595e+02
9.908229128297114585e+03,9.258428100832859400e+02
9.908229151519344668e+03,9.258660505955341478e+02
9.908229174741574752e+03,9.258892892265636192e+02
9.908229197963804836e+03,9.259125259761689222e+02
9.908229221186033101e+03,9.259357608423233614e+02
9.908229244408263185e+03,9.259589938284614163e+02
9.908229267630493268e+03,9.259822249325567327e+02
9.908229290852723352e+03,9.260054541544034237e+02
9.908229314074951617e+03,9.260286814919763856e+02
9.908229337297181701e+03,9.260519069487085062e+02
9.908229360519411784e+03,9.260751305225741135e+02
9.908229383741641868e+03,9.260983522133675478e+02
9.908229406963870133e+03,9.261215720190639331e+02
9.908229430186100217e+03,9.261447899430951338e+02
9.908229453408330301e+03,9.261680059834369558e+02
9.908229476630560384e+03,9.261912201398829438e+02
9.908229499852788649e+03,9.262144324104093585e+02
9.908229523075018733e+03,9.262376427984470411e+02
9.908229546297248817e+03,9.262608513019719112e+02
9.908229569519478900e+03,9.262840579207781957e+02
9.908229592741707165e+03,9.263072626528423825e+02
9.908229615963937249e+03,9.263304655015947446e+02
9.908229639186167333e+03,9.263536664650109742e+02
9.908229662408397417e+03,9.263768655428862075e+02
9.908229685630625681e+03,9.264000627331977284e+02
9.908229708852855765e+03,9.264232580393737635e+02
9.908229732075085849e+03,9.264464514593919375e+02
9.908229755297315933e+03,9.264696429930462500e+02
9.908229778519544197e+03,9.264928326383153490e+02
9.908229801741774281e+03,9.265160203986262104e+02
9.908229824964004365e+03,9.265392062719570276e+02
9.908229848186234449e+03,9.265623902581022548e+02
9.908229871408462714e+03,9.265855723550406537e+02
9.908229894630692797e+03,9.266087525661985183e+02
9.908229917852922881e+03,9.266319308895546101e+02
9.908229941075152965e+03,9.266551073249033834e+02
9.908229964297381230e+03,9.266782818702245095e+02
9.908229987519611313e+03,9.267014545289430316e+02
9.908230010741841397e+03,9.267246252990383937e+02
9.908230033964071481e+03,9.267477941803050498e+02
9.908230057186299746e+03,9.267709611707232398e+02
9.908230080408529830e+03,9.267941262737173247e+02
9.908230103630759913e+03,9.268172894872669758e+02
9.908230126852989997e+03,9.268404508111671021e+02
9.908230150075218262e+03,9.268636102433986252e+02
9.908230173297448346e+03,9.268867677873843149e+02
9.908230196519678429e+03,9.269099234411050929e+02
9.908230219741908513e+03,9.269330772043556408e+02
9.908230242964136778e+03,9.269562290751174487e+02
9.908230266186366862e+03,9.269793790568126042e+02
9.908230289408596946e+03,9.270025271474222563e+02
9.908230312630827029e+03,9.270256733467414278e+02
9.908230335853055294e+03,9.270488176527525184e+02
9.908230359075285378e+03,9.270719600688759101e+02
9.908230382297515462e+03,9.270951005930937754e+02
9.908230405519745545e+03,9.271182392252014779e+02
9.908230428741973810e+03,9.271413759631811899e+02
9.908230451964203894e+03,9.271645108104534074e+02
9.908230475186433978e+03,9.271876437650001890e+02
9.908230498408664062e+03,9.272107748266168983e+02
9.908230521630892326e+03,9.272339039932874130e+02
9.908230544853122410e+03,9.272570312684296141e+02
9.908230568075352494e+03,9.272801566500276067e+02
9.908230591297582578e+03,9.273032801378758450e+02
9.908230614519810842e+03,9.273264017299591160e+02
9.908230637742040926e+03,9.273495214296948461e+02
9.908230660964271010e+03,9.273726392350667993e+02
9.908230684186501094e+03,9.273957551458706803e+02
9.908230707408729359e+03,9.274188691600909351e+02
9.908230730630959442e+03,9.274419812811443080e+02
9.908230753853189526e+03,9.274650915070153587e+02
9.908230777075419610e+03,9.274881998374994510e+02
9.908230800297647875e+03,9.275113062705826223e+02
9.908230823519877958e+03,9.275344108096790023e+02
9.908230846742108042e+03,9.275575134527751970e+02
9.908230869964338126e+03,9.275806141996658880e+02
9.908230893186566391e+03,9.276037130483379087e+02
9.908230916408796475e+03,9.276268100022050476e+02
9.908230939631026558e+03,9.276499050592537969e+02
9.908230962853256642e+03,9.276729982192790658e+02
9.908230986075484907e+03,9.276960894802683697e+02
9.908231009297714991e+03,9.277191788456343602e+02
9.908231032519945074e+03,9.277422663133640981e+02
9.908231055742175158e+03,9.277653518832530608e+02
9.908231078964403423e+03,9.277884355532889913e+02
9.908231102186633507e+03,9.278115173268837452e+02
9.908231125408863591e+03,9.278345972020247245e+02
9.908231148631093674e+03,9.278576751785080887e+02
9.908231171853321939e+03,9.278807512543213534e+02
9.908231195075552023e+03,9.279038254328759194e+02
9.908231218297782107e+03,9.279268977121596436e+02
9.908231241520012190e+03,9.279499680919687989e+02
9.908231264742240455e+03,9.279730365702919244e+02
9.908231287964470539e+03,9.279961031505387155e+02
9.908231311186700623e+03,9.280191678306981657e+02
9.908231334408930707e+03,9.280422306105662074e+02
9.908231357631158971e+03,9.280652914881324023e+02
9.908231380853389055e+03,9.280883504668055366e+02
9.908231404075619139e+03,9.281114075445747176e+02
9.908231427297849223e+03,9.281344627212365594e+02
9.908231450520077487e+03,9.281575159947806242e+02
9.908231473742307571e+03,9.281805673686151295e+02
9.908231496964537655e+03,9.282036168407298646e+02
9.908231520186767739e+03,9.282266644109209892e+02
9.908231543408996004e+03,9.282497100771795431e+02
9.908231566631226087e+03,9.282727538429116976e+02
9.908231589853456171e+03,9.282957957061086063e+02
9.908231613075686255e+03,9.283188356665665424e+02
9.908231636297914520e+03,9.283418737222768868e+02
9.908231659520144603e+03,9.283649098766450152e+02
9.908231682742374687e+03,9.283879441276626494e+02
9.908231705964604771e+03,9.284109764751257217e+02
9.908231729186833036e+03,9.284340069170268634e+02
9.908231752409063120e+03,9.284570354567700861e+02
9.908231775631293203e+03,9.284800620923476799e+02
9.908231798853523287e+03,9.285030868235561456e+02
9.908231822075751552e+03,9.285261096483883421e+02
9.908231845297981636e+03,9.285491305702472573e+02
9.908231868520211719e+03,9.285721495871259776e+02
9.908231891742441803e+03,9.285951666988210036e+02
9.908231914964670068e+03,9.286181819033258762e+02
9.908231938186900152e+03,9.286411952040426740e+02
9.908231961409130236e+03,9.286642065989647108e+02
9.908231984631360319e+03,9.286872160878892828e+02
9.908232007853588584e+03,9.287102236688099310e+02
