Time (BJD_TBD - 2450000), L_e/L_star (ppm)
1.065020333945907259e+04,3.420355139064371741e+01
1.065020336074939587e+04,3.420479463089377248e+01
1.065020338203971914e+04,3.420603788551217406e+01
1.065020340333004242e+04,3.420728115449833950e+01
1.065020342462036751e+04,3.420852443795790521e+01
1.065020344591069079e+04,3.420976773567780072e+01
1.065020346720101406e+04,3.421101104776366952e+01
1.065020348849133734e+04,3.421225437421490057e+01
1.065020350978166061e+04,3.421349771503091830e+01
1.065020353107198389e+04,3.421474107021110456e+01
1.065020355236230716e+04,3.421598443975486248e+01
1.065020357365263044e+04,3.421722782366158810e+01
1.065020359494295371e+04,3.421847122193069168e+01
1.065020361623327881e+04,3.421971463466783803e+01
1.065020363752360208e+04,3.422095806165991405e+01
1.065020365881392536e+04,3.422220150301259167e+01
1.065020368010424863e+04,3.422344495872523140e+01
1.065020370139457191e+04,3.422468842879727191e+01
1.065020372268489518e+04,3.422593191322812345e+01
1.065020374397521846e+04,3.422717541201714653e+01
1.065020376526554173e+04,3.422841892516377271e+01
1.065020378655586501e+04,3.422966245266739094e+01
1.065020380784619010e+04,3.423090599463365891e+01
1.065020382913651338e+04,3.423214955084947775e+01
1.065020385042683665e+04,3.423339312142051227e+01
1.065020387171715993e+04,3.423463670634613720e+01
1.065020389300748320e+04,3.423588030562576279e+01
1.065020391429780648e+04,3.423712391925882059e+01
1.065020393558812975e+04,3.423836754724467113e+01
1.065020395687845303e+04,3.423961118958273175e+01
1.065020397816877630e+04,3.424085484627239850e+01
1.065020399945910140e+04,3.424209851741936461e+01
1.065020402074942467e+04,3.424334220281048147e+01
1.065020404203974795e+04,3.424458590255139967e+01
1.065020406333007122e+04,3.424582961664155789e+01
1.065020408462039450e+04,3.424707334508032375e+01
1.065020410591071777e+04,3.424831708786713591e+01
1.065020412720104105e+04,3.424956084500137621e+01
1.065020414849136432e+04,3.425080461648241226e+01
1.065020416978168760e+04,3.425204840230971115e+01
1.065020419107201269e+04,3.425329220258888796e+01
1.065020421236233597e+04,3.425453601710684381e+01
1.065020423365265924e+04,3.425577984596922931e+01
1.065020425494298252e+04,3.425702368917545471e+01
1.065020427623330579e+04,3.425826754672490893e+01
1.065020429752362907e+04,3.425951141861700933e+01
1.065020431881395234e+04,3.426075530485115905e+01
1.065020434010427562e+04,3.426199920542674704e+01
1.065020436139459889e+04,3.426324312034318353e+01
1.065020438268492398e+04,3.426448704970614045e+01
1.065020440397524726e+04,3.426573099330248340e+01
1.065020442526557053e+04,3.426697495123786297e+01
1.065020444655589381e+04,3.426821892351169652e+01
1.065020446784621709e+04,3.426946291012337298e+01
1.065020448913654036e+04,3.427070691107233102e+01
1.065020451042686364e+04,3.427195092635792406e+01
1.065020453171718691e+04,3.427319495597959076e+01
1.065020455300751019e+04,3.427443899993672005e+01
1.065020457429783528e+04,3.427568305833496964e+01
1.065020459558815855e+04,3.427692713096122645e+01
1.065020461687848183e+04,3.427817121792115529e+01
1.065020463816880510e+04,3.427941531921413088e+01
1.065020465945912838e+04,3.428065943483957767e+01
1.065020468074945165e+04,3.428190356479690593e+01
1.065020470203977493e+04,3.428314770908548326e+01
1.065020472333009820e+04,3.428439186770476255e+01
1.065020474462042148e+04,3.428563604065410431e+01
1.065020476591074657e+04,3.428688022803920887e+01
1.065020478720106985e+04,3.428812442964692053e+01
1.065020480849139312e+04,3.428936864558290409e+01
1.065020482978171640e+04,3.429061287584655560e+01
1.065020485107203967e+04,3.429185712043728529e+01
1.065020487236236295e+04,3.429310137935452474e+01
1.065020489365268622e+04,3.429434565259762024e+01
1.065020491494300950e+04,3.429558994016603890e+01
1.065020493623333277e+04,3.429683424205912701e+01
1.065020495752365787e+04,3.429807855838259911e+01
1.065020497881398114e+04,3.429932288892328529e+01
1.065020500010430442e+04,3.430056723378685746e+01
1.065020502139462769e+04,3.430181159297271165e+01
1.065020504268495097e+04,3.430305596648027944e+01
1.065020506397527424e+04,3.430430035430892133e+01
1.065020508526559752e+04,3.430554475645807599e+01
1.065020510655592079e+04,3.430678917292714658e+01
1.065020512784624407e+04,3.430803360371550781e+01
1.065020514913656916e+04,3.430927804892888133e+01
1.065020517042689244e+04,3.431052250835405459e+01
1.065020519171721571e+04,3.431176698209673503e+01
1.065020521300753899e+04,3.431301147015631869e+01
1.065020523429786226e+04,3.431425597253222293e+01
1.065020525558818554e+04,3.431550048922382956e+01
1.065020527687850881e+04,3.431674502023052753e+01
1.065020529816883209e+04,3.431798956555176972e+01
1.065020531945915536e+04,3.431923412518693084e+01
1.065020534074948046e+04,3.432047869924171124e+01
1.065020536203980373e+04,3.432172328750289836e+01
1.065020538333012701e+04,3.432296789007619964e+01
1.065020540462045028e+04,3.432421250696102533e+01
1.065020542591077356e+04,3.432545713815677857e+01
1.065020544720109683e+04,3.432670178366284119e+01
1.065020546849142011e+04,3.432794644347863766e+01
1.065020548978174338e+04,3.432919111760354980e+01
1.065020551107206666e+04,3.433043580603700917e+01
1.065020553236239175e+04,3.433168050888473033e+01
1.065020555365271503e+04,3.433292522593344387e+01
1.065020557494303830e+04,3.433416995728888566e+01
1.065020559623336158e+04,3.433541470295046594e+01
1.065020561752368485e+04,3.433665946291758075e+01
1.065020563881400813e+04,3.433790423718961193e+01
1.065020566010433140e+04,3.433914902576599815e+01
1.065020568139465468e+04,3.434039382864611412e+01
1.065020570268497795e+04,3.434163864582936299e+01
1.065020572397530304e+04,3.434288347742153036e+01
1.065020574526562632e+04,3.434412832320926157e+01
1.065020576655594959e+04,3.434537318329834221e+01
1.065020578784627287e+04,3.434661805768817544e+01
1.065020580913659614e+04,3.434786294637816439e+01
1.065020583042691942e+04,3.434910784936768380e+01
