Time (BJD_TBD - 2450000), L_f/L_star (ppm)
9.913995450992089900e+03,6.943489782391580434e+01
9.913995469095751105e+03,6.943467700061643200e+01
9.913995487199414129e+03,6.943445617234529266e+01
9.913995505303075333e+03,6.943423533914679524e+01
9.913995523406738357e+03,6.943401450097660188e+01
9.913995541510401381e+03,6.943379365785693835e+01
9.913995559614062586e+03,6.943357280981001622e+01
9.913995577717725610e+03,6.943335195679149763e+01
9.913995595821386814e+03,6.943313109884577727e+01
9.913995613925049838e+03,6.943291023592853151e+01
9.913995632028711043e+03,6.943268936808416925e+01
9.913995650132374067e+03,6.943246849526833842e+01
9.913995668236037091e+03,6.943224761750327900e+01
9.913995686339698295e+03,6.943202673481118836e+01
9.913995704443361319e+03,6.943180584714774284e+01
9.913995722547022524e+03,6.943158495455735135e+01
9.913995740650685548e+03,6.943136405699566183e+01
9.913995758754346753e+03,6.943114315450708318e+01
9.913995776858009776e+03,6.943092224704727755e+01
9.913995794961670981e+03,6.943070133466065386e+01
9.913995813065334005e+03,6.943048041730287423e+01
9.913995831168997029e+03,6.943025949499615024e+01
9.913995849272658234e+03,6.943003856776272187e+01
9.913995867376321257e+03,6.942981763555822283e+01
9.913995885479982462e+03,6.942959669842707626e+01
9.913995903583645486e+03,6.942937575632494429e+01
9.913995921687306691e+03,6.942915480929623584e+01
9.913995939790969715e+03,6.942893385729658462e+01
9.913995957894630919e+03,6.942871290037045640e+01
9.913995975998293943e+03,6.942849193847344225e+01
9.913995994101956967e+03,6.942827097162781058e+01
9.913996012205618172e+03,6.942804999985574455e+01
9.913996030309281196e+03,6.942782902311294890e+01
9.913996048412942400e+03,6.942760804144380415e+01
9.913996066516605424e+03,6.942738705480395822e+01
9.913996084620266629e+03,6.942716606323784845e+01
9.913996102723929653e+03,6.942694506670112276e+01
9.913996120827590858e+03,6.942672406523816164e+01
9.913996138931253881e+03,6.942650305880466988e+01
9.913996157034916905e+03,6.942628204742281639e+01
9.913996175138578110e+03,6.942606103111491223e+01
9.913996193242241134e+03,6.942584000983649162e+01
9.913996211345902339e+03,6.942561898363209139e+01
9.913996229449565362e+03,6.942539795245724576e+01
9.913996247553226567e+03,6.942517691635652000e+01
9.913996265656889591e+03,6.942495587528537726e+01
9.913996283760550796e+03,6.942473482928841122e+01
9.913996301864213819e+03,6.942451377832112769e+01
9.913996319967876843e+03,6.942429272240583771e+01
9.913996338071538048e+03,6.942407166156476706e+01
9.913996356175201072e+03,6.942385059575352102e+01
9.913996374278862277e+03,6.942362952501656537e+01
9.913996392382525300e+03,6.942340844930950539e+01
9.913996410486186505e+03,6.942318736867679263e+01
9.913996428589849529e+03,6.942296628307403239e+01
9.913996446693510734e+03,6.942274519254573306e+01
9.913996464797173758e+03,6.942252409704742888e+01
9.913996482900836781e+03,6.942230299660141668e+01
9.913996501004497986e+03,6.942208189122992223e+01
9.913996519108161010e+03,6.942186078088856505e+01
9.913996537211822215e+03,6.942163966562181088e+01
9.913996555315485239e+03,6.942141854538523660e+01
9.913996573419146443e+03,6.942119742022332218e+01
9.913996591522809467e+03,6.942097629009168713e+01
9.913996609626470672e+03,6.942075515503476879e+01
9.913996627730133696e+03,6.942053401500820087e+01
9.913996645833796720e+03,6.942031287003419493e+01
9.913996663937457924e+03,6.942009172013500518e+01
9.913996682041120948e+03,6.941987056526626532e+01
9.913996700144782153e+03,6.941964940547244112e+01
9.913996718248445177e+03,6.941942824070910945e+01
9.913996736352106382e+03,6.941920707102072186e+01
9.913996754455769405e+03,6.941898589636292627e+01
9.913996772559430610e+03,6.941876471678014582e+01
9.913996790663093634e+03,6.941854353222800000e+01
9.913996808766756658e+03,6.941832234272877145e+01
9.913996826870417863e+03,6.941810114830462908e+01
9.913996844974080886e+03,6.941787994891126345e+01
9.913996863077742091e+03,6.941765874459306929e+01
9.913996881181405115e+03,6.941743753530572292e+01
9.913996899285066320e+03,6.941721632109359064e+01
9.913996917388729344e+03,6.941699510191237721e+01
9.913996935492392367e+03,6.941677387778423736e+01
9.913996953596053572e+03,6.941655264873152476e+01
9.913996971699716596e+03,6.941633141470973101e+01
9.913996989803377801e+03,6.941611017576342135e+01
9.913997007907040825e+03,6.941588893184810161e+01
9.913997026010702029e+03,6.941566768300833701e+01
9.913997044114365053e+03,6.941544642919964758e+01
9.913997062218026258e+03,6.941522517046658436e+01
9.913997080321689282e+03,6.941500390676462473e+01
9.913997098425352306e+03,6.941478263811612237e+01
9.913997116529013510e+03,6.941456136454330306e+01
9.913997134632676534e+03,6.941434008600177208e+01
9.913997152736337739e+03,6.941411880253595257e+01
9.913997170840000763e+03,6.941389751410149245e+01
9.913997188943661968e+03,6.941367622074282906e+01
9.913997207047324991e+03,6.941345492241561033e+01
9.913997225150986196e+03,6.941323361916425938e+01
9.913997243254649220e+03,6.941301231094436730e+01
9.913997261358312244e+03,6.941279099777820250e+01
9.913997279461973449e+03,6.941256967968804759e+01
9.913997297565636472e+03,6.941234835662943681e+01
9.913997315669297677e+03,6.941212702864690698e+01
9.913997333772960701e+03,6.941190569569600655e+01
9.913997351876621906e+03,6.941168435782124391e+01
9.913997369980284930e+03,6.941146301497815330e+01
9.913997388083946134e+03,6.941124166721129995e+01
9.913997406187609158e+03,6.941102031447617549e+01
9.913997424291272182e+03,6.941079895679510514e+01
9.913997442394933387e+03,6.941057759419034312e+01
9.913997460498596411e+03,6.941035622661742366e+01
9.913997478602257615e+03,6.941013485412091200e+01
9.913997496705920639e+03,6.940991347665629974e+01
9.913997514809581844e+03,6.940969209426815212e+01
9.913997532913244868e+03,6.940947070691196075e+01
9.913997551016906073e+03,6.940924931463231928e+01
9.913997569120569096e+03,6.940902791738471933e+01
9.913997587224232120e+03,6.940880651519145772e+01
9.913997605327893325e+03,6.940858510807481707e+01
9.913997623431556349e+03,6.940836369599034583e+01
9.913997641535217554e+03,6.940814227898253819e+01
9.913997659638880577e+03,6.940792085700698522e+01
9.913997677742541782e+03,6.940769943010816689e+01
9.913997695846204806e+03,6.940747799824166009e+01
9.913997713949866011e+03,6.940725656145195899e+01
9.913997732053529035e+03,6.940703511969462625e+01
9.913997750157192058e+03,6.940681367299191606e+01
9.913997768260853263e+03,6.940659222136616791e+01
9.913997786364516287e+03,6.940637076477285916e+01
9.913997804468177492e+03,6.940614930325651244e+01
9.913997822571840516e+03,6.940592783677273303e+01
9.913997840675501720e+03,6.940570636536601512e+01
9.913997858779164744e+03,6.940548488899186452e+01
9.913997876882825949e+03,6.940526340769487490e+01
9.913997894986488973e+03,6.940504192143050943e+01
9.913997913090151997e+03,6.940482043022113601e+01
9.913997931193813201e+03,6.940459893408895198e+01
9.913997949297476225e+03,6.940437743298956264e+01
9.913997967401137430e+03,6.940415592696744795e+01
9.913997985504800454e+03,6.940393441597817059e+01
9.913998003608461659e+03,6.940371290006626737e+01
9.913998021712124682e+03,6.940349137918727251e+01
9.913998039815785887e+03,6.940326985338569443e+01
9.913998057919448911e+03,6.940304832261709578e+01
9.913998076023111935e+03,6.940282678690373075e+01
9.913998094126773140e+03,6.940260524626791039e+01
9.913998112230436163e+03,6.940238370066515472e+01
9.913998130334097368e+03,6.940216215014000056e+01
9.913998148437760392e+03,6.940194059464798215e+01
9.913998166541421597e+03,6.940171903423365052e+01
9.913998184645084621e+03,6.940149746885251147e+01
9.913998202748745825e+03,6.940127589854910184e+01
9.913998220852408849e+03,6.940105432327897006e+01
9.913998238956071873e+03,6.940083274306438454e+01
9.913998257059733078e+03,6.940061115792764213e+01
9.913998275163396102e+03,6.940038956782427704e+01
9.913998293267057306e+03,6.940016797279881189e+01
9.913998311370720330e+03,6.939994637280679513e+01
9.913998329474381535e+03,6.939972476789279199e+01
9.913998347578044559e+03,6.939950315801222303e+01
9.913998365681707583e+03,6.939928154318747033e+01
9.913998383785368787e+03,6.939905992344080232e+01
9.913998401889031811e+03,6.939883829872775323e+01
9.913998419992693016e+03,6.939861666909284565e+01
9.913998438096356040e+03,6.939839503449161384e+01
9.913998456200017245e+03,6.939817339496859461e+01
9.913998474303680268e+03,6.939795175047930798e+01
9.913998492407341473e+03,6.939773010106830498e+01
9.913998510511004497e+03,6.939750844669111984e+01
9.913998528614667521e+03,6.939728678737000678e+01
9.913998546718328726e+03,6.939706512312730524e+01
9.913998564821991749e+03,6.939684345391849263e+01
9.913998582925652954e+03,6.939662177978816260e+01
9.913998601029315978e+03,6.939640010069177833e+01
9.913998619132977183e+03,6.939617841667396192e+01
9.913998637236640207e+03,6.939595672769011969e+01
9.913998655340301411e+03,6.939573503378494479e+01
9.913998673443964435e+03,6.939551333491382934e+01
9.913998691547627459e+03,6.939529163109912702e+01
9.913998709651288664e+03,6.939506992236312044e+01
9.913998727754951688e+03,6.939484820866130121e+01
9.913998745858612892e+03,6.939462649003827721e+01
9.913998763962275916e+03,6.939440476644949740e+01
9.913998782065937121e+03,6.939418303793958387e+01
9.913998800169600145e+03,6.939396130446398558e+01
9.913998818273261350e+03,6.939373956606731042e+01
9.913998836376924373e+03,6.939351782270503577e+01
9.913998854480587397e+03,6.939329607439944425e+01
9.913998872584248602e+03,6.939307432117288954e+01
9.913998890687911626e+03,6.939285256298082061e+01
9.913998908791572831e+03,6.939263079986784533e+01
9.913998926895235854e+03,6.939240903178942688e+01
9.913998944998897059e+03,6.939218725879018734e+01
9.913998963102560083e+03,6.939196548082553306e+01
9.913998981206221288e+03,6.939174369794012875e+01
9.913998999309884312e+03,6.939152191008942339e+01
9.913999017413547335e+03,6.939130011729571379e+01
9.913999035517208540e+03,6.939107831958133943e+01
9.913999053620871564e+03,6.939085651690174927e+01
9.913999071724532769e+03,6.939063470930156541e+01
9.913999089828195793e+03,6.939041289673625101e+01
9.913999107931856997e+03,6.939019107925039975e+01
9.913999126035520021e+03,6.938996925679946060e+01
9.913999144139181226e+03,6.938974742942806984e+01
9.913999162242844250e+03,6.938952559709167645e+01
9.913999180346507273e+03,6.938930375981259147e+01
9.913999198450168478e+03,6.938908191761314015e+01
9.913999216553831502e+03,6.938886007044878568e+01
9.913999234657492707e+03,6.938863821836413592e+01
9.913999252761155731e+03,6.938841636131465407e+01
9.913999270864816936e+03,6.938819449934493377e+01
9.913999288968479959e+03,6.938797263241046664e+01
