Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
1.013200558677873596e+04,2.813684163679565700e+02
1.013200560755048900e+04,2.813696199573665808e+02
1.013200562832224205e+04,2.813708236481556924e+02
1.013200564909399509e+04,2.813720274403240751e+02
1.013200566986574813e+04,2.813732313338718996e+02
1.013200569063750117e+04,2.813744353287992794e+02
1.013200571140925422e+04,2.813756394251066126e+02
1.013200573218100726e+04,2.813768436227938423e+02
1.013200575295276030e+04,2.813780479218613095e+02
1.013200577372451335e+04,2.813792523223090711e+02
1.013200579449626639e+04,2.813804568241373545e+02
1.013200581526801943e+04,2.813816614273464438e+02
1.013200583603977248e+04,2.813828661319364528e+02
1.013200585681152552e+04,2.813840709379075520e+02
1.013200587758327856e+04,2.813852758452599687e+02
1.013200589835503160e+04,2.813864808539937599e+02
1.013200591912678465e+04,2.813876859641092665e+02
1.013200593989853769e+04,2.813888911756065454e+02
1.013200596067029073e+04,2.813900964884858809e+02
1.013200598144204378e+04,2.813913019027473865e+02
1.013200600221379682e+04,2.813925074183913466e+02
1.013200602298555168e+04,2.813937130355233762e+02
1.013200604375730472e+04,2.813949187539325294e+02
1.013200606452905777e+04,2.813961245737247054e+02
1.013200608530081081e+04,2.813973304948999612e+02
1.013200610607256385e+04,2.813985365174585240e+02
1.013200612684431690e+04,2.813997426414005076e+02
1.013200614761606994e+04,2.814009488667261962e+02
1.013200616838782298e+04,2.814021551934357035e+02
1.013200618915957602e+04,2.814033616215292000e+02
1.013200620993132907e+04,2.814045681510069130e+02
1.013200623070308211e+04,2.814057747818690700e+02
1.013200625147483515e+04,2.814069815141157278e+02
1.013200627224658820e+04,2.814081883477470569e+02
1.013200629301834124e+04,2.814093952827634553e+02
1.013200631379009428e+04,2.814106023191648660e+02
1.013200633456184732e+04,2.814118094569515733e+02
1.013200635533360037e+04,2.814130166961238046e+02
1.013200637610535341e+04,2.814142240366816168e+02
1.013200639687710645e+04,2.814154314786253508e+02
1.013200641764885950e+04,2.814166390219550067e+02
1.013200643842061254e+04,2.814178466666708118e+02
1.013200645919236558e+04,2.814190544127730504e+02
1.013200647996411863e+04,2.814202622602618931e+02
1.013200650073587167e+04,2.814214702091373965e+02
1.013200652150762471e+04,2.814226782593997314e+02
1.013200654227937775e+04,2.814238864110493523e+02
1.013200656305113080e+04,2.814250946640861457e+02
1.013200658382288384e+04,2.814263030185103958e+02
1.013200660459463688e+04,2.814275114743222161e+02
1.013200662536638993e+04,2.814287200315218911e+02
1.013200664613814297e+04,2.814299286901095911e+02
1.013200666690989783e+04,2.814311374501912724e+02
1.013200668768165087e+04,2.814323463115554773e+02
1.013200670845340392e+04,2.814335552743081621e+02
1.013200672922515696e+04,2.814347643384495541e+02
1.013200674999691000e+04,2.814359735039799375e+02
1.013200677076866305e+04,2.814371827708993123e+02
1.013200679154041609e+04,2.814383921392078491e+02
1.013200681231216913e+04,2.814396016089059458e+02
1.013200683308392217e+04,2.814408111799935455e+02
1.013200685385567522e+04,2.814420208524709324e+02
1.013200687462742826e+04,2.814432306263382770e+02
1.013200689539918130e+04,2.814444405015958068e+02
1.013200691617093435e+04,2.814456504782435786e+02
1.013200693694268739e+04,2.814468605562818766e+02
1.013200695771444043e+04,2.814480707357108713e+02
1.013200697848619347e+04,2.814492810165306196e+02
1.013200699925794652e+04,2.814504913987414056e+02
1.013200702002969956e+04,2.814517018823434000e+02
1.013200704080145260e+04,2.814529124673367733e+02
1.013200706157320565e+04,2.814541231537217527e+02
1.013200708234495869e+04,2.814553339414984521e+02
1.013200710311671173e+04,2.814565448306670419e+02
1.013200712388846478e+04,2.814577558212277495e+02
1.013200714466021782e+04,2.814589669131806886e+02
1.013200716543197086e+04,2.814601781065260298e+02
1.013200718620372390e+04,2.814613894012640003e+02
1.013200720697547695e+04,2.814626007973947139e+02
1.013200722774722999e+04,2.814638122949185686e+02
1.013200724851898303e+04,2.814650238938353937e+02
1.013200726929073608e+04,2.814662355941455871e+02
1.013200729006248912e+04,2.814674473958493195e+02
1.013200731083424216e+04,2.814686592989467044e+02
1.013200733160599702e+04,2.814698713035440392e+02
1.013200735237775007e+04,2.814710834094292977e+02
1.013200737314950311e+04,2.814722956167087204e+02
1.013200739392125615e+04,2.814735079253825347e+02
1.013200741469300920e+04,2.814747203354509679e+02
1.013200743546476224e+04,2.814759328469140200e+02
1.013200745623651528e+04,2.814771454597721458e+02
1.013200747700826832e+04,2.814783581740252316e+02
1.013200749778002137e+04,2.814795709896735616e+02
1.013200751855177441e+04,2.814807839067173063e+02
1.013200753932352745e+04,2.814819969251566363e+02
1.013200756009528050e+04,2.814832100449917789e+02
1.013200758086703354e+04,2.814844232662229615e+02
1.013200760163878658e+04,2.814856365888501273e+02
1.013200762241053962e+04,2.814868500128736741e+02
1.013200764318229267e+04,2.814880635382936589e+02
1.013200766395404571e+04,2.814892771651103089e+02
1.013200768472579875e+04,2.814904908933237948e+02
1.013200770549755180e+04,2.814917047229342870e+02
1.013200772626930484e+04,2.814929186539418993e+02
1.013200774704105788e+04,2.814941326863468589e+02
1.013200776781281093e+04,2.814953468201493934e+02
1.013200778858456397e+04,2.814965610553495594e+02
1.013200780935631701e+04,2.814977753919475845e+02
1.013200783012807005e+04,2.814989898299436959e+02
1.013200785089982310e+04,2.815002043693380074e+02
1.013200787167157614e+04,2.815014190101306895e+02
1.013200789244332918e+04,2.815026337523220263e+02
1.013200791321508223e+04,2.815038485959119612e+02
1.013200793398683527e+04,2.815050635409007782e+02
1.013200795475858831e+04,2.815062785872887616e+02
1.013200797553034317e+04,2.815074937351823792e+02
1.013200799630209622e+04,2.815087089843690364e+02
1.013200801707384926e+04,2.815099243349552580e+02
1.013200803784560230e+04,2.815111397869413281e+02
1.013200805861735535e+04,2.815123553403272467e+02
1.013200807938910839e+04,2.815135709951132412e+02
1.013200810016086143e+04,2.815147867512996527e+02
1.013200812093261447e+04,2.815160026088864242e+02
1.013200814170436752e+04,2.815172185678737833e+02
1.013200816247612056e+04,2.815184346282620140e+02
1.013200818324787360e+04,2.815196507900511733e+02
1.013200820401962665e+04,2.815208670532414885e+02
1.013200822479137969e+04,2.815220834178331870e+02
1.013200824556313273e+04,2.815232998838262688e+02
1.013200826633488577e+04,2.815245164512210749e+02
1.013200828710663882e+04,2.815257331200176623e+02
1.013200830787839186e+04,2.815269498902162013e+02
1.013200832865014490e+04,2.815281667618169763e+02
1.013200834942189795e+04,2.815293837348201009e+02
1.013200837019365099e+04,2.815306008092257457e+02
1.013200839096540403e+04,2.815318179850340812e+02
1.013200841173715708e+04,2.815330352622451642e+02
1.013200843250891012e+04,2.815342526408593926e+02
1.013200845328066316e+04,2.815354701208766528e+02
1.013200847405241620e+04,2.815366877022974563e+02
1.013200849482416925e+04,2.815379053851216327e+02
1.013200851559592229e+04,2.815391231693495797e+02
1.013200853636767533e+04,2.815403410549814112e+02
1.013200855713942838e+04,2.815415590420172975e+02
1.013200857791118142e+04,2.815427771304574094e+02
1.013200859868293446e+04,2.815439953203018604e+02
1.013200861945468932e+04,2.815452136116575161e+02
1.013200864022644237e+04,2.815464320043112139e+02
1.013200866099819541e+04,2.815476504983698192e+02
1.013200868176994845e+04,2.815488690938334457e+02
1.013200870254170150e+04,2.815500877907023778e+02
1.013200872331345454e+04,2.815513065889766722e+02
1.013200874408520758e+04,2.815525254886564994e+02
1.013200876485696062e+04,2.815537444897421437e+02
1.013200878562871367e+04,2.815549635922335483e+02
1.013200880640046671e+04,2.815561827961311678e+02
1.013200882717221975e+04,2.815574021014350024e+02
1.013200884794397280e+04,2.815586215081451087e+02
1.013200886871572584e+04,2.815598410162619416e+02
1.013200888948747888e+04,2.815610606257853874e+02
1.013200891025923193e+04,2.815622803367158440e+02
1.013200893103098497e+04,2.815635001490533682e+02
1.013200895180273801e+04,2.815647200627980737e+02
1.013200897257449105e+04,2.815659400779502448e+02
1.013200899334624410e+04,2.815671601945099951e+02
1.013200901411799714e+04,2.815683804124774383e+02
1.013200903488975018e+04,2.815696007318528018e+02
1.013200905566150323e+04,2.815708211526363129e+02
1.013200907643325627e+04,2.815720416748280286e+02
1.013200909720500931e+04,2.815732622984281761e+02
1.013200911797676235e+04,2.815744830234368692e+02
1.013200913874851540e+04,2.815757038498543352e+02
1.013200915952026844e+04,2.815769247776807447e+02
1.013200918029202148e+04,2.815781458069162113e+02
1.013200920106377453e+04,2.815793669375609056e+02
1.013200922183552757e+04,2.815805881696150550e+02
1.013200924260728061e+04,2.815818095030787731e+02
1.013200926337903547e+04,2.815830309380592098e+02
1.013200928415078852e+04,2.815842524743426338e+02
1.013200930492254156e+04,2.815854741120360245e+02
1.013200932569429460e+04,2.815866958511397797e+02
1.013200934646604765e+04,2.815879176916538427e+02
1.013200936723780069e+04,2.815891396335785544e+02
1.013200938800955373e+04,2.815903616769140285e+02
1.013200940878130677e+04,2.815915838216603788e+02
1.013200942955305982e+04,2.815928060678177758e+02
1.013200945032481286e+04,2.815940284153864468e+02
