Time (BJD_TBD - 2450000), F_b/F_star (ppm)
1.065017476784496648e+04,7.222565403813447347e+02
1.065017478913528976e+04,7.222629810677130990e+02
1.065017481042561303e+04,7.222694189518687153e+02
1.065017483171593813e+04,7.222758540343107825e+02
1.065017485300626140e+04,7.222822863138892444e+02
1.065017487429658468e+04,7.222887157911034137e+02
1.065017489558690795e+04,7.222951424659032682e+02
1.065017491687723123e+04,7.223015663382381035e+02
1.065017493816755450e+04,7.223079874080576701e+02
1.065017495945787778e+04,7.223144056753116047e+02
1.065017498074820105e+04,7.223208211399498850e+02
1.065017500203852433e+04,7.223272338019215795e+02
1.065017502332884942e+04,7.223336436617246363e+02
1.065017504461917270e+04,7.223400507182130923e+02
1.065017506590949597e+04,7.223464549718846683e+02
1.065017508719981925e+04,7.223528564226891149e+02
1.065017510849014252e+04,7.223592550705761823e+02
1.065017512978046580e+04,7.223656509154957348e+02
1.065017515107078907e+04,7.223720439573977501e+02
1.065017517236111235e+04,7.223784341962319786e+02
1.065017519365143562e+04,7.223848216319485118e+02
1.065017521494176071e+04,7.223912062650423422e+02
1.065017523623208399e+04,7.223975880943727361e+02
1.065017525752240726e+04,7.224039671204351407e+02
1.065017527881273054e+04,7.224103433431794201e+02
1.065017530010305381e+04,7.224167167625558932e+02
1.065017532139337709e+04,7.224230873785144240e+02
1.065017534268370036e+04,7.224294551910051041e+02
1.065017536397402364e+04,7.224358201999779112e+02
1.065017538526434691e+04,7.224421824053830505e+02
1.065017540655467201e+04,7.224485418077139229e+02
1.065017542784499528e+04,7.224548984058338874e+02
1.065017544913531856e+04,7.224612522002366859e+02
1.065017547042564183e+04,7.224676031908724099e+02
1.065017549171596511e+04,7.224739513776912645e+02
1.065017551300628838e+04,7.224802967606435686e+02
1.065017553429661166e+04,7.224866393396795274e+02
1.065017555558693493e+04,7.224929791147494598e+02
1.065017557687725821e+04,7.224993160858037982e+02
1.065017559816758330e+04,7.225056502533335561e+02
1.065017561945790658e+04,7.225119816162069810e+02
1.065017564074822985e+04,7.225183101749156549e+02
1.065017566203855313e+04,7.225246359294101239e+02
1.065017568332887640e+04,7.225309588796405933e+02
1.065017570461919968e+04,7.225372790255577229e+02
1.065017572590952295e+04,7.225435963671117179e+02
1.065017574719984623e+04,7.225499109042532382e+02
1.065017576849016950e+04,7.225562226369327163e+02
1.065017578978049460e+04,7.225625315656395742e+02
1.065017581107081787e+04,7.225688376892462657e+02
1.065017583236114115e+04,7.225751410082425537e+02
1.065017585365146442e+04,7.225814415225792118e+02
1.065017587494178770e+04,7.225877392322064452e+02
1.065017589623211097e+04,7.225940341370752549e+02
1.065017591752243425e+04,7.226003262371359597e+02
1.065017593881275752e+04,7.226066155323395606e+02
1.065017596010308080e+04,7.226129020226366038e+02
1.065017598139340589e+04,7.226191857085145784e+02
1.065017600268372917e+04,7.226254665888503723e+02
1.065017602397405244e+04,7.226317446641320430e+02
1.065017604526437572e+04,7.226380199343100230e+02
1.065017606655469899e+04,7.226442923993353133e+02
1.065017608784502227e+04,7.226505620591588013e+02
1.065017610913534554e+04,7.226568289137311467e+02
1.065017613042566882e+04,7.226630929630033506e+02
1.065017615171599209e+04,7.226693542069263003e+02
1.065017617300631719e+04,7.226756126459855523e+02
1.065017619429664046e+04,7.226818682790624280e+02
1.065017621558696374e+04,7.226881211066429387e+02
1.065017623687728701e+04,7.226943711286778580e+02
1.065017625816761029e+04,7.227006183451184143e+02
1.065017627945793356e+04,7.227068627559156084e+02
1.065017630074825684e+04,7.227131043610203278e+02
1.065017632203858011e+04,7.227193431603836871e+02
1.065017634332890339e+04,7.227255791539568008e+02
1.065017636461922848e+04,7.227318123422234066e+02
1.065017638590955175e+04,7.227380427240692597e+02
1.065017640719987503e+04,7.227442702999784387e+02
1.065017642849019830e+04,7.227504950699018309e+02
1.065017644978052158e+04,7.227567170337907783e+02
1.065017647107084485e+04,7.227629361915966228e+02
1.065017649236116813e+04,7.227691525432705930e+02
1.065017651365149140e+04,7.227753660887638034e+02
1.065017653494181468e+04,7.227815768280275961e+02
1.065017655623213977e+04,7.227877847615436622e+02
1.065017657752246305e+04,7.227939898882024181e+02
1.065017659881278632e+04,7.228001922084858961e+02
1.065017662010310960e+04,7.228063917223453245e+02
1.065017664139343287e+04,7.228125884297320454e+02
1.065017666268375615e+04,7.228187823305977417e+02
1.065017668397407942e+04,7.228249734248936420e+02
1.065017670526440270e+04,7.228311617125714292e+02
1.065017672655472597e+04,7.228373471935822181e+02
1.065017674784505107e+04,7.228435298684061081e+02
1.065017676913537434e+04,7.228497097359377221e+02
1.065017679042569762e+04,7.228558867966572734e+02
1.065017681171602089e+04,7.228620610505161039e+02
1.065017683300634417e+04,7.228682324974661242e+02
1.065017685429666744e+04,7.228744011374587899e+02
1.065017687558699072e+04,7.228805669704456704e+02
1.065017689687731399e+04,7.228867299963783353e+02
1.065017691816763727e+04,7.228928902152088085e+02
1.065017693945796236e+04,7.228990476274144612e+02
1.065017696074828564e+04,7.229052022318951458e+02
1.065017698203860891e+04,7.229113540291286881e+02
1.065017700332893219e+04,7.229175030190666575e+02
1.065017702461925546e+04,7.229236492016610782e+02
1.065017704590957874e+04,7.229297925768637469e+02
1.065017706719990201e+04,7.229359331446265742e+02
1.065017708849022529e+04,7.229420709049012430e+02
1.065017710978054856e+04,7.229482058576396639e+02
1.065017713107087366e+04,7.229543380033176163e+02
1.065017715236119693e+04,7.229604673408392728e+02
1.065017717365152021e+04,7.229665938706804127e+02
1.065017719494184348e+04,7.229727175927932876e+02
1.065017721623216676e+04,7.229788385071295806e+02
1.065017723752249003e+04,7.229849566136416570e+02
1.065017725881281331e+04,7.229910719122810860e+02
1.065017728010313658e+04,7.229971844030004604e+02
1.065017730139345986e+04,7.230032940857515769e+02
1.065017732268378495e+04,7.230094009610080548e+02
1.065017734397410823e+04,7.230155050276788415e+02
1.065017736526443150e+04,7.230216062862376702e+02
1.065017738655475478e+04,7.230277047366369061e+02
1.065017740784507805e+04,7.230338003788285732e+02
1.065017742913540133e+04,7.230398932127650369e+02
1.065017745042572460e+04,7.230459832383985486e+02
1.065017747171604788e+04,7.230520704556812461e+02
1.065017749300637115e+04,7.230581548645654948e+02
1.065017751429669624e+04,7.230642364655229812e+02
1.065017753558701952e+04,7.230703152574669730e+02
1.065017755687734279e+04,7.230763912408694978e+02
1.065017757816766607e+04,7.230824644156828072e+02
1.065017759945798934e+04,7.230885347818594937e+02
1.065017762074831262e+04,7.230946023393518090e+02
1.065017764203863590e+04,7.231006670881121181e+02
1.065017766332895917e+04,7.231067290280932411e+02
1.065017768461928245e+04,7.231127881592472022e+02
1.065017770590960754e+04,7.231188444820440964e+02
1.065017772719993081e+04,7.231248979954016249e+02
1.065017774849025409e+04,7.231309486997896556e+02
1.065017776978057736e+04,7.231369965951610084e+02
