Time (BJD_TBD - 2450000), L_c/L_star (ppm)
9.880042130885673032e+03,4.218015149312788594e+02
9.880042149445398536e+03,4.218055602137786195e+02
9.880042168005125859e+03,4.218096050270681303e+02
9.880042186564851363e+03,4.218136493703451606e+02
9.880042205124578686e+03,4.218176932443931264e+02
9.880042223684304190e+03,4.218217366484097965e+02
9.880042242244031513e+03,4.218257795831787007e+02
9.880042260803757017e+03,4.218298220478977214e+02
9.880042279363482521e+03,4.218338640429537918e+02
9.880042297923209844e+03,4.218379055687337313e+02
9.880042316482935348e+03,4.218419466244358773e+02
9.880042335042662671e+03,4.218459872108429636e+02
9.880042353602388175e+03,4.218500273271536685e+02
9.880042372162115498e+03,4.218540669741503848e+02
9.880042390721841002e+03,4.218581061510321319e+02
9.880042409281568325e+03,4.218621448585812459e+02
9.880042427841293829e+03,4.218661830959966323e+02
9.880042446401021152e+03,4.218702208640603999e+02
9.880042464960746656e+03,4.218742581619719090e+02
9.880042483520473979e+03,4.218782949905130977e+02
9.880042502080199483e+03,4.218823313488832696e+02
9.880042520639924987e+03,4.218863672374688463e+02
9.880042539199652310e+03,4.218904026566558514e+02
9.880042557759377814e+03,4.218944376056439864e+02
9.880042576319105137e+03,4.218984720852146779e+02
9.880042594878830641e+03,4.219025060945679684e+02
9.880042613438557964e+03,4.219065396344851138e+02
9.880042631998283468e+03,4.219105727041660998e+02
9.880042650558010791e+03,4.219146053043921825e+02
9.880042669117736295e+03,4.219186374343634043e+02
9.880042687677463618e+03,4.219226690948609644e+02
9.880042706237189122e+03,4.219267002850853032e+02
9.880042724796916445e+03,4.219307310058168810e+02
9.880042743356641950e+03,4.219347612562567065e+02
9.880042761916367454e+03,4.219387910367902350e+02
9.880042780476094777e+03,4.219428203478030923e+02
9.880042799035820281e+03,4.219468491884961168e+02
9.880042817595547604e+03,4.219508775596496548e+02
9.880042836155273108e+03,4.219549054604647722e+02
9.880042854715000431e+03,4.219589328917216449e+02
9.880042873274725935e+03,4.219629598526215659e+02
9.880042891834453258e+03,4.219669863439444839e+02
9.880042910394178762e+03,4.219710123648917488e+02
9.880042928953906085e+03,4.219750379162431955e+02
9.880042947513631589e+03,4.219790629972005149e+02
9.880042966073358912e+03,4.219830876085434284e+02
9.880042984633084416e+03,4.219871117494734563e+02
9.880043003192809920e+03,4.219911354203759402e+02
9.880043021752537243e+03,4.219951586216358237e+02
9.880043040312262747e+03,4.219991813524550253e+02
9.880043058871990070e+03,4.220032036136128681e+02
9.880043077431715574e+03,4.220072254043114981e+02
9.880043095991442897e+03,4.220112467253300679e+02
9.880043114551168401e+03,4.220152675758708369e+02
9.880043133110895724e+03,4.220192879567128443e+02
9.880043151670621228e+03,4.220233078670585201e+02
9.880043170230348551e+03,4.220273273076865621e+02
9.880043188790074055e+03,4.220313462777998552e+02
9.880043207349801378e+03,4.220353647781766995e+02
9.880043225909526882e+03,4.220393828080202638e+02
9.880043244469252386e+03,4.220434003677149803e+02
9.880043263028979709e+03,4.220474174576453947e+02
9.880043281588705213e+03,4.220514340770145623e+02
9.880043300148432536e+03,4.220554502266004988e+02
9.880043318708158040e+03,4.220594659056068281e+02
9.880043337267885363e+03,4.220634811148113386e+02
9.880043355827610867e+03,4.220674958534174266e+02
9.880043374387338190e+03,4.220715101222031080e+02
9.880043392947063694e+03,4.220755239203721203e+02
9.880043411506791017e+03,4.220795372487016266e+02
9.880043430066516521e+03,4.220835501063959896e+02
9.880043448626243844e+03,4.220875624942323725e+02
9.880043467185969348e+03,4.220915744114149675e+02
9.880043485745694852e+03,4.220955858583276950e+02
9.880043504305422175e+03,4.220995968353544185e+02
9.880043522865147679e+03,4.221036073416996146e+02
9.880043541424875002e+03,4.221076173781400485e+02
9.880043559984600506e+03,4.221116269438804807e+02
9.880043578544327829e+03,4.221156360396974492e+02
9.880043597104053333e+03,4.221196446647959419e+02
9.880043615663780656e+03,4.221236528199523264e+02
9.880043634223506160e+03,4.221276605043716472e+02
9.880043652783233483e+03,4.221316677188302151e+02
9.880043671342958987e+03,4.221356744625331885e+02
9.880043689902686310e+03,4.221396807362566506e+02
9.880043708462411814e+03,4.221436865392063282e+02
9.880043727022137318e+03,4.221476918717652893e+02
9.880043745581864641e+03,4.221516967343166584e+02
9.880043764141590145e+03,4.221557011260663899e+02
9.880043782701317468e+03,4.221597050477900552e+02
9.880043801261042972e+03,4.221637084986933814e+02
9.880043819820770295e+03,4.221677114795519969e+02
9.880043838380495799e+03,4.221717139895719129e+02
9.880043856940223122e+03,4.221757160295284166e+02
9.880043875499948626e+03,4.221797175986278603e+02
9.880043894059675949e+03,4.221837186976450766e+02
9.880043912619401453e+03,4.221877193257868157e+02
9.880043931179128776e+03,4.221917194838277965e+02
9.880043949738854280e+03,4.221957191709745416e+02
9.880043968298579784e+03,4.221997183876101190e+02
9.880043986858307107e+03,4.222037171341170279e+02
9.880044005418032611e+03,4.222077154097021889e+02
9.880044023977759934e+03,4.222117132151400938e+02
9.880044042537485439e+03,4.222157105496376062e+02
9.880044061097212762e+03,4.222197074139693314e+02
9.880044079656938266e+03,4.222237038073423605e+02
9.880044098216665589e+03,4.222276997305308441e+02
9.880044116776391093e+03,4.222316951827422713e+02
9.880044135336118416e+03,4.222356901647503946e+02
9.880044153895843920e+03,4.222396846757631579e+02
9.880044172455571243e+03,4.222436787165539727e+02
9.880044191015296747e+03,4.222476722863309533e+02
9.880044209575022251e+03,4.222516653854760307e+02
9.880044228134749574e+03,4.222556580143714200e+02
9.880044246694475078e+03,4.222596501722253493e+02
9.880044265254202401e+03,4.222636418598108889e+02
9.880044283813927905e+03,4.222676330763364376e+02
9.880044302373655228e+03,4.222716238225749521e+02
9.880044320933380732e+03,4.222756140977352288e+02
9.880044339493108055e+03,4.222796039025898835e+02
9.880044358052833559e+03,4.222835932363477127e+02
9.880044376612560882e+03,4.222875820997813321e+02
9.880044395172286386e+03,4.222915704920997655e+02
9.880044413732013709e+03,4.222955584140755718e+02
9.880044432291739213e+03,4.222995458649176044e+02
9.880044450851464717e+03,4.223035328450077941e+02
9.880044469411192040e+03,4.223075193547272761e+02
9.880044487970917544e+03,4.223115053932854721e+02
9.880044506530644867e+03,4.223154909614546568e+02
9.880044525090370371e+03,4.223194760584440814e+02
9.880044543650097694e+03,4.223234606850258501e+02
9.880044562209823198e+03,4.223274448404095551e+02
9.880044580769550521e+03,4.223314285253669595e+02
9.880044599329276025e+03,4.223354117391079967e+02
9.880044617889003348e+03,4.223393944824043160e+02
9.880044636448728852e+03,4.223433767544656234e+02
9.880044655008456175e+03,4.223473585560636252e+02
9.880044673568181679e+03,4.223513398864084820e+02
9.880044692127907183e+03,4.223553207458811585e+02
9.880044710687634506e+03,4.223593011348626192e+02
9.880044729247360010e+03,4.223632810525632522e+02
9.880044747807087333e+03,4.223672604997542521e+02
9.880044766366812837e+03,4.223712394756461208e+02
9.880044784926540160e+03,4.223752179810097118e+02
9.880044803486265664e+03,4.223791960150558680e+02
9.880044822045992987e+03,4.223831735785550450e+02
9.880044840605718491e+03,4.223871506707184835e+02
9.880044859165445814e+03,4.223911272923165825e+02
9.880044877725171318e+03,4.223951034425605258e+02
9.880044896284898641e+03,4.223990791222203711e+02
9.880044914844624145e+03,4.224030543305078709e+02
9.880044933404349649e+03,4.224070290678033643e+02
9.880044951964076972e+03,4.224110033344869635e+02
9.880044970523802476e+03,4.224149771297707616e+02
9.880044989083529799e+03,4.224189504544241913e+02
9.880045007643255303e+03,4.224229233076594028e+02
9.880045026202982626e+03,4.224268956902457717e+02
9.880045044762708130e+03,4.224308676013954482e+02
9.880045063322435453e+03,4.224348390418779786e+02
