Time (BJD_TBD - 2450000), L_d/L_star (ppm)
9.880046251144920461e+03,1.293283855974807182e+02
9.880046269704647784e+03,1.293252530353468615e+02
9.880046288264373288e+03,1.293221204578505876e+02
9.880046306824100611e+03,1.293189878643805173e+02
9.880046325383826115e+03,1.293158552555532310e+02
9.880046343943551619e+03,1.293127226310642754e+02
9.880046362503278942e+03,1.293095899906092825e+02
9.880046381063004446e+03,1.293064573348048611e+02
9.880046399622731769e+03,1.293033246630395183e+02
9.880046418182457273e+03,1.293001919759300620e+02
9.880046436742184596e+03,1.292970592728648285e+02
9.880046455301910100e+03,1.292939265544606542e+02
9.880046473861637423e+03,1.292907938201059324e+02
9.880046492421362927e+03,1.292876610704174993e+02
9.880046510981090250e+03,1.292845283047836062e+02
9.880046529540815754e+03,1.292813955238211747e+02
9.880046548100543077e+03,1.292782627269186548e+02
9.880046566660268581e+03,1.292751299146927408e+02
9.880046585219994085e+03,1.292719970868388373e+02
9.880046603779721409e+03,1.292688642430526613e+02
9.880046622339446913e+03,1.292657313839509072e+02
9.880046640899174236e+03,1.292625985089219967e+02
9.880046659458899740e+03,1.292594656185826238e+02
9.880046678018627063e+03,1.292563327123214094e+02
9.880046696578352567e+03,1.292531997907548771e+02
9.880046715138079890e+03,1.292500668532716190e+02
9.880046733697805394e+03,1.292469339004882727e+02
9.880046752257532717e+03,1.292438009317934302e+02
9.880046770817258221e+03,1.292406679478037574e+02
9.880046789376985544e+03,1.292375349479077045e+02
9.880046807936711048e+03,1.292344019327219939e+02
9.880046826496436552e+03,1.292312689019422294e+02
9.880046845056163875e+03,1.292281358552638721e+02
9.880046863615889379e+03,1.292250027933036449e+02
9.880046882175616702e+03,1.292218697154500546e+02
9.880046900735342206e+03,1.292187366223198239e+02
9.880046919295069529e+03,1.292156035133013745e+02
9.880046937854795033e+03,1.292124703890115143e+02
9.880046956414522356e+03,1.292093372488386080e+02
9.880046974974247860e+03,1.292062040933994922e+02
9.880046993533975183e+03,1.292030709220825599e+02
9.880047012093700687e+03,1.291999377355046477e+02
9.880047030653428010e+03,1.291968045330539780e+02
9.880047049213153514e+03,1.291936713153475580e+02
9.880047067772879018e+03,1.291905380820807920e+02
9.880047086332606341e+03,1.291874048329491984e+02
9.880047104892331845e+03,1.291842715685694998e+02
9.880047123452059168e+03,1.291811382883302031e+02
9.880047142011784672e+03,1.291780049928480310e+02
9.880047160571511995e+03,1.291748716815114904e+02
9.880047179131237499e+03,1.291717383549371903e+02
9.880047197690964822e+03,1.291686050125137228e+02
9.880047216250690326e+03,1.291654716548577539e+02
9.880047234810417649e+03,1.291623382813577336e+02
9.880047253370143153e+03,1.291592048926304130e+02
9.880047271929870476e+03,1.291560714880642990e+02
9.880047290489595980e+03,1.291529380682761143e+02
9.880047309049321484e+03,1.291498046329613487e+02
9.880047327609048807e+03,1.291466711818154351e+02
9.880047346168774311e+03,1.291435377154553521e+02
9.880047364728501634e+03,1.291404042332693507e+02
9.880047383288227138e+03,1.291372707358742957e+02
9.880047401847954461e+03,1.291341372226585520e+02
