Time (BJD_TBD - 2450000), F_star + F_h (mJy)
9.913950228043868265e+03,3.604081888812012746e+00
9.913950246147531288e+03,3.604081888774150588e+00
9.913950264251192493e+03,3.604081888736290207e+00
9.913950282354855517e+03,3.604081888698430269e+00
9.913950300458518541e+03,3.604081888660571220e+00
9.913950318562179746e+03,3.604081888622713947e+00
9.913950336665842769e+03,3.604081888584857118e+00
9.913950354769503974e+03,3.604081888547002066e+00
9.913950372873166998e+03,3.604081888509147902e+00
9.913950390976828203e+03,3.604081888471294626e+00
9.913950409080491227e+03,3.604081888433442682e+00
9.913950427184152431e+03,3.604081888395591626e+00
9.913950445287815455e+03,3.604081888357741459e+00
9.913950463391478479e+03,3.604081888319893068e+00
9.913950481495139684e+03,3.604081888282045121e+00
9.913950499598802708e+03,3.604081888244198062e+00
9.913950517702463912e+03,3.604081888206352779e+00
9.913950535806126936e+03,3.604081888168507941e+00
9.913950553909788141e+03,3.604081888130664879e+00
9.913950572013451165e+03,3.604081888092822705e+00
9.913950590117112370e+03,3.604081888054981420e+00
9.913950608220775393e+03,3.604081888017141466e+00
9.913950626324438417e+03,3.604081887979302401e+00
9.913950644428099622e+03,3.604081887941464224e+00
9.913950662531762646e+03,3.604081887903627823e+00
9.913950680635423851e+03,3.604081887865791867e+00
9.913950698739086874e+03,3.604081887827956798e+00
9.913950716842748079e+03,3.604081887790123506e+00
9.913950734946411103e+03,3.604081887752290658e+00
9.913950753050072308e+03,3.604081887714459143e+00
9.913950771153735332e+03,3.604081887676628959e+00
9.913950789257398355e+03,3.604081887638800108e+00
9.913950807361059560e+03,3.604081887600971701e+00
9.913950825464722584e+03,3.604081887563144626e+00
9.913950843568383789e+03,3.604081887525318439e+00
9.913950861672046813e+03,3.604081887487493585e+00
9.913950879775708017e+03,3.604081887449670063e+00
9.913950897879371041e+03,3.604081887411846985e+00
9.913950915983032246e+03,3.604081887374025683e+00
9.913950934086695270e+03,3.604081887336204826e+00
9.913950952190358294e+03,3.604081887298385745e+00
9.913950970294019498e+03,3.604081887260567552e+00
9.913950988397682522e+03,3.604081887222750247e+00
9.913951006501343727e+03,3.604081887184933830e+00
9.913951024605006751e+03,3.604081887147118746e+00
9.913951042708667956e+03,3.604081887109305438e+00
9.913951060812330979e+03,3.604081887071491686e+00
9.913951078915992184e+03,3.604081887033680154e+00
9.913951097019655208e+03,3.604081886995869954e+00
9.913951115123318232e+03,3.604081886958059755e+00
9.913951133226979437e+03,3.604081886920250888e+00
9.913951151330642460e+03,3.604081886882444241e+00
9.913951169434303665e+03,3.604081886844638039e+00
9.913951187537966689e+03,3.604081886806832280e+00
9.913951205641627894e+03,3.604081886769027854e+00
9.913951223745290918e+03,3.604081886731224760e+00
9.913951241848952122e+03,3.604081886693423442e+00
9.913951259952615146e+03,3.604081886655622124e+00
9.913951278056278170e+03,3.604081886617822139e+00
9.913951296159939375e+03,3.604081886580023042e+00
9.913951314263602399e+03,3.604081886542225721e+00
9.913951332367263603e+03,3.604081886504429288e+00
9.913951350470926627e+03,3.604081886466634188e+00
9.913951368574587832e+03,3.604081886428839088e+00
9.913951386678250856e+03,3.604081886391046652e+00
9.913951404781913880e+03,3.604081886353254216e+00
9.913951422885575084e+03,3.604081886315463112e+00
9.913951440989238108e+03,3.604081886277672897e+00
9.913951459092899313e+03,3.604081886239884014e+00
9.913951477196562337e+03,3.604081886202096463e+00
9.913951495300223542e+03,3.604081886164309356e+00
9.913951513403886565e+03,3.604081886126524026e+00
9.913951531507547770e+03,3.604081886088739584e+00
9.913951549611210794e+03,3.604081886050955585e+00
9.913951567714873818e+03,3.604081886013173364e+00
9.913951585818535023e+03,3.604081885975392030e+00
9.913951603922198046e+03,3.604081885937611585e+00
9.913951622025859251e+03,3.604081885899832471e+00
9.913951640129522275e+03,3.604081885862055135e+00
9.913951658233183480e+03,3.604081885824277798e+00
9.913951676336846504e+03,3.604081885786501793e+00
9.913951694440507708e+03,3.604081885748726677e+00
9.913951712544170732e+03,3.604081885710953337e+00
9.913951730647833756e+03,3.604081885673180885e+00
9.913951748751494961e+03,3.604081885635408877e+00
9.913951766855157985e+03,3.604081885597639090e+00
9.913951784958819189e+03,3.604081885559869303e+00
9.913951803062482213e+03,3.604081885522101736e+00
9.913951821166143418e+03,3.604081885484333725e+00
9.913951839269806442e+03,3.604081885446568378e+00
9.913951857373467647e+03,3.604081885408803032e+00
9.913951875477130670e+03,3.604081885371039462e+00
9.913951893580793694e+03,3.604081885333276336e+00
9.913951911684454899e+03,3.604081885295514986e+00
9.913951929788117923e+03,3.604081885257754525e+00
9.913951947891779128e+03,3.604081885219994508e+00
9.913951965995442151e+03,3.604081885182236267e+00
9.913951984099103356e+03,3.604081885144478914e+00
9.913952002202766380e+03,3.604081885106723337e+00
9.913952020306427585e+03,3.604081885068967317e+00
9.913952038410090609e+03,3.604081885031213961e+00
9.913952056513753632e+03,3.604081884993460605e+00
9.913952074617414837e+03,3.604081884955709025e+00
9.913952092721077861e+03,3.604081884917957890e+00
9.913952110824739066e+03,3.604081884880208531e+00
9.913952128928402090e+03,3.604081884842460060e+00
9.913952147032063294e+03,3.604081884804712033e+00
9.913952165135726318e+03,3.604081884766965782e+00
9.913952183239387523e+03,3.604081884729220420e+00
9.913952201343050547e+03,3.604081884691475945e+00
9.913952219446713571e+03,3.604081884653732804e+00
9.913952237550374775e+03,3.604081884615990994e+00
9.913952255654037799e+03,3.604081884578250072e+00
9.913952273757699004e+03,3.604081884540509595e+00
9.913952291861362028e+03,3.604081884502771338e+00
9.913952309965023233e+03,3.604081884465033525e+00
9.913952328068686256e+03,3.604081884427296600e+00
9.913952346172347461e+03,3.604081884389561008e+00
9.913952364276010485e+03,3.604081884351826748e+00
9.913952382379673509e+03,3.604081884314093376e+00
9.913952400483334713e+03,3.604081884276361780e+00
9.913952418586997737e+03,3.604081884238629740e+00
9.913952436690658942e+03,3.604081884200899477e+00
9.913952454794321966e+03,3.604081884163170990e+00
9.913952472897983171e+03,3.604081884125443391e+00
9.913952491001646194e+03,3.604081884087716237e+00
9.913952509105307399e+03,3.604081884049989970e+00
9.913952527208970423e+03,3.604081884012265480e+00
9.913952545312633447e+03,3.604081883974542766e+00
9.913952563416294652e+03,3.604081883936819608e+00
9.913952581519957675e+03,3.604081883899098226e+00
9.913952599623618880e+03,3.604081883861378621e+00
9.913952617727281904e+03,3.604081883823658572e+00
9.913952635830943109e+03,3.604081883785940299e+00
9.913952653934606133e+03,3.604081883748223802e+00
9.913952672038267337e+03,3.604081883710508194e+00
9.913952690141930361e+03,3.604081883672793030e+00
9.913952708245593385e+03,3.604081883635079198e+00
9.913952726349254590e+03,3.604081883597366254e+00
9.913952744452917614e+03,3.604081883559655530e+00
9.913952762556578818e+03,3.604081883521944363e+00
9.913952780660241842e+03,3.604081883484234972e+00
9.913952798763903047e+03,3.604081883446527357e+00
9.913952816867566071e+03,3.604081883408819742e+00
9.913952834971229095e+03,3.604081883371113459e+00
9.913952853074890299e+03,3.604081883333408953e+00
9.913952871178553323e+03,3.604081883295704447e+00
9.913952889282214528e+03,3.604081883258002161e+00
9.913952907385877552e+03,3.604081883220299876e+00
9.913952925489538757e+03,3.604081883182599366e+00
9.913952943593201780e+03,3.604081883144899745e+00
9.913952961696862985e+03,3.604081883107201456e+00
9.913952979800526009e+03,3.604081883069504055e+00
9.913952997904189033e+03,3.604081883031807543e+00
9.913953016007850238e+03,3.604081882994112362e+00
9.913953034111513261e+03,3.604081882956418514e+00
9.913953052215174466e+03,3.604081882918725110e+00
9.913953070318837490e+03,3.604081882881033039e+00
9.913953088422498695e+03,3.604081882843342299e+00
9.913953106526161719e+03,3.604081882805652892e+00
9.913953124629822923e+03,3.604081882767963485e+00
9.913953142733485947e+03,3.604081882730276742e+00
9.913953160837148971e+03,3.604081882692589556e+00
9.913953178940810176e+03,3.604081882654904145e+00
9.913953197044473200e+03,3.604081882617219623e+00
9.913953215148134404e+03,3.604081882579536877e+00
9.913953233251797428e+03,3.604081882541854576e+00
9.913953251355458633e+03,3.604081882504173162e+00
9.913953269459121657e+03,3.604081882466493525e+00
9.913953287562782862e+03,3.604081882428814332e+00
9.913953305666445885e+03,3.604081882391136915e+00
9.913953323770108909e+03,3.604081882353460387e+00
9.913953341873770114e+03,3.604081882315784746e+00
9.913953359977433138e+03,3.604081882278109994e+00
9.913953378081094343e+03,3.604081882240436574e+00
9.913953396184757366e+03,3.604081882202764930e+00
9.913953414288418571e+03,3.604081882165092843e+00
