Time (BJD_TBD - 2450000), F_star + F_b (mJy)
9.913948236641024778e+03,2.558200978565216666e+00
9.913948254744687802e+03,2.558201059007353173e+00
9.913948272848349006e+03,2.558201139452283890e+00
9.913948290952012030e+03,2.558201219900024359e+00
9.913948309055673235e+03,2.558201300350557261e+00
9.913948327159336259e+03,2.558201380803899028e+00
9.913948345262997464e+03,2.558201461260032783e+00
9.913948363366660487e+03,2.558201541718973626e+00
9.913948381470321692e+03,2.558201622180706014e+00
9.913948399573984716e+03,2.558201702645245046e+00
9.913948417677647740e+03,2.558201783112582284e+00
9.913948435781308945e+03,2.558201863582708402e+00
9.913948453884971968e+03,2.558201944055641164e+00
9.913948471988633173e+03,2.558202024531361918e+00
9.913948490092296197e+03,2.558202105009887095e+00
9.913948508195957402e+03,2.558202185491199820e+00
9.913948526299620426e+03,2.558202265975316969e+00
9.913948544403281630e+03,2.558202346462220333e+00
9.913948562506944654e+03,2.558202426951926345e+00
9.913948580610607678e+03,2.558202507444427010e+00
9.913948598714268883e+03,2.558202587939713002e+00
9.913948616817931907e+03,2.558202668437799865e+00
9.913948634921593111e+03,2.558202748938671611e+00
9.913948653025256135e+03,2.558202829442343340e+00
9.913948671128917340e+03,2.558202909948799064e+00
9.913948689232580364e+03,2.558202990458054327e+00
9.913948707336243388e+03,2.558203070970100246e+00
9.913948725439904592e+03,2.558203151484928828e+00
9.913948743543567616e+03,2.558203232002555616e+00
9.913948761647228821e+03,2.558203312522963735e+00
9.913948779750891845e+03,2.558203393046168284e+00
9.913948797854553050e+03,2.558203473572154163e+00
9.913948815958216073e+03,2.558203554100935584e+00
9.913948834061877278e+03,2.558203634632497447e+00
9.913948852165540302e+03,2.558203715166853964e+00
9.913948870269203326e+03,2.558203795703997585e+00
9.913948888372864531e+03,2.558203876243918984e+00
9.913948906476527554e+03,2.558203956786635036e+00
9.913948924580188759e+03,2.558204037332127534e+00
9.913948942683851783e+03,2.558204117880414241e+00
9.913948960787512988e+03,2.558204198431476506e+00
9.913948978891176012e+03,2.558204278985331204e+00
9.913948996994837216e+03,2.558204359541961015e+00
9.913949015098500240e+03,2.558204440101382815e+00
9.913949033202163264e+03,2.558204520663586834e+00
9.913949051305824469e+03,2.558204601228564634e+00
9.913949069409487493e+03,2.558204681796333091e+00
9.913949087513148697e+03,2.558204762366873997e+00
9.913949105616811721e+03,2.558204842940204227e+00
9.913949123720472926e+03,2.558204923516306462e+00
9.913949141824135950e+03,2.558205004095197133e+00
9.913949159927797155e+03,2.558205084676858920e+00
9.913949178031460178e+03,2.558205165261307812e+00
9.913949196135123202e+03,2.558205245848535370e+00
9.913949214238784407e+03,2.558205326438532712e+00
9.913949232342447431e+03,2.558205407031315826e+00
9.913949250446108636e+03,2.558205487626868724e+00
9.913949268549771659e+03,2.558205568225206061e+00
9.913949286653432864e+03,2.558205648826311407e+00
9.913949304757095888e+03,2.558205729430200304e+00
9.913949322860757093e+03,2.558205810036856764e+00
9.913949340964420117e+03,2.558205890646296332e+00
9.913949359068083140e+03,2.558205971258510569e+00
9.913949377171744345e+03,2.558206051873490594e+00
9.913949395275407369e+03,2.558206132491251950e+00
9.913949413379068574e+03,2.558206213111778204e+00
9.913949431482731597e+03,2.558206293735085790e+00
9.913949449586392802e+03,2.558206374361156943e+00
9.913949467690055826e+03,2.558206454990008538e+00
9.913949485793717031e+03,2.558206535621622368e+00
9.913949503897380055e+03,2.558206616256015753e+00
9.913949522001043078e+03,2.558206696893179366e+00
9.913949540104704283e+03,2.558206777533104770e+00
9.913949558208367307e+03,2.558206858175807508e+00
9.913949576312028512e+03,2.558206938821270704e+00
