Time (BJD_TBD - 2450000), F_star + F_h (mJy)
1.013336115548032103e+04,2.557575270636850640e+00
1.013336117639907934e+04,2.557575270417815183e+00
1.013336119731783765e+04,2.557575270198777950e+00
1.013336121823659596e+04,2.557575269979740717e+00
1.013336123915535427e+04,2.557575269760702152e+00
1.013336126007411258e+04,2.557575269541662255e+00
1.013336128099287089e+04,2.557575269322621914e+00
1.013336130191163102e+04,2.557575269103580240e+00
1.013336132283038933e+04,2.557575268884538122e+00
1.013336134374914764e+04,2.557575268665494228e+00
1.013336136466790595e+04,2.557575268446449890e+00
1.013336138558666426e+04,2.557575268227404219e+00
1.013336140650542256e+04,2.557575268008358105e+00
1.013336142742418087e+04,2.557575267789310214e+00
1.013336144834293918e+04,2.557575267570261879e+00
1.013336146926169931e+04,2.557575267351213100e+00
1.013336149018045762e+04,2.557575267132162100e+00
1.013336151109921593e+04,2.557575266913111101e+00
1.013336153201797424e+04,2.557575266694058769e+00
1.013336155293673255e+04,2.557575266475005105e+00
1.013336157385549086e+04,2.557575266255950996e+00
1.013336159477424917e+04,2.557575266036896000e+00
1.013336161569300748e+04,2.557575265817839671e+00
1.013336163661176761e+04,2.557575265598782011e+00
1.013336165753052592e+04,2.557575265379723906e+00
1.013336167844928423e+04,2.557575265160664912e+00
1.013336169936804254e+04,2.557575264941604587e+00
1.013336172028680085e+04,2.557575264722543373e+00
1.013336174120555916e+04,2.557575264503481272e+00
1.013336176212431747e+04,2.557575264284418282e+00
1.013336178304307577e+04,2.557575264065353959e+00
1.013336180396183590e+04,2.557575263846288305e+00
1.013336182488059421e+04,2.557575263627222650e+00
1.013336184579935252e+04,2.557575263408155219e+00
1.013336186671811083e+04,2.557575263189087789e+00
1.013336188763686914e+04,2.557575262970018137e+00
1.013336190855562745e+04,2.557575262750948042e+00
1.013336192947438576e+04,2.557575262531877058e+00
1.013336195039314589e+04,2.557575262312805631e+00
1.013336197131190420e+04,2.557575262093732427e+00
1.013336199223066251e+04,2.557575261874658779e+00
1.013336201314942082e+04,2.557575261655583354e+00
1.013336203406817913e+04,2.557575261436507486e+00
1.013336205498693744e+04,2.557575261217430285e+00
1.013336207590569575e+04,2.557575260998352640e+00
1.013336209682445406e+04,2.557575260779274107e+00
1.013336211774321418e+04,2.557575260560193797e+00
1.013336213866197249e+04,2.557575260341113044e+00
1.013336215958073080e+04,2.557575260122030958e+00
1.013336218049948911e+04,2.557575259902948872e+00
1.013336220141824742e+04,2.557575259683864566e+00
1.013336222233700573e+04,2.557575259464779815e+00
1.013336224325576404e+04,2.557575259245693733e+00
1.013336226417452235e+04,2.557575259026607206e+00
1.013336228509328248e+04,2.557575258807519791e+00
1.013336230601204079e+04,2.557575258588431044e+00
1.013336232693079910e+04,2.557575258369341409e+00
1.013336234784955741e+04,2.557575258150249997e+00
1.013336236876831572e+04,2.557575257931158585e+00
1.013336238968707403e+04,2.557575257712065842e+00
1.013336241060583234e+04,2.557575257492972653e+00
1.013336243152459065e+04,2.557575257273877689e+00
1.013336245244335078e+04,2.557575257054782281e+00
1.013336247336210909e+04,2.557575256835685540e+00
1.013336249428086739e+04,2.557575256616588355e+00
1.013336251519962570e+04,2.557575256397489838e+00
1.013336253611838401e+04,2.557575256178390433e+00
1.013336255703714232e+04,2.557575255959289695e+00
1.013336257795590063e+04,2.557575255740188069e+00
1.013336259887465894e+04,2.557575255521085555e+00
1.013336261979341907e+04,2.557575255301982153e+00
1.013336264071217738e+04,2.557575255082877863e+00
1.013336266163093569e+04,2.557575254863772241e+00
1.013336268254969400e+04,2.557575254644665730e+00
1.013336270346845231e+04,2.557575254425558331e+00
1.013336272438721062e+04,2.557575254206450488e+00
1.013336274530596893e+04,2.557575253987340425e+00
1.013336276622472906e+04,2.557575253768230361e+00
1.013336278714348737e+04,2.557575253549119410e+00
1.013336280806224568e+04,2.557575253330006682e+00
1.013336282898100399e+04,2.557575253110893510e+00
1.013336284989976230e+04,2.557575252891779449e+00
1.013336287081852061e+04,2.557575252672664057e+00
1.013336289173727891e+04,2.557575252453548220e+00
1.013336291265603722e+04,2.557575252234431051e+00
1.013336293357479735e+04,2.557575252015312550e+00
1.013336295449355566e+04,2.557575251796193161e+00
1.013336297541231397e+04,2.557575251577073328e+00
1.013336299633107228e+04,2.557575251357952162e+00
1.013336301724983059e+04,2.557575251138830108e+00
1.013336303816858890e+04,2.557575250919706722e+00
1.013336305908734721e+04,2.557575250700582448e+00
1.013336308000610552e+04,2.557575250481457729e+00
1.013336310092486565e+04,2.557575250262331235e+00
1.013336312184362396e+04,2.557575250043204740e+00
1.013336314276238227e+04,2.557575249824076469e+00
1.013336316368114058e+04,2.557575249604947754e+00
1.013336318459989889e+04,2.557575249385817262e+00
1.013336320551865720e+04,2.557575249166686771e+00
1.013336322643741551e+04,2.557575248947554947e+00
1.013336324735617382e+04,2.557575248728421791e+00
1.013336326827493394e+04,2.557575248509287746e+00
1.013336328919369225e+04,2.557575248290152814e+00
1.013336331011245056e+04,2.557575248071016993e+00
1.013336333103120887e+04,2.557575247851879841e+00
1.013336335194996718e+04,2.557575247632742244e+00
1.013336337286872549e+04,2.557575247413603758e+00
1.013336339378748380e+04,2.557575247194463941e+00
1.013336341470624211e+04,2.557575246975322791e+00
1.013336343562500224e+04,2.557575246756181198e+00
1.013336345654376055e+04,2.557575246537038272e+00
1.013336347746251886e+04,2.557575246317894901e+00
1.013336349838127717e+04,2.557575246098749755e+00
1.013336351930003548e+04,2.557575245879604608e+00
1.013336354021879379e+04,2.557575245660457686e+00
1.013336356113755210e+04,2.557575245441309875e+00
1.013336358205631223e+04,2.557575245222161175e+00
1.013336360297507053e+04,2.557575245003011588e+00
1.013336362389382884e+04,2.557575244783861113e+00
1.013336364481258715e+04,2.557575244564709749e+00
1.013336366573134546e+04,2.557575244345557053e+00
1.013336368665010377e+04,2.557575244126403469e+00
1.013336370756886208e+04,2.557575243907248996e+00
1.013336372848762039e+04,2.557575243688093636e+00
1.013336374940638052e+04,2.557575243468936943e+00
1.013336377032513883e+04,2.557575243249779362e+00
1.013336379124389714e+04,2.557575243030620893e+00
1.013336381216265545e+04,2.557575242811461536e+00
1.013336383308141376e+04,2.557575242592301290e+00
1.013336385400017207e+04,2.557575242373139712e+00
1.013336387491893038e+04,2.557575242153977246e+00
1.013336389583768869e+04,2.557575241934813448e+00
1.013336391675644882e+04,2.557575241715649206e+00
1.013336393767520713e+04,2.557575241496484075e+00
1.013336395859396544e+04,2.557575241277318057e+00
1.013336397951272374e+04,2.557575241058150262e+00
1.013336400043148205e+04,2.557575240838982022e+00
1.013336402135024036e+04,2.557575240619812895e+00
1.013336404226899867e+04,2.557575240400642880e+00
1.013336406318775698e+04,2.557575240181471976e+00
1.013336408410651711e+04,2.557575239962299740e+00
1.013336410502527542e+04,2.557575239743126172e+00
1.013336412594403373e+04,2.557575239523951716e+00
1.013336414686279204e+04,2.557575239304776815e+00
1.013336416778155035e+04,2.557575239085600582e+00
1.013336418870030866e+04,2.557575238866423906e+00
1.013336420961906697e+04,2.557575238647245452e+00
1.013336423053782528e+04,2.557575238428066111e+00
1.013336425145658541e+04,2.557575238208886326e+00
1.013336427237534372e+04,2.557575237989705208e+00
1.013336429329410203e+04,2.557575237770523646e+00
1.013336431421286034e+04,2.557575237551340752e+00
1.013336433513161865e+04,2.557575237332156526e+00
1.013336435605037695e+04,2.557575237112970967e+00
1.013336437696913526e+04,2.557575236893785409e+00
1.013336439788789539e+04,2.557575236674598518e+00
1.013336441880665370e+04,2.557575236455410739e+00
1.013336443972541201e+04,2.557575236236221627e+00
1.013336446064417032e+04,2.557575236017031628e+00
1.013336448156292863e+04,2.557575235797840740e+00
1.013336450248168694e+04,2.557575235578649409e+00
1.013336452340044525e+04,2.557575235359455856e+00
1.013336454431920356e+04,2.557575235140262304e+00
1.013336456523796369e+04,2.557575234921067864e+00
1.013336458615672200e+04,2.557575234701871647e+00
1.013336460707548031e+04,2.557575234482675430e+00
1.013336462799423862e+04,2.557575234263477437e+00
1.013336464891299693e+04,2.557575234044278556e+00
