Time (BJD_TBD - 2450000), L_b/L_star (ppm)
9.881539996683815843e+03,4.596929801694051889e+02
9.881543845836093169e+03,4.531484026368781315e+02
9.881547694988368676e+03,4.465931011949243725e+02
9.881551544140646001e+03,4.400287557686455671e+02
9.881555393292921508e+03,4.334570486132496399e+02
9.881559242445197015e+03,4.268796638612349170e+02
9.881563091597474340e+03,4.202982871000909881e+02
9.881566940749749847e+03,4.137146049496706723e+02
9.881570789902027173e+03,4.071303046081941375e+02
9.881574639054302679e+03,4.005470734447447967e+02
9.881578488206580005e+03,3.939665985419662775e+02
9.881582337358855511e+03,3.873905662885929360e+02
9.881586186511132837e+03,3.808206619224051792e+02
9.881590035663408344e+03,3.742585691232090426e+02
9.881593884815685669e+03,3.677059695565261563e+02
9.881597733967961176e+03,3.611645424674321703e+02
9.881601583120236683e+03,3.546359642285373184e+02
9.881605432272514008e+03,3.481219079196883968e+02
9.881609281424789515e+03,3.416240429084219841e+02
9.881613130577066840e+03,3.351440344006231840e+02
9.881616979729342347e+03,3.286835430383448511e+02
9.881620828881619673e+03,3.222442244497369757e+02
9.881624678033895179e+03,3.158277288491822787e+02
9.881628527186172505e+03,3.094357005900517947e+02
9.881632376338448012e+03,3.030697777675597422e+02
9.881636225490723518e+03,2.967315917777953587e+02
9.881640074643000844e+03,2.904227669087648565e+02
9.881643923795276351e+03,2.841449199330160695e+02
9.881647772947553676e+03,2.778996596724817323e+02
9.881651622099829183e+03,2.716885866099065083e+02
9.881655471252106508e+03,2.655132924550908911e+02
9.881659320404382015e+03,2.593753597604568313e+02
9.881663169556659341e+03,2.532763614921441331e+02
9.881667018708934847e+03,2.472178606501070419e+02
9.881670867861210354e+03,2.412014098473421200e+02
9.881674717013487680e+03,2.352285509207347616e+02
9.881678566165763186e+03,2.293008145443106969e+02
9.881682415318040512e+03,2.234197198172623189e+02
9.881686264470316019e+03,2.175867738970583218e+02
9.881690113622593344e+03,2.118034715909711849e+02
9.881693962774868851e+03,2.060712949950508062e+02
9.881697811927146176e+03,2.003917130924443484e+02
9.881701661079421683e+03,1.947661813986096035e+02
9.881705510231697190e+03,1.891961415694573532e+02
9.881709359383974515e+03,1.836830210400677288e+02
9.881713208536250022e+03,1.782282326665778669e+02
9.881717057688527348e+03,1.728331743459414724e+02
9.881720906840802854e+03,1.674992286783046893e+02
9.881724755993080180e+03,1.622277625922996265e+02
9.881728605145355687e+03,1.570201270148943706e+02
9.881732454297633012e+03,1.518776565052711192e+02
9.881736303449908519e+03,1.468016689324989272e+02
9.881740152602184025e+03,1.417934651207158367e+02
9.881744001754461351e+03,1.368543285232002518e+02
9.881747850906736858e+03,1.319855249003173867e+02
9.881751700059014183e+03,1.271883019788869404e+02
