Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.905198318188142366e+03,1.277875484262981018e+02
9.905198339517821296e+03,1.277760299994821338e+02
9.905198360847500226e+03,1.277645118961711290e+02
9.905198382177180974e+03,1.277529941154184030e+02
9.905198403506859904e+03,1.277414766592235225e+02
9.905198424836538834e+03,1.277299595266394903e+02
9.905198446166217764e+03,1.277184427177016488e+02
9.905198467495896693e+03,1.277069262324453121e+02
9.905198488825575623e+03,1.276954100709057087e+02
9.905198510155256372e+03,1.276838942321359127e+02
9.905198531484935302e+03,1.276723787181355760e+02
9.905198552814614231e+03,1.276608635279576589e+02
9.905198574144293161e+03,1.276493486616374753e+02
9.905198595473972091e+03,1.276378341192104813e+02
9.905198616803652840e+03,1.276263198997297081e+02
9.905198638133331769e+03,1.276148060051945947e+02
9.905198659463010699e+03,1.276032924346582718e+02
9.905198680792689629e+03,1.275917791881559538e+02
9.905198702122368559e+03,1.275802662657230258e+02
9.905198723452047489e+03,1.275687536673946312e+02
9.905198744781728237e+03,1.275572413922244124e+02
9.905198766111407167e+03,1.275457294422109555e+02
9.905198787441086097e+03,1.275342178164079883e+02
9.905198808770765027e+03,1.275227065148506256e+02
9.905198830100443956e+03,1.275111955375740251e+02
9.905198851430124705e+03,1.274996848836319714e+02
9.905198872759803635e+03,1.274881745550228800e+02
9.905198894089482565e+03,1.274766645508003791e+02
9.905198915419161494e+03,1.274651548709998252e+02
9.905198936748840424e+03,1.274536455156563761e+02
9.905198958078521173e+03,1.274421364838236883e+02
9.905198979408200103e+03,1.274306277775002059e+02
9.905199000737879032e+03,1.274191193957395711e+02
9.905199022067557962e+03,1.274076113385768991e+02
9.905199043397236892e+03,1.273961036060475891e+02
9.905199064726915822e+03,1.273845961981868840e+02
9.905199086056596570e+03,1.273730891140486108e+02
9.905199107386275500e+03,1.273615823556308015e+02
9.905199128715954430e+03,1.273500759219872549e+02
9.905199150045633360e+03,1.273385698131531427e+02
9.905199171375312289e+03,1.273270640291638784e+02
9.905199192704993038e+03,1.273155585690733886e+02
9.905199214034671968e+03,1.273040534348792647e+02
9.905199235364350898e+03,1.272925486256355612e+02
9.905199256694029827e+03,1.272810441413776630e+02
9.905199278023708757e+03,1.272695399821406852e+02
9.905199299353387687e+03,1.272580361479597428e+02
9.905199320683068436e+03,1.272465326378892314e+02
9.905199342012747366e+03,1.272350294539263160e+02
9.905199363342426295e+03,1.272235265951251790e+02
9.905199384672105225e+03,1.272120240615212197e+02
9.905199406001784155e+03,1.272005218531495245e+02
9.905199427331464904e+03,1.271890199690643470e+02
9.905199448661143833e+03,1.271775184112629091e+02
9.905199469990822763e+03,1.271660171787993079e+02
9.905199491320501693e+03,1.271545162717089710e+02
9.905199512650180623e+03,1.271430156900269282e+02
9.905199533979859552e+03,1.271315154337885929e+02
9.905199555309540301e+03,1.271200155020482470e+02
9.905199576639219231e+03,1.271085158968027855e+02
9.905199597968898161e+03,1.270970166171065756e+02
9.905199619298577090e+03,1.270855176629947749e+02
9.905199640628256020e+03,1.270740190345026122e+02
9.905199661957936769e+03,1.270625207306849802e+02
9.905199683287615699e+03,1.270510227535377794e+02
9.905199704617294628e+03,1.270395251021160732e+02
9.905199725946973558e+03,1.270280277764548913e+02
9.905199747276652488e+03,1.270165307765893772e+02
9.905199768606331418e+03,1.270050341025548875e+02
9.905199789936012166e+03,1.269935377534061161e+02
9.905199811265691096e+03,1.269820417311390628e+02
9.905199832595370026e+03,1.269705460348085779e+02
9.905199853925048956e+03,1.269590506644499470e+02
9.905199875254727885e+03,1.269475556200983135e+02
9.905199896584408634e+03,1.269360609008084566e+02
9.905199917914087564e+03,1.269245665085763761e+02
9.905199939243766494e+03,1.269130724424567376e+02
9.905199960573445424e+03,1.269015787024849118e+02
9.905199981903124353e+03,1.268900852886961275e+02
9.905200003232805102e+03,1.268785922001452775e+02
9.905200024562484032e+03,1.268670994388280349e+02
9.905200045892162962e+03,1.268556070037993635e+02
9.905200067221841891e+03,1.268441148950943500e+02
9.905200088551520821e+03,1.268326231127483652e+02
9.905200109881199751e+03,1.268211316567964388e+02
9.905200131210880500e+03,1.268096405262939186e+02
9.905200152540559429e+03,1.267981497232358379e+02
9.905200173870238359e+03,1.267866592466775444e+02
9.905200195199917289e+03,1.267751690966541673e+02
9.905200216529596219e+03,1.267636792732007791e+02
9.905200237859276967e+03,1.267521897753728695e+02
9.905200259188955897e+03,1.267407006051653298e+02
9.905200280518634827e+03,1.267292117616331808e+02
9.905200301848313757e+03,1.267177232448120492e+02
9.905200323177992686e+03,1.267062350547369078e+02
9.905200344507671616e+03,1.266947471914429713e+02
9.905200365837352365e+03,1.266832596539856155e+02
9.905200387167031295e+03,1.266717724443595756e+02
9.905200408496710224e+03,1.266602855616201566e+02
9.905200429826389154e+03,1.266487990058026440e+02
9.905200451156068084e+03,1.266373127769422808e+02
9.905200472485748833e+03,1.266258268740945567e+02
9.905200493815427762e+03,1.266143412992538657e+02
9.905200515145106692e+03,1.266028560514757544e+02
9.905200536474785622e+03,1.265913711307953236e+02
9.905200557804464552e+03,1.265798865372479298e+02
9.905200579134143481e+03,1.265684022708685461e+02
9.905200600463824230e+03,1.265569183307131595e+02
9.905200621793503160e+03,1.265454347187754820e+02
9.905200643123182090e+03,1.265339514341115432e+02
9.905200664452861020e+03,1.265224684767563161e+02
9.905200685782539949e+03,1.265109858467449726e+02
9.905200707112220698e+03,1.264995035431335850e+02
9.905200728441899628e+03,1.264880215679156237e+02
9.905200749771578558e+03,1.264765399201470899e+02
9.905200771101257487e+03,1.264650585998632124e+02
9.905200792430936417e+03,1.264535776070990920e+02
9.905200813760617166e+03,1.264420969409106874e+02
9.905200835090296096e+03,1.264306166032915542e+02
9.905200856419975025e+03,1.264191365932975089e+02
9.905200877749653955e+03,1.264076569109639934e+02
9.905200899079332885e+03,1.263961775563258527e+02
9.905200920409011815e+03,1.263846985294185004e+02
9.905200941738692563e+03,1.263732198292980087e+02
9.905200963068371493e+03,1.263617414579575069e+02
9.905200984398050423e+03,1.263502634144531385e+02
9.905201005727729353e+03,1.263387856988199758e+02
9.905201027057408282e+03,1.263273083110932333e+02
9.905201048387089031e+03,1.263158312503294951e+02
9.905201069716767961e+03,1.263043545185210235e+02
9.905201091046446891e+03,1.262928781147245729e+02
9.905201112376125820e+03,1.262814020389751590e+02
9.905201133705804750e+03,1.262699262913078257e+02
9.905201155035483680e+03,1.262584508717578728e+02
9.905201176365164429e+03,1.262469757793817706e+02
9.905201197694843358e+03,1.262355010161718241e+02
9.905201219024522288e+03,1.262240265811845603e+02
9.905201240354201218e+03,1.262125524744552791e+02
9.905201261683880148e+03,1.262010786960189961e+02
9.905201283013560897e+03,1.261896052449322951e+02
9.905201304343239826e+03,1.261781321231874671e+02
9.905201325672918756e+03,1.261666593298409538e+02
9.905201347002597686e+03,1.261551868649279555e+02
9.905201368332276616e+03,1.261437147284837437e+02
9.905201389661955545e+03,1.261322429205433338e+02
9.905201410991636294e+03,1.261207714401634945e+02
9.905201432321315224e+03,1.261093002893361472e+02
9.905201453650994154e+03,1.260978294671178901e+02
9.905201474980673083e+03,1.260863589735440371e+02
9.905201496310352013e+03,1.260748888086495754e+02
9.905201517640032762e+03,1.260634189714916289e+02
9.905201538969711692e+03,1.260519494640614369e+02
9.905201560299390621e+03,1.260404802854161801e+02
9.905201581629069551e+03,1.260290114355908884e+02
9.905201602958748481e+03,1.260175429146205488e+02
9.905201624288427411e+03,1.260060747225405180e+02
9.905201645618108159e+03,1.259946068584077921e+02
9.905201666947787089e+03,1.259831393242133259e+02
9.905201688277466019e+03,1.259716721190145989e+02
9.905201709607144949e+03,1.259602052428465271e+02
9.905201730936823878e+03,1.259487386957442396e+02
9.905201752266504627e+03,1.259372724767648890e+02
9.905201773596183557e+03,1.259258065878995296e+02
9.905201794925862487e+03,1.259143410282052002e+02
9.905201816255541416e+03,1.259028757977170869e+02
9.905201837585220346e+03,1.258914108964704184e+02
9.905201858914901095e+03,1.258799463235224039e+02
9.905201880244580025e+03,1.258684820808637426e+02
9.905201901574258954e+03,1.258570181675517716e+02
9.905201922903937884e+03,1.258455545836214924e+02
9.905201944233616814e+03,1.258340913291081620e+02
9.905201965563295744e+03,1.258226284040467249e+02
9.905201986892976493e+03,1.258111658074949730e+02
9.905202008222655422e+03,1.257997035414428240e+02
9.905202029552334352e+03,1.257882416049480838e+02
9.905202050882013282e+03,1.257767799980457255e+02
9.905202072211692212e+03,1.257653187207707504e+02
9.905202093541372960e+03,1.257538577721811066e+02
9.905202114871051890e+03,1.257423971542664560e+02
9.905202136200730820e+03,1.257309368660845479e+02
9.905202157530409750e+03,1.257194769076706535e+02
9.905202178860088679e+03,1.257080172790597317e+02
9.905202200189767609e+03,1.256965579802867552e+02
9.905202221519448358e+03,1.256850990104098003e+02
9.905202242849127288e+03,1.256736403714184007e+02
9.905202264178806217e+03,1.256621820623702064e+02
9.905202285508485147e+03,1.256507240833004317e+02
9.905202306838164077e+03,1.256392664342442913e+02
9.905202328167844826e+03,1.256278091142595486e+02
9.905202349497523755e+03,1.256163521253357516e+02
9.905202370827202685e+03,1.256048954665306780e+02
9.905202392156881615e+03,1.255934391378794004e+02
9.905202413486560545e+03,1.255819831394170478e+02
9.905202434816239474e+03,1.255705274711788206e+02
9.905202456145920223e+03,1.255590721322226955e+02
9.905202477475599153e+03,1.255476171245377799e+02
9.905202498805278083e+03,1.255361624471821216e+02
9.905202520134957012e+03,1.255247081001907219e+02
9.905202541464635942e+03,1.255132540835988522e+02
9.905202562794316691e+03,1.255018003964647164e+02
9.905202584123995621e+03,1.254903470407768395e+02
9.905202605453674551e+03,1.254788940155936103e+02
9.905202626783353480e+03,1.254674413209502006e+02
9.905202648113032410e+03,1.254559889568815692e+02
9.905202669442713159e+03,1.254445369224460762e+02
9.905202690772392089e+03,1.254330852196322894e+02
9.905202712102071018e+03,1.254216338474984127e+02
9.905202733431749948e+03,1.254101828060795754e+02
9.905202754761428878e+03,1.253987320954109634e+02
9.905202776091107808e+03,1.253872817155275925e+02
9.905202797420788556e+03,1.253758316654879366e+02
9.905202818750467486e+03,1.253643819472801795e+02
9.905202840080146416e+03,1.253529325599628095e+02
9.905202861409825346e+03,1.253414835035707853e+02
9.905202882739504275e+03,1.253300347781393072e+02
9.905202904069185024e+03,1.253185863827272613e+02
9.905202925398863954e+03,1.253071383193219219e+02
9.905202946728542884e+03,1.252956905869824737e+02
9.905202968058221813e+03,1.252842431857437759e+02
9.905202989387900743e+03,1.252727961156407872e+02
9.905203010717579673e+03,1.252613493767087647e+02
9.905203032047260422e+03,1.252499029680064808e+02
9.905203053376939351e+03,1.252384568915211815e+02
9.905203074706618281e+03,1.252270111463120799e+02
9.905203096036297211e+03,1.252155657324140776e+02
9.905203117365976141e+03,1.252041206498621477e+02
9.905203138695656889e+03,1.251926758977153042e+02
9.905203160025335819e+03,1.251812314779608357e+02
9.905203181355014749e+03,1.251697873896575146e+02
9.905203202684693679e+03,1.251583436328404986e+02
9.905203224014372609e+03,1.251469002075449595e+02
9.905203245344051538e+03,1.251354571138057850e+02
9.905203266673732287e+03,1.251240143506821454e+02
9.905203288003411217e+03,1.251125719201609456e+02
9.905203309333090147e+03,1.251011298213011855e+02
9.905203330662769076e+03,1.250896880541380369e+02
9.905203351992448006e+03,1.250782466187064585e+02
9.905203373322128755e+03,1.250668055140658623e+02
9.905203394651807685e+03,1.250553647422026273e+02
9.905203415981486614e+03,1.250439243021761513e+02
9.905203437311165544e+03,1.250324841940214355e+02
9.905203458640844474e+03,1.250210444177733962e+02
9.905203479970523404e+03,1.250096049734672050e+02
9.905203501300204152e+03,1.249981658601625156e+02
9.905203522629883082e+03,1.249867270798449397e+02
9.905203543959562012e+03,1.249752886315744718e+02
9.905203565289240942e+03,1.249638505153859569e+02
9.905203586618919871e+03,1.249524127313142969e+02
9.905203607948600620e+03,1.249409752784193159e+02
9.905203629278279550e+03,1.249295381586867819e+02
9.905203650607958480e+03,1.249181013711761636e+02
9.905203671937637409e+03,1.249066649159226330e+02
9.905203693267316339e+03,1.248952287929612623e+02
9.905203714596997088e+03,1.248837930013516768e+02
9.905203735926676018e+03,1.248723575430795734e+02
9.905203757256354947e+03,1.248609224172046197e+02
9.905203778586033877e+03,1.248494876237616893e+02
9.905203799915712807e+03,1.248380531627859966e+02
9.905203821245391737e+03,1.248266190343125714e+02
9.905203842575072485e+03,1.248151852374011668e+02
9.905203863904751415e+03,1.248037517740372095e+02
9.905203885234430345e+03,1.247923186432804954e+02
9.905203906564109275e+03,1.247808858451659262e+02
9.905203927893788205e+03,1.247694533797287164e+02
9.905203949223468953e+03,1.247580212460288323e+02
9.905203970553147883e+03,1.247465894460511038e+02
9.905203991882826813e+03,1.247351579788556819e+02
9.905204013212505743e+03,1.247237268444776532e+02
9.905204034542184672e+03,1.247122960429519054e+02
9.905204055871863602e+03,1.247008655743133403e+02
9.905204077201544351e+03,1.246894354376224783e+02
9.905204098531223281e+03,1.246780056348635810e+02
9.905204119860902210e+03,1.246665761650970268e+02
9.905204141190581140e+03,1.246551470283578595e+02
9.905204162520260070e+03,1.246437182246810380e+02
9.905204183849940819e+03,1.246322897531268126e+02
9.905204205179619748e+03,1.246208616156796580e+02
9.905204226509298678e+03,1.246094338113997821e+02
9.905204247838977608e+03,1.245980063403221294e+02
9.905204269168656538e+03,1.245865792024817580e+02
9.905204290498335467e+03,1.245751523979138113e+02
9.905204311828016216e+03,1.245637259256785825e+02
9.905204333157695146e+03,1.245522997877602194e+02
9.905204354487374076e+03,1.245408739832191429e+02
9.905204375817053005e+03,1.245294485120902124e+02
9.905204397146731935e+03,1.245180233744086280e+02
9.905204418476412684e+03,1.245065985692349813e+02
9.905204439806091614e+03,1.244951740985526811e+02
9.905204461135770543e+03,1.244837499614228307e+02
9.905204482465449473e+03,1.244723261578801328e+02
9.905204503795128403e+03,1.244609026879596314e+02
9.905204525124809152e+03,1.244494795507220033e+02
9.905204546454488082e+03,1.244380567481508422e+02
9.905204567784167011e+03,1.244266342793066968e+02
9.905204589113845941e+03,1.244152121442246113e+02
9.905204610443524871e+03,1.244037903429397431e+02
9.905204631773203801e+03,1.243923688754869517e+02
9.905204653102884549e+03,1.243809477409270698e+02
9.905204674432563479e+03,1.243695269412433078e+02
9.905204695762242409e+03,1.243581064754964558e+02
9.905204717091921339e+03,1.243466863437216858e+02
9.905204738421600268e+03,1.243352665459537008e+02
9.905204759751281017e+03,1.243238470812538878e+02
9.905204781080959947e+03,1.243124279516047181e+02
9.905204802410638877e+03,1.243010091560674937e+02
9.905204823740317806e+03,1.242895906946770737e+02
9.905204845069996736e+03,1.242781725674683315e+02
9.905204866399675666e+03,1.242667547744763681e+02
9.905204887729356415e+03,1.242553373147625706e+02
9.905204909059035344e+03,1.242439201903088843e+02
9.905204930388714274e+03,1.242325034001770376e+02
9.905204951718393204e+03,1.242210869444017760e+02
9.905204973048072134e+03,1.242096708230179871e+02
9.905204994377752882e+03,1.241982550350872856e+02
9.905205015707431812e+03,1.241868395825916167e+02
9.905205037037110742e+03,1.241754244645922967e+02
9.905205058366789672e+03,1.241640096811243836e+02
9.905205079696468601e+03,1.241525952322228505e+02
9.905205101026147531e+03,1.241411811179226703e+02
9.905205122355828280e+03,1.241297673372853012e+02
9.905205143685507210e+03,1.241183538922926033e+02
9.905205165015186139e+03,1.241069407820059922e+02
9.905205186344865069e+03,1.240955280064604835e+02
9.905205207674543999e+03,1.240841155656911496e+02
9.905205229004224748e+03,1.240727034587595909e+02
9.905205250333903678e+03,1.240612916876471274e+02
9.905205271663582607e+03,1.240498802514157006e+02
9.905205292993261537e+03,1.240384691501000134e+02
9.905205314322940467e+03,1.240270583837352376e+02
9.905205335652619397e+03,1.240156479523560762e+02
9.905205356982300145e+03,1.240042378550246838e+02
9.905205378311979075e+03,1.239928280937218830e+02
9.905205399641658005e+03,1.239814186675097574e+02
9.905205420971336935e+03,1.239700095764231236e+02
9.905205442301015864e+03,1.239586008204968266e+02
9.905205463630696613e+03,1.239471923987931063e+02
9.905205484960375543e+03,1.239357843132926433e+02
9.905205506290054473e+03,1.239243765630572511e+02
9.905205527619733402e+03,1.239129691481222295e+02
9.905205548949412332e+03,1.239015620685223382e+02
9.905205570279093081e+03,1.238901553233196466e+02
9.905205591608772011e+03,1.238787489144948069e+02
9.905205612938450940e+03,1.238673428411099025e+02
9.905205634268129870e+03,1.238559371031997500e+02
9.905205655597808800e+03,1.238445317007993651e+02
9.905205676927487730e+03,1.238331266339437917e+02
9.905205698257168478e+03,1.238217219016951418e+02
9.905205719586847408e+03,1.238103175060337264e+02
9.905205740916526338e+03,1.237989134460218281e+02
9.905205762246205268e+03,1.237875097216942635e+02
9.905205783575884197e+03,1.237761063330860765e+02
9.905205804905564946e+03,1.237647032792596775e+02
9.905205826235243876e+03,1.237533005621948377e+02
9.905205847564922806e+03,1.237418981809540668e+02
9.905205868894601736e+03,1.237304961355724231e+02
9.905205890224280665e+03,1.237190944260846663e+02
9.905205911553959595e+03,1.237076930525256699e+02
9.905205932883640344e+03,1.236962920139582280e+02
9.905205954213319274e+03,1.236848913123616853e+02
9.905205975542998203e+03,1.236734909467986796e+02
9.905205996872677133e+03,1.236620909173042833e+02
9.905206018202356063e+03,1.236506912239132703e+02
9.905206039532036812e+03,1.236392918656883069e+02
9.905206060861715741e+03,1.236278928446088656e+02
9.905206082191394671e+03,1.236164941597375417e+02
9.905206103521073601e+03,1.236050958111091376e+02
