Time (BJD_TBD - 2450000), F_star + F_h (mJy)
1.014856700139678833e+04,2.652963756389120853e+00
1.014856702227156165e+04,2.652963756440396725e+00
1.014856704314633316e+04,2.652963756491670821e+00
1.014856706402110649e+04,2.652963756542943141e+00
1.014856708489587982e+04,2.652963756594213240e+00
1.014856710577065132e+04,2.652963756645481119e+00
1.014856712664542465e+04,2.652963756696747666e+00
1.014856714752019798e+04,2.652963756748012436e+00
1.014856716839496949e+04,2.652963756799274986e+00
1.014856718926974281e+04,2.652963756850536203e+00
1.014856721014451432e+04,2.652963756901795644e+00
1.014856723101928765e+04,2.652963756953052865e+00
1.014856725189406097e+04,2.652963757004307865e+00
1.014856727276883248e+04,2.652963757055561977e+00
1.014856729364360581e+04,2.652963757106813425e+00
1.014856731451837913e+04,2.652963757158063540e+00
1.014856733539315064e+04,2.652963757209310991e+00
1.014856735626792397e+04,2.652963757260557554e+00
1.014856737714269730e+04,2.652963757311802340e+00
1.014856739801746880e+04,2.652963757363044461e+00
1.014856741889224213e+04,2.652963757414284807e+00
1.014856743976701364e+04,2.652963757465523820e+00
1.014856746064178697e+04,2.652963757516760612e+00
1.014856748151656029e+04,2.652963757567996073e+00
1.014856750239133180e+04,2.652963757619229312e+00
1.014856752326610513e+04,2.652963757670460332e+00
1.014856754414087845e+04,2.652963757721690463e+00
1.014856756501564996e+04,2.652963757772917930e+00
1.014856758589042329e+04,2.652963757824143620e+00
1.014856760676519480e+04,2.652963757875367534e+00
1.014856762763996812e+04,2.652963757926589672e+00
1.014856764851474145e+04,2.652963757977810477e+00
1.014856766938951296e+04,2.652963758029028618e+00
1.014856769026428628e+04,2.652963758080245427e+00
1.014856771113905961e+04,2.652963758131460015e+00
1.014856773201383112e+04,2.652963758182672827e+00
1.014856775288860445e+04,2.652963758233883862e+00
1.014856777376337777e+04,2.652963758285093121e+00
1.014856779463814928e+04,2.652963758336300604e+00
1.014856781551292261e+04,2.652963758387506310e+00
1.014856783638769411e+04,2.652963758438709796e+00
1.014856785726246744e+04,2.652963758489911950e+00
1.014856787813724077e+04,2.652963758541111883e+00
1.014856789901201228e+04,2.652963758592310040e+00
1.014856791988678560e+04,2.652963758643506420e+00
1.014856794076155893e+04,2.652963758694701024e+00
1.014856796163633044e+04,2.652963758745892964e+00
1.014856798251110376e+04,2.652963758797084015e+00
1.014856800338587709e+04,2.652963758848272846e+00
1.014856802426064860e+04,2.652963758899460345e+00
1.014856804513542193e+04,2.652963758950645179e+00
1.014856806601019343e+04,2.652963759001828681e+00
1.014856808688496676e+04,2.652963759053010406e+00
1.014856810775974009e+04,2.652963759104189467e+00
1.014856812863451160e+04,2.652963759155367640e+00
1.014856814950928492e+04,2.652963759206543148e+00
1.014856817038405825e+04,2.652963759257717768e+00
1.014856819125882976e+04,2.652963759308890168e+00
1.014856821213360308e+04,2.652963759360060347e+00
1.014856823300837641e+04,2.652963759411229194e+00
1.014856825388314792e+04,2.652963759462395821e+00
1.014856827475792124e+04,2.652963759513560671e+00
