Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.880040126435227648e+03,3.651375624314931567e+00
9.880040144994953152e+03,3.651416867662828469e+00
9.880040163554680475e+03,3.651458111177201538e+00
9.880040182114405980e+03,3.651499354849967016e+00
9.880040200674133303e+03,3.651540598689205996e+00
9.880040219233858807e+03,3.651581842686834722e+00
9.880040237793586130e+03,3.651623086850933841e+00
9.880040256353311634e+03,3.651664331173418709e+00
9.880040274913038957e+03,3.651705575662370862e+00
9.880040293472764461e+03,3.651746820309706099e+00
9.880040312032491784e+03,3.651788065123504623e+00
9.880040330592217288e+03,3.651829310095683567e+00
9.880040349151944611e+03,3.651870555234323135e+00
9.880040367711670115e+03,3.651911800531338681e+00
9.880040386271395619e+03,3.651953045990771862e+00
9.880040404831122942e+03,3.651994291616659893e+00
9.880040423390848446e+03,3.652035537400920351e+00
9.880040441950575769e+03,3.652076783351633438e+00
9.880040460510301273e+03,3.652118029460714510e+00
9.880040479070028596e+03,3.652159275736245991e+00
9.880040497629754100e+03,3.652200522170142349e+00
9.880040516189481423e+03,3.652241768770485564e+00
9.880040534749206927e+03,3.652283015529191434e+00
9.880040553308934250e+03,3.652324262454340165e+00
9.880040571868659754e+03,3.652365509537847554e+00
9.880040590428387077e+03,3.652406756787795583e+00
9.880040608988112581e+03,3.652448004196098719e+00
9.880040627547838085e+03,3.652489251766798173e+00
9.880040646107565408e+03,3.652530499503932937e+00
9.880040664667290912e+03,3.652571747399417923e+00
9.880040683227018235e+03,3.652612995461335554e+00
9.880040701786743739e+03,3.652654243681601187e+00
9.880040720346471062e+03,3.652695492068295913e+00
9.880040738906196566e+03,3.652736740613335087e+00
9.880040757465923889e+03,3.652777989324800245e+00
9.880040776025649393e+03,3.652819238194606744e+00
9.880040794585376716e+03,3.652860487230835229e+00
9.880040813145102220e+03,3.652901736425403278e+00
9.880040831704829543e+03,3.652942985786389762e+00
9.880040850264555047e+03,3.652984235305711813e+00
9.880040868824280551e+03,3.653025484987407978e+00
9.880040887384007874e+03,3.653066734835519913e+00
9.880040905943733378e+03,3.653107984841961642e+00
9.880040924503460701e+03,3.653149235014814256e+00
9.880040943063186205e+03,3.653190485345993110e+00
9.880040961622913528e+03,3.653231735843583738e+00
9.880040980182639032e+03,3.653272986499495723e+00
9.880040998742366355e+03,3.653314237321813707e+00
9.880041017302091859e+03,3.653355488302452159e+00
9.880041035861819182e+03,3.653396739449493058e+00
9.880041054421544686e+03,3.653437990754850873e+00
9.880041072981270190e+03,3.653479242222563705e+00
9.880041091540997513e+03,3.653520493856678097e+00
9.880041110100723017e+03,3.653561745649103631e+00
9.880041128660450340e+03,3.653602997607923175e+00
9.880041147220175844e+03,3.653644249725051196e+00
9.880041165779903167e+03,3.653685502008571451e+00
9.880041184339628671e+03,3.653726754450395298e+00
9.880041202899355994e+03,3.653768007058611378e+00
9.880041221459081498e+03,3.653809259825127498e+00
9.880041240018808821e+03,3.653850512758028746e+00
9.880041258578534325e+03,3.653891765849229589e+00
9.880041277138261648e+03,3.653933019106812896e+00
9.880041295697987152e+03,3.653974272522691358e+00
9.880041314257712656e+03,3.654015526100907518e+00
9.880041332817439979e+03,3.654056779845500369e+00
9.880041351377165483e+03,3.654098033748384378e+00
9.880041369936892806e+03,3.654139287817642412e+00
