Time (BJD_TBD - 2450000), F_total/F_star (ppm)
9.880040868824280551e+03,2.135107195413747547e+02
9.880040887384007874e+03,2.135072203196545786e+02
9.880040905943733378e+03,2.135037211192831421e+02
9.880040924503460701e+03,2.135002219395772727e+02
9.880040943063186205e+03,2.134967227812252872e+02
9.880040961622913528e+03,2.134932236435438995e+02
9.880040980182639032e+03,2.134897245272217106e+02
9.880040998742366355e+03,2.134862254315751784e+02
9.880041017302091859e+03,2.134827263572929894e+02
9.880041035861819182e+03,2.134792273036917436e+02
9.880041054421544686e+03,2.134757282714599285e+02
9.880041072981270190e+03,2.134722292602571940e+02
9.880041091540997513e+03,2.134687302697431619e+02
9.880041110100723017e+03,2.134652313006062911e+02
9.880041128660450340e+03,2.134617323521632386e+02
9.880041147220175844e+03,2.134582334251025486e+02
9.880041165779903167e+03,2.134547345187408780e+02
9.880041184339628671e+03,2.134512356337667143e+02
9.880041202899355994e+03,2.134477367694967711e+02
9.880041221459081498e+03,2.134442379266193086e+02
9.880041240018808821e+03,2.134407391044513531e+02
9.880041258578534325e+03,2.134372403036811932e+02
9.880041277138261648e+03,2.134337415236255424e+02
9.880041295697987152e+03,2.134302427649728315e+02
9.880041314257712656e+03,2.134267440273827106e+02
9.880041332817439979e+03,2.134232453105148863e+02
9.880041351377165483e+03,2.134197466150577611e+02
9.880041369936892806e+03,2.134162479403280201e+02
9.880041388496618310e+03,2.134127492870141509e+02
9.880041407056345633e+03,2.134092506544329240e+02
9.880041425616071137e+03,2.134057520432727131e+02
9.880041444175798460e+03,2.134022534528502320e+02
9.880041462735523965e+03,2.133987548838539396e+02
9.880041481295251288e+03,2.133952563356005498e+02
9.880041499854976792e+03,2.133917578087784648e+02
9.880041518414704115e+03,2.133882593027045402e+02
9.880041536974429619e+03,2.133847608180670363e+02
9.880041555534155123e+03,2.133812623545257452e+02
9.880041574093882446e+03,2.133777639117402316e+02
9.880041592653607950e+03,2.133742654903989830e+02
9.880041611213335273e+03,2.133707670898187132e+02
9.880041629773060777e+03,2.133672687106878527e+02
9.880041648332788100e+03,2.133637703523231721e+02
9.880041666892513604e+03,2.133602720154129599e+02
9.880041685452240927e+03,2.133567736992741573e+02
9.880041704011966431e+03,2.133532754045949957e+02
9.880041722571693754e+03,2.133497771306923880e+02
9.880041741131419258e+03,2.133462788782546227e+02
9.880041759691146581e+03,2.133427806465984418e+02
9.880041778250872085e+03,2.133392824364123896e+02
