Epoch,Modified period,Transit peak
3.200000000000000000e+01,2.421987661524326541e+00,7.336084390754002015e+03
3.300000000000000000e+01,2.421753945588079660e+00,7.338506378415526342e+03
3.400000000000000000e+01,2.421859144064455904e+00,7.340928132361114876e+03
3.500000000000000000e+01,2.421628616136331402e+00,7.343349991505179787e+03
3.600000000000000000e+01,2.421959997694557387e+00,7.345771620121315209e+03
3.700000000000000000e+01,2.421984009716652508e+00,7.348193580119010221e+03
3.800000000000000000e+01,2.421695964437276416e+00,7.350615564128726874e+03
3.900000000000000000e+01,2.421868593391081959e+00,7.353037260093164150e+03
4.000000000000000000e+01,2.421664200816849188e+00,7.355459128686555232e+03
4.100000000000000000e+01,2.421978218985714193e+00,7.357880792887372081e+03
4.200000000000000000e+01,2.421970369224709430e+00,7.360302771106357795e+03
4.300000000000000000e+01,2.421651912055949651e+00,7.362724741475582050e+03
4.400000000000000000e+01,2.421854782124682970e+00,7.365146393387638454e+03
4.500000000000000000e+01,2.421719518960344431e+00,7.367568248169763137e+03
4.600000000000000000e+01,2.421992645100999653e+00,7.369989967688723482e+03
4.700000000000000000e+01,2.421955066668942891e+00,7.372411960333824027e+03
4.800000000000000000e+01,2.421598110268405435e+00,7.374833915400493424e+03
4.900000000000000000e+01,2.421852733825744508e+00,7.377255513510761375e+03
5.000000000000000000e+01,2.421784783852217515e+00,7.379677366244587574e+03
5.100000000000000000e+01,2.421986758204184298e+00,7.382099151028440247e+03
5.200000000000000000e+01,2.421937250632254290e+00,7.384521137786643521e+03
5.300000000000000000e+01,2.421550713864235149e+00,7.386943075037275776e+03
5.400000000000000000e+01,2.421869729234913393e+00,7.389364625751140920e+03
5.500000000000000000e+01,2.421827287051200983e+00,7.391786495480375379e+03
5.600000000000000000e+01,2.421985723626221443e+00,7.394208322767426580e+03
5.700000000000000000e+01,2.421914509221096523e+00,7.396630308491052347e+03
5.800000000000000000e+01,2.421526524757609877e+00,7.399052223000273443e+03
5.900000000000000000e+01,2.421859534201757924e+00,7.401473749525031963e+03
6.000000000000000000e+01,2.421885944473160635e+00,7.403895609059232811e+03
6.100000000000000000e+01,2.421973406796951167e+00,7.406317495003706426e+03
6.200000000000000000e+01,2.421905003618576302e+00,7.408739468410503832e+03
6.300000000000000000e+01,2.421484742092616216e+00,7.411161373414121954e+03
6.400000000000000000e+01,2.421868194167018373e+00,7.413582858156214570e+03
6.500000000000000000e+01,2.421941356744355289e+00,7.416004726350382043e+03
6.600000000000000000e+01,2.421954590095083404e+00,7.418426667707126398e+03
6.700000000000000000e+01,2.421881266599029914e+00,7.420848622297220572e+03
6.800000000000000000e+01,2.421460406965707080e+00,7.423270503563820057e+03
6.900000000000000000e+01,2.421888356570434553e+00,7.425691963970785764e+03
7.000000000000000000e+01,2.421980682650882954e+00,7.428113852327356653e+03
7.100000000000000000e+01,2.421929566994549532e+00,7.430535833010007082e+03
7.200000000000000000e+01,2.421860162909524661e+00,7.432957762577001631e+03
7.300000000000000000e+01,2.421459771361242019e+00,7.435379622739910701e+03
7.400000000000000000e+01,2.421885883918093896e+00,7.437801082511272398e+03
7.500000000000000000e+01,2.422025262419538194e+00,7.440222968395190037e+03
7.600000000000000000e+01,2.421895047933048772e+00,7.442644993657610030e+03
7.700000000000000000e+01,2.421858975170835038e+00,7.445066888705543533e+03
7.800000000000000000e+01,2.421439516795999225e+00,7.447488747680714368e+03
7.900000000000000000e+01,2.421902745510124078e+00,7.449910187197509913e+03
8.000000000000000000e+01,2.422057372994004254e+00,7.452332089943020037e+03
8.100000000000000000e+01,2.421868067502146005e+00,7.454754147316014496e+03
8.200000000000000000e+01,2.421834112908072711e+00,7.457176015383516642e+03
8.300000000000000000e+01,2.421444171220628050e+00,7.459597849496423805e+03
8.400000000000000000e+01,2.421921731118800381e+00,7.462019293667644888e+03
8.500000000000000000e+01,2.422083636802653928e+00,7.464441215398763234e+03
8.600000000000000000e+01,2.421823768861031567e+00,7.466863299035566342e+03
8.700000000000000000e+01,2.421821679526601656e+00,7.469285122804427374e+03
