Time (BJD_TBD - 2450000), F_total/F_star (ppm)
9.913966521339865722e+03,1.161691469146600411e+03
9.913966539443526926e+03,1.161727824314190912e+03
9.913966557547189950e+03,1.161764179767010091e+03
9.913966575650851155e+03,1.161800535497570763e+03
9.913966593754514179e+03,1.161836891512994271e+03
9.913966611858175384e+03,1.161873247805791380e+03
9.913966629961838407e+03,1.161909604383085707e+03
9.913966648065501431e+03,1.161945961241039640e+03
9.913966666169162636e+03,1.161982318375818068e+03
9.913966684272825660e+03,1.162018675794543242e+03
9.913966702376486865e+03,1.162055033489725247e+03
9.913966720480149888e+03,1.162091391468487927e+03
9.913966738583811093e+03,1.162127749723340457e+03
9.913966756687474117e+03,1.162164108261407364e+03
9.913966774791135322e+03,1.162200467075197594e+03
9.913966792894798346e+03,1.162236826171835219e+03
9.913966810998461369e+03,1.162273185547483081e+03
9.913966829102122574e+03,1.162309545198304932e+03
9.913966847205785598e+03,1.162345905131423478e+03
9.913966865309446803e+03,1.162382265339348805e+03
9.913966883413109827e+03,1.162418625829204984e+03
9.913966901516771031e+03,1.162454986593501644e+03
9.913966919620434055e+03,1.162491347639361720e+03
9.913966937724095260e+03,1.162527708959295069e+03
9.913966955827758284e+03,1.162564070560425989e+03
9.913966973931421307e+03,1.162600432438916641e+03
9.913966992035082512e+03,1.162636794590931231e+03
9.913967010138745536e+03,1.162673157023592466e+03
9.913967028242406741e+03,1.162709519729409749e+03
9.913967046346069765e+03,1.162745882715508060e+03
9.913967064449730969e+03,1.162782245974396119e+03
9.913967082553393993e+03,1.162818609513197543e+03
9.913967100657055198e+03,1.162854973324421508e+03
9.913967118760718222e+03,1.162891337415192766e+03
9.913967136864381246e+03,1.162927701781673932e+03
9.913967154968042450e+03,1.162964066420027393e+03
9.913967173071705474e+03,1.163000431337377222e+03
9.913967191175366679e+03,1.163036796526233502e+03
9.913967209279029703e+03,1.163073161993719395e+03
9.913967227382690908e+03,1.163109527732343849e+03
9.913967245486353931e+03,1.163145893749232073e+03
9.913967263590015136e+03,1.163182260036892103e+03
9.913967281693678160e+03,1.163218626602448012e+03
9.913967299797341184e+03,1.163254993442063551e+03
9.913967317901002389e+03,1.163291360551900198e+03
9.913967336004665412e+03,1.163327727939083388e+03
9.913967354108326617e+03,1.163364095596120933e+03
9.913967372211989641e+03,1.163400463530138040e+03
9.913967390315650846e+03,1.163436831733642748e+03
