Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.062609341876093276e+04,3.450189554455837193e+00
1.062609343743872705e+04,3.450189536600325013e+00
1.062609345611651952e+04,3.450189518737353467e+00
1.062609347479431381e+04,3.450189500866921222e+00
1.062609349347210809e+04,3.450189482989028722e+00
1.062609351214990056e+04,3.450189465103677300e+00
1.062609353082769485e+04,3.450189447210865623e+00
1.062609354950548914e+04,3.450189429310594136e+00
1.062609356818328160e+04,3.450189411402865058e+00
1.062609358686107589e+04,3.450189393487674838e+00
1.062609360553887018e+04,3.450189375565025252e+00
1.062609362421666265e+04,3.450189357634918075e+00
1.062609364289445693e+04,3.450189339697350643e+00
1.062609366157225122e+04,3.450189321752324734e+00
1.062609368025004369e+04,3.450189303799840790e+00
1.062609369892783798e+04,3.450189285839897479e+00
1.062609371760563226e+04,3.450189267872494359e+00
1.062609373628342473e+04,3.450189249897635868e+00
1.062609375496121902e+04,3.450189231915316679e+00
1.062609377363901331e+04,3.450189213925539011e+00
1.062609379231680578e+04,3.450189195928305530e+00
1.062609381099460006e+04,3.450189177923611350e+00
1.062609382967239435e+04,3.450189159911460468e+00
1.062609384835018682e+04,3.450189141891852884e+00
1.062609386702798110e+04,3.450189123864785934e+00
1.062609388570577539e+04,3.450189105830260949e+00
1.062609390438356968e+04,3.450189087788279263e+00
1.062609392306136215e+04,3.450189069738841319e+00
1.062609394173915643e+04,3.450189051681945340e+00
1.062609396041695072e+04,3.450189033617591772e+00
1.062609397909474319e+04,3.450189015545782834e+00
1.062609399777253748e+04,3.450188997466514973e+00
1.062609401645033176e+04,3.450188979379790410e+00
1.062609403512812423e+04,3.450188961285611366e+00
1.062609405380591852e+04,3.450188943183972956e+00
1.062609407248371281e+04,3.450188925074878732e+00
1.062609409116150528e+04,3.450188906958330026e+00
1.062609410983929956e+04,3.450188888834323286e+00
1.062609412851709385e+04,3.450188870702860289e+00
1.062609414719488632e+04,3.450188852563942810e+00
1.062609416587268061e+04,3.450188834417567740e+00
1.062609418455047489e+04,3.450188816263736857e+00
1.062609420322826736e+04,3.450188798102452381e+00
1.062609422190606165e+04,3.450188779933709426e+00
1.062609424058385594e+04,3.450188761757511990e+00
1.062609425926164840e+04,3.450188743573860961e+00
1.062609427793944269e+04,3.450188725382751898e+00
1.062609429661723698e+04,3.450188707184188353e+00
1.062609431529502945e+04,3.450188688978172102e+00
