Time (BJD_TBD - 2450000), F_c/F_star (ppm)
1.065014951752132401e+04,5.443923327766248121e+02
1.065014953881164729e+04,5.443995716153077638e+02
1.065014956010197056e+04,5.444068096716160881e+02
1.065014958139229384e+04,5.444140469455278435e+02
1.065014960268261711e+04,5.444212834370207474e+02
1.065014962397294039e+04,5.444285191460728583e+02
1.065014964526326366e+04,5.444357540726621210e+02
1.065014966655358694e+04,5.444429882167662527e+02
1.065014968784391203e+04,5.444502215789814272e+02
1.065014970913423531e+04,5.444574541580493587e+02
1.065014973042455858e+04,5.444646859545661073e+02
1.065014975171488186e+04,5.444719169685095039e+02
1.065014977300520513e+04,5.444791471998577208e+02
1.065014979429552841e+04,5.444863766485884753e+02
1.065014981558585168e+04,5.444936053146798258e+02
1.065014983687617496e+04,5.445008331981096035e+02
1.065014985816649823e+04,5.445080602988558667e+02
1.065014987945682333e+04,5.445152866175138797e+02
1.065014990074714660e+04,5.445225121528268346e+02
1.065014992203746988e+04,5.445297369053901093e+02
1.065014994332779315e+04,5.445369608751816486e+02
1.065014996461811643e+04,5.445441840621792835e+02
1.065014998590843970e+04,5.445514064663612999e+02
1.065015000719876298e+04,5.445586280877054151e+02
1.065015002848908625e+04,5.445658489261895738e+02
1.065015004977940953e+04,5.445730689817918346e+02
1.065015007106973462e+04,5.445802882551067796e+02
1.065015009236005790e+04,5.445875067448791924e+02
1.065015011365038117e+04,5.445947244517034278e+02
1.065015013494070445e+04,5.446019413755576579e+02
1.065015015623102772e+04,5.446091575164199412e+02
1.065015017752135100e+04,5.446163728742681087e+02
1.065015019881167427e+04,5.446235874490802189e+02
1.065015022010199755e+04,5.446308012408342165e+02
1.065015024139232082e+04,5.446380142495080463e+02
1.065015026268264592e+04,5.446452264756960631e+02
1.065015028397296919e+04,5.446524379181437325e+02
1.065015030526329247e+04,5.446596485774452958e+02
1.065015032655361574e+04,5.446668584535788113e+02
1.065015034784393902e+04,5.446740675465221102e+02
1.065015036913426229e+04,5.446812758562533645e+02
1.065015039042458557e+04,5.446884833827505190e+02
1.065015041171490884e+04,5.446956901259915185e+02
1.065015043300523212e+04,5.447028960859545350e+02
1.065015045429555721e+04,5.447101012632330139e+02
1.065015047558588049e+04,5.447173056565738989e+02
1.065015049687620376e+04,5.447245092665707489e+02
1.065015051816652704e+04,5.447317120932016223e+02
1.065015053945685031e+04,5.447389141364443503e+02
1.065015056074717359e+04,5.447461153962772187e+02
1.065015058203749686e+04,5.447533158726782858e+02
1.065015060332782014e+04,5.447605155656252691e+02
1.065015062461814341e+04,5.447677144750965681e+02
1.065015064590846850e+04,5.447749126016848322e+02
1.065015066719879178e+04,5.447821099441384831e+02
1.065015068848911505e+04,5.447893065030502839e+02
1.065015070977943833e+04,5.447965022783984068e+02
1.065015073106976160e+04,5.448036972701607965e+02
1.065015075236008488e+04,5.448108914783157388e+02
1.065015077365040815e+04,5.448180849028410648e+02
1.065015079494073143e+04,5.448252775437148330e+02
1.065015081623105470e+04,5.448324694009152154e+02
1.065015083752137980e+04,5.448396604750344068e+02
1.065015085881170307e+04,5.448468507648219656e+02
1.065015088010202635e+04,5.448540402708703141e+02
1.065015090139234962e+04,5.448612289931573969e+02
1.065015092268267290e+04,5.448684169316613861e+02
1.065015094397299617e+04,5.448756040863602266e+02
1.065015096526331945e+04,5.448827904572319767e+02
1.065015098655364272e+04,5.448899760442550360e+02
1.065015100784396600e+04,5.448971608474071218e+02
1.065015102913429109e+04,5.449043448672802015e+02
1.065015105042461437e+04,5.449115281026247430e+02
1.065015107171493764e+04,5.449187105540326002e+02
1.065015109300526092e+04,5.449258922214821723e+02
1.065015111429558419e+04,5.449330731049511769e+02
1.065015113558590747e+04,5.449402532044178997e+02
1.065015115687623074e+04,5.449474325198602855e+02
1.065015117816655402e+04,5.449546110512566202e+02
1.065015119945687729e+04,5.449617887985848483e+02
1.065015122074720239e+04,5.449689657624362553e+02
1.065015124203752566e+04,5.449761419415625596e+02
1.065015126332784894e+04,5.449833173365551602e+02
1.065015128461817221e+04,5.449904919473922291e+02
1.065015130590849549e+04,5.449976657740515975e+02
1.065015132719881876e+04,5.450048388165117785e+02
1.065015134848914204e+04,5.450120110747504896e+02
1.065015136977946531e+04,5.450191825487460164e+02
1.065015139106978859e+04,5.450263532384765313e+02
1.065015141236011368e+04,5.450335231445326372e+02
1.065015143365043696e+04,5.450406922656673032e+02
1.065015145494076023e+04,5.450478606024712462e+02
1.065015147623108351e+04,5.450550281549227520e+02
1.065015149752140678e+04,5.450621949229996517e+02
1.065015151881173006e+04,5.450693609066803447e+02
1.065015154010205333e+04,5.450765261059428894e+02
1.065015156139237661e+04,5.450836905207654581e+02
