Time (BJD_TBD - 2450000), L_c/L_star (ppm)
1.014864745277062866e+04,3.465410895412146601e+02
1.014864747364540199e+04,3.465507592930791247e+02
1.014864749452017531e+04,3.465604286716085198e+02
1.014864751539494682e+04,3.465700976759320611e+02
1.014864753626972015e+04,3.465797663077063362e+02
1.014864755714449348e+04,3.465894345660606746e+02
1.014864757801926498e+04,3.465991024501239508e+02
1.014864759889403831e+04,3.466087699615530937e+02
1.014864761976881164e+04,3.466184370994769210e+02
1.014864764064358314e+04,3.466281038630249327e+02
1.014864766151835647e+04,3.466377702538534322e+02
1.014864768239312798e+04,3.466474362702495569e+02
1.014864770326790131e+04,3.466571019138693828e+02
1.014864772414267463e+04,3.466667671838420688e+02
1.014864774501744614e+04,3.466764320792975695e+02
1.014864776589221947e+04,3.466860966018916201e+02
1.014864778676699279e+04,3.466957607507535499e+02
1.014864780764176430e+04,3.467054245250131999e+02
1.014864782851653763e+04,3.467150879263262482e+02
1.014864784939131096e+04,3.467247509538223085e+02
1.014864787026608246e+04,3.467344136066310512e+02
1.014864789114085579e+04,3.467440758864080976e+02
1.014864791201562730e+04,3.467537377914412104e+02
1.014864793289040063e+04,3.467633993233860679e+02
1.014864795376517395e+04,3.467730604813720561e+02
1.014864797463994546e+04,3.467827212645291297e+02
1.014864799551471879e+04,3.467923816745127965e+02
1.014864801638949211e+04,3.468020417104527269e+02
1.014864803726426362e+04,3.468117013714788754e+02
1.014864805813903695e+04,3.468213606592463520e+02
1.014864807901381027e+04,3.468310195728850545e+02
1.014864809988858178e+04,3.468406781115253352e+02
1.014864812076335511e+04,3.468503362768217357e+02
1.014864814163812662e+04,3.468599940670628712e+02
1.014864816251289994e+04,3.468696514839035672e+02
1.014864818338767327e+04,3.468793085264739489e+02
1.014864820426244478e+04,3.468889651939041983e+02
1.014864822513721811e+04,3.468986214878487999e+02
1.014864824601199143e+04,3.469082774074382769e+02
1.014864826688676294e+04,3.469179329518026407e+02
1.014864828776153627e+04,3.469275881225963190e+02
1.014864830863630777e+04,3.469372429181085522e+02
1.014864832951108110e+04,3.469468973399934839e+02
1.014864835038585443e+04,3.469565513873815803e+02
1.014864837126062594e+04,3.469662050594030802e+02
1.014864839213539926e+04,3.469758583577124114e+02
1.014864841301017259e+04,3.469855112814396989e+02
1.014864843388494410e+04,3.469951638297157501e+02
1.014864845475971742e+04,3.470048160041944243e+02
1.014864847563449075e+04,3.470144678040063582e+02
1.014864849650926226e+04,3.470241192282822453e+02
1.014864851738403559e+04,3.470337702786754903e+02
1.014864853825880709e+04,3.470434209534762431e+02
1.014864855913358042e+04,3.470530712543379082e+02
1.014864858000835375e+04,3.470627211803912360e+02
1.014864860088312525e+04,3.470723707307669770e+02
1.014864862175789858e+04,3.470820199071187062e+02
1.014864864263267191e+04,3.470916687085771741e+02
1.014864866350744342e+04,3.471013171342733017e+02
1.014864868438221674e+04,3.471109651858604366e+02
1.014864870525699007e+04,3.471206128624693861e+02
1.014864872613176158e+04,3.471302601632312417e+02
1.014864874700653490e+04,3.471399070897990100e+02
1.014864876788130641e+04,3.471495536404631252e+02
1.014864878875607974e+04,3.471591998168765372e+02
1.014864880963085307e+04,3.471688456181703373e+02
1.014864883050562457e+04,3.471784910434756171e+02
1.014864885138039790e+04,3.471881360944453263e+02
1.014864887225517123e+04,3.471977807702103291e+02
1.014864889312994273e+04,3.472074250699025129e+02
1.014864891400471606e+04,3.472170689951736904e+02
1.014864893487948939e+04,3.472267125451556922e+02
1.014864895575426090e+04,3.472363557189797802e+02
1.014864897662903422e+04,3.472459985182980517e+02
1.014864899750380573e+04,3.472556409414019640e+02
1.014864901837857906e+04,3.472652829899436142e+02
1.014864903925335238e+04,3.472749246630545485e+02
1.014864906012812389e+04,3.472845659598661996e+02
1.014864908100289722e+04,3.472942068820307782e+02
1.014864910187767055e+04,3.473038474286795463e+02
1.014864912275244205e+04,3.473134875989445050e+02
1.014864914362721538e+04,3.473231273944773534e+02
1.014864916450198871e+04,3.473327668144098084e+02
