Time (BJD_TBD - 2450000), F_star + F_h (mJy)
1.014094236029261810e+04,3.604083444380884238e+00
1.014094237913940924e+04,3.604083444450038698e+00
1.014094239798620220e+04,3.604083444519192714e+00
1.014094241683299333e+04,3.604083444588348950e+00
1.014094243567978629e+04,3.604083444657506075e+00
1.014094245452657742e+04,3.604083444726663643e+00
1.014094247337337038e+04,3.604083444795822544e+00
1.014094249222016151e+04,3.604083444864983221e+00
1.014094251106695447e+04,3.604083444934143898e+00
1.014094252991374560e+04,3.604083445003306352e+00
1.014094254876053856e+04,3.604083445072469249e+00
1.014094256760732969e+04,3.604083445141633035e+00
1.014094258645412265e+04,3.604083445210798597e+00
1.014094260530091378e+04,3.604083445279965048e+00
1.014094262414770674e+04,3.604083445349132830e+00
1.014094264299449787e+04,3.604083445418300613e+00
1.014094266184129083e+04,3.604083445487470172e+00
1.014094268068808196e+04,3.604083445556640175e+00
1.014094269953487492e+04,3.604083445625812399e+00
1.014094271838166787e+04,3.604083445694985066e+00
1.014094273722845901e+04,3.604083445764158178e+00
1.014094275607525196e+04,3.604083445833332622e+00
1.014094277492204310e+04,3.604083445902508398e+00
1.014094279376883605e+04,3.604083445971685062e+00
1.014094281261562719e+04,3.604083446040862615e+00
1.014094283146242014e+04,3.604083446110041500e+00
1.014094285030921128e+04,3.604083446179221717e+00
1.014094286915600424e+04,3.604083446248402378e+00
1.014094288800279537e+04,3.604083446317584372e+00
1.014094290684958833e+04,3.604083446386767697e+00
1.014094292569637946e+04,3.604083446455951467e+00
1.014094294454317242e+04,3.604083446525136125e+00
1.014094296338996355e+04,3.604083446594322115e+00
1.014094298223675651e+04,3.604083446663509438e+00
1.014094300108354764e+04,3.604083446732697205e+00
1.014094301993034060e+04,3.604083446801886748e+00
1.014094303877713173e+04,3.604083446871077179e+00
1.014094305762392469e+04,3.604083446940268054e+00
1.014094307647071582e+04,3.604083447009460706e+00
1.014094309531750878e+04,3.604083447078653357e+00
1.014094311416430173e+04,3.604083447147847785e+00
1.014094313301109287e+04,3.604083447217043545e+00
1.014094315185788582e+04,3.604083447286240194e+00
1.014094317070467696e+04,3.604083447355437730e+00
1.014094318955146991e+04,3.604083447424636155e+00
1.014094320839826105e+04,3.604083447493835912e+00
1.014094322724505400e+04,3.604083447563035669e+00
1.014094324609184514e+04,3.604083447632238091e+00
1.014094326493863809e+04,3.604083447701440068e+00
1.014094328378542923e+04,3.604083447770644266e+00
1.014094330263222218e+04,3.604083447839848908e+00
1.014094332147901332e+04,3.604083447909054438e+00
1.014094334032580628e+04,3.604083447978261301e+00
1.014094335917259741e+04,3.604083448047469052e+00
1.014094337801939037e+04,3.604083448116678579e+00
1.014094339686618150e+04,3.604083448185888106e+00
1.014094341571297446e+04,3.604083448255099409e+00
1.014094343455976559e+04,3.604083448324311156e+00
1.014094345340655855e+04,3.604083448393524680e+00
1.014094347225334968e+04,3.604083448462738648e+00
1.014094349110014264e+04,3.604083448531953948e+00
1.014094350994693377e+04,3.604083448601169692e+00
1.014094352879372673e+04,3.604083448670387213e+00
1.014094354764051968e+04,3.604083448739605622e+00
1.014094356648731082e+04,3.604083448808824475e+00
1.014094358533410377e+04,3.604083448878045104e+00
1.014094360418089491e+04,3.604083448947266621e+00
1.014094362302768786e+04,3.604083449016489027e+00
1.014094364187447900e+04,3.604083449085712321e+00
1.014094366072127195e+04,3.604083449154936947e+00
1.014094367956806309e+04,3.604083449224162461e+00
1.014094369841485604e+04,3.604083449293388419e+00
1.014094371726164718e+04,3.604083449362616598e+00
1.014094373610844013e+04,3.604083449431845221e+00
1.014094375495523127e+04,3.604083449501074732e+00
1.014094377380202423e+04,3.604083449570305575e+00
1.014094379264881536e+04,3.604083449639537751e+00
1.014094381149560832e+04,3.604083449708770370e+00
1.014094383034239945e+04,3.604083449778004322e+00
1.014094384918919241e+04,3.604083449847238718e+00
1.014094386803598354e+04,3.604083449916474891e+00
1.014094388688277650e+04,3.604083449985711951e+00
1.014094390572956763e+04,3.604083450054949456e+00
1.014094392457636059e+04,3.604083450124188737e+00
1.014094394342315354e+04,3.604083450193429350e+00
1.014094396226994468e+04,3.604083450262669963e+00
1.014094398111673763e+04,3.604083450331912353e+00
1.014094399996352877e+04,3.604083450401155631e+00
1.014094401881032172e+04,3.604083450470400241e+00
1.014094403765711286e+04,3.604083450539645739e+00
1.014094405650390581e+04,3.604083450608892125e+00
1.014094407535069695e+04,3.604083450678138956e+00
1.014094409419748990e+04,3.604083450747387563e+00
1.014094411304428104e+04,3.604083450816637058e+00
1.014094413189107399e+04,3.604083450885887441e+00
1.014094415073786513e+04,3.604083450955139156e+00
1.014094416958465808e+04,3.604083451024391316e+00
1.014094418843144922e+04,3.604083451093645696e+00
1.014094420727824217e+04,3.604083451162899632e+00
1.014094422612503331e+04,3.604083451232155788e+00
1.014094424497182627e+04,3.604083451301412389e+00
1.014094426381861740e+04,3.604083451370669877e+00
1.014094428266541036e+04,3.604083451439929142e+00
1.014094430151220149e+04,3.604083451509188851e+00
1.014094432035899445e+04,3.604083451578449449e+00
1.014094433920578558e+04,3.604083451647711822e+00
1.014094435805257854e+04,3.604083451716975084e+00
1.014094437689937149e+04,3.604083451786238790e+00
1.014094439574616263e+04,3.604083451855503384e+00
1.014094441459295558e+04,3.604083451924769754e+00
1.014094443343974672e+04,3.604083451994037013e+00
1.014094445228653967e+04,3.604083452063304716e+00
1.014094447113333081e+04,3.604083452132574195e+00
1.014094448998012376e+04,3.604083452201844562e+00
1.014094450882691490e+04,3.604083452271115817e+00
1.014094452767370785e+04,3.604083452340388405e+00
1.014094454652049899e+04,3.604083452409661881e+00
1.014094456536729194e+04,3.604083452478936245e+00
1.014094458421408308e+04,3.604083452548211053e+00
1.014094460306087603e+04,3.604083452617488081e+00
1.014094462190766717e+04,3.604083452686765554e+00
1.014094464075446012e+04,3.604083452756043915e+00
1.014094465960125126e+04,3.604083452825323608e+00
1.014094467844804421e+04,3.604083452894604189e+00
1.014094469729483535e+04,3.604083452963885659e+00
1.014094471614162831e+04,3.604083453033168905e+00
1.014094473498841944e+04,3.604083453102452150e+00
1.014094475383521240e+04,3.604083453171737617e+00
1.014094477268200535e+04,3.604083453241023083e+00
1.014094479152879649e+04,3.604083453310310325e+00
1.014094481037558944e+04,3.604083453379598012e+00
1.014094482922238058e+04,3.604083453448886587e+00
1.014094484806917353e+04,3.604083453518176938e+00
1.014094486691596467e+04,3.604083453587468178e+00
1.014094488576275762e+04,3.604083453656759861e+00
1.014094490460954876e+04,3.604083453726052877e+00
1.014094492345634171e+04,3.604083453795347225e+00
1.014094494230313285e+04,3.604083453864642017e+00
1.014094496114992580e+04,3.604083453933939030e+00
1.014094497999671694e+04,3.604083454003235598e+00
1.014094499884350989e+04,3.604083454072533943e+00
1.014094501769030103e+04,3.604083454141833620e+00
1.014094503653709398e+04,3.604083454211133741e+00
1.014094505538388512e+04,3.604083454280435195e+00
1.014094507423067807e+04,3.604083454349737536e+00
1.014094509307746921e+04,3.604083454419041210e+00
1.014094511192426216e+04,3.604083454488346216e+00
1.014094513077105330e+04,3.604083454557651667e+00
1.014094514961784625e+04,3.604083454626958005e+00
1.014094516846463739e+04,3.604083454696265676e+00
1.014094518731143035e+04,3.604083454765574679e+00
1.014094520615822330e+04,3.604083454834884126e+00
1.014094522500501444e+04,3.604083454904194905e+00
1.014094524385180739e+04,3.604083454973507017e+00
