Time (BJD_TBD - 2450000), F_total/F_star (ppm)
1.027330032723083059e+04,3.410501757563530987e+02
1.027330041351029286e+04,3.410434890011031257e+02
1.027330049978975330e+04,3.410368024768413306e+02
1.027330058606921557e+04,3.410301161834487971e+02
1.027330067234867602e+04,3.410234301213707795e+02
1.027330075862813828e+04,3.410167442904883615e+02
1.027330084490759873e+04,3.410100586912465701e+02
1.027330093118705918e+04,3.410033733236676312e+02
1.027330101746652144e+04,3.409966881877736569e+02
1.027330110374598189e+04,3.409900032840097879e+02
1.027330119002544416e+04,3.409833186122571647e+02
1.027330127630490460e+04,3.409766341729604164e+02
1.027330136258436687e+04,3.409699499660011384e+02
1.027330144886382732e+04,3.409632659918242439e+02
1.027330153514328958e+04,3.409565822503106460e+02
1.027330162142275003e+04,3.409498987419053719e+02
1.027330170770221230e+04,3.409432154664896188e+02
1.027330179398167274e+04,3.409365324245083002e+02
1.027330188026113501e+04,3.409298496158423859e+02
1.027330196654059546e+04,3.409231670409369030e+02
1.027330205282005591e+04,3.409164846998137932e+02
1.027330213909951817e+04,3.409098025924951685e+02
1.027330222537897862e+04,3.409031207194257149e+02
1.027330231165844089e+04,3.408964390804867435e+02
1.027330239793790133e+04,3.408897576761228265e+02
1.027330248421736360e+04,3.408830765062151613e+02
1.027330257049682405e+04,3.408763955712084339e+02
1.027330265677628631e+04,3.408697148709838984e+02
1.027330274305574676e+04,3.408630344059860136e+02
1.027330282933520903e+04,3.408563541760960334e+02
1.027330291561466947e+04,3.408496741817585871e+02
1.027330300189412992e+04,3.408429944229956163e+02
1.027330308817359219e+04,3.408363148998291763e+02
1.027330317445305263e+04,3.408296356127037257e+02
1.027330326073251490e+04,3.408229565615005185e+02
1.027330334701197535e+04,3.408162777466638431e+02
1.027330343329143761e+04,3.408095991680751240e+02
1.027330351957089806e+04,3.408029208261787630e+02
1.027330360585036033e+04,3.407962427208556733e+02
1.027330369212982077e+04,3.407895648525505408e+02
1.027330377840928304e+04,3.407828872211443354e+02
1.027330386468874349e+04,3.407762098270814022e+02
1.027330395096820575e+04,3.407695326702431657e+02
1.027330403724766620e+04,3.407628557510736869e+02
1.027330412352712665e+04,3.407561790695949639e+02
1.027330420980658891e+04,3.407495026258289386e+02
1.027330429608604936e+04,3.407428264202197852e+02
1.027330438236551163e+04,3.407361504526488147e+02
1.027330446864497208e+04,3.407294747235602017e+02
1.027330455492443434e+04,3.407227992328350865e+02
1.027330464120389479e+04,3.407161239809175299e+02
1.027330472748335706e+04,3.407094489676888429e+02
1.027330481376281750e+04,3.407027741935931431e+02
1.027330490004227977e+04,3.406960996585114003e+02
1.027330498632174022e+04,3.406894253628879028e+02
1.027330507260120066e+04,3.406827513067443647e+02
1.027330515888066293e+04,3.406760774901028981e+02
1.027330524516012338e+04,3.406694039134074501e+02
1.027330533143958564e+04,3.406627305765388769e+02
1.027330541771904609e+04,3.406560574799415804e+02
1.027330550399850836e+04,3.406493846234965304e+02
1.027330559027796880e+04,3.406427120076475035e+02
1.027330567655743107e+04,3.406360396322758675e+02
1.027330576283689152e+04,3.406293674978255694e+02
1.027330584911635378e+04,3.406226956041775225e+02
1.027330593539581423e+04,3.406160239517757304e+02
1.027330602167527468e+04,3.406093525406420213e+02
1.027330610795473694e+04,3.406026813707981660e+02
1.027330619423419739e+04,3.405960104426878843e+02
1.027330628051365966e+04,3.405893397561926577e+02
1.027330636679312011e+04,3.405826693117556943e+02
1.027330645307258237e+04,3.405759991092586461e+02
1.027330653935204282e+04,3.405693291491448917e+02
1.027330662563150509e+04,3.405626594312957423e+02
1.027330671191096553e+04,3.405559899561549173e+02
1.027330679819042780e+04,3.405493207236033868e+02
1.027330688446988825e+04,3.405426517340848136e+02
1.027330697074935051e+04,3.405359829874803950e+02
1.027330705702881096e+04,3.405293144842337369e+02
1.027330714330827141e+04,3.405226462243665537e+02
1.027330722958773367e+04,3.405159782079005595e+02
1.027330731586719412e+04,3.405093104352793034e+02
1.027330740214665639e+04,3.405026429063838123e+02
1.027330748842611683e+04,3.404959756216578626e+02
1.027330757470557910e+04,3.404893085809823674e+02
1.027330766098503955e+04,3.404826417848007054e+02
1.027330774726450181e+04,3.404759752329942444e+02
1.027330783354396226e+04,3.404693089260060788e+02
1.027330791982342453e+04,3.404626428637176332e+02
1.027330800610288497e+04,3.404559770465721726e+02
1.027330809238234542e+04,3.404493114745912976e+02
1.027330817866180769e+04,3.404426461477966654e+02
1.027330826494126813e+04,3.404359810666317685e+02
1.027330835122073040e+04,3.404293162309775767e+02
1.027330843750019085e+04,3.404226516412774686e+02
1.027330852377965311e+04,3.404159872974123004e+02
1.027330861005911356e+04,3.404093231998255646e+02
1.027330869633857583e+04,3.404026593483982310e+02
1.027330878261803628e+04,3.403959957435736783e+02
1.027330886889749854e+04,3.403893323852327626e+02
1.027330895517695899e+04,3.403826692738187489e+02
1.027330904145642126e+04,3.403760064092127777e+02
1.027330912773588170e+04,3.403693437918578297e+02
1.027330921401534215e+04,3.403626814217756191e+02
1.027330930029480442e+04,3.403560192989878033e+02
1.027330938657426486e+04,3.403493574239371924e+02
