Time (BJD_TBD - 2450000), L_h/L_star (ppm)
9.880044580769550521e+03,6.669595066489423907e+00
9.880044599329276025e+03,6.669670268668650870e+00
9.880044617889003348e+03,6.669745471150453575e+00
9.880044636448728852e+03,6.669820673920083820e+00
9.880044655008456175e+03,6.669895876992288919e+00
9.880044673568181679e+03,6.669971080352315340e+00
9.880044692127907183e+03,6.670046284007536741e+00
9.880044710687634506e+03,6.670121487965319673e+00
9.880044729247360010e+03,6.670196692210919487e+00
9.880044747807087333e+03,6.670271896759073726e+00
9.880044766366812837e+03,6.670347101595041295e+00
9.880044784926540160e+03,6.670422306733557072e+00
9.880044803486265664e+03,6.670497512159879072e+00
9.880044822045992987e+03,6.670572717888743952e+00
9.880044840605718491e+03,6.670647923905408838e+00
9.880044859165445814e+03,6.670723130224613939e+00
9.880044877725171318e+03,6.670798336831608388e+00
9.880044896284898641e+03,6.670873543741135059e+00
9.880044914844624145e+03,6.670948750938452854e+00
9.880044933404349649e+03,6.671023958430926548e+00
9.880044951964076972e+03,6.671099166225922694e+00
9.880044970523802476e+03,6.671174374308697530e+00
9.880044989083529799e+03,6.671249582693991265e+00
9.880045007643255303e+03,6.671324791367058360e+00
9.880045026202982626e+03,6.671400000342635472e+00
9.880045044762708130e+03,6.671475209605981505e+00
9.880045063322435453e+03,6.671550419171833113e+00
9.880045081882160957e+03,6.671625629025448312e+00
9.880045100441888280e+03,6.671700839181563758e+00
9.880045119001613784e+03,6.671776049625431249e+00
9.880045137561341107e+03,6.671851260371796322e+00
9.880045156121066611e+03,6.671926471405911663e+00
9.880045174680792115e+03,6.672001682735144712e+00
9.880045193240519438e+03,6.672076894366866462e+00
9.880045211800244942e+03,6.672152106286324269e+00
9.880045230359972265e+03,6.672227318508263672e+00
9.880045248919697769e+03,6.672302531017940019e+00
9.880045267479425092e+03,6.672377743830088193e+00
9.880045286039150596e+03,6.672452956929968870e+00
9.880045304598877919e+03,6.672528170332316044e+00
9.880045323158603424e+03,6.672603384022387729e+00
9.880045341718330747e+03,6.672678598014922358e+00
9.880045360278056251e+03,6.672753812295176168e+00
9.880045378837783574e+03,6.672829026877884040e+00
9.880045397397509078e+03,6.672904241748308429e+00
9.880045415957234582e+03,6.672979456913808782e+00
9.880045434516961905e+03,6.673054672381761421e+00
9.880045453076687409e+03,6.673129888137414589e+00
9.880045471636414732e+03,6.673205104195511161e+00
9.880045490196140236e+03,6.673280320541304711e+00
9.880045508755867559e+03,6.673355537189534559e+00
9.880045527315593063e+03,6.673430754125457831e+00
9.880045545875320386e+03,6.673505971363812961e+00
9.880045564435045890e+03,6.673581188889850857e+00
9.880045582994773213e+03,6.673656406718315282e+00
9.880045601554498717e+03,6.673731624834460696e+00
9.880045620114226040e+03,6.673806843253024645e+00
9.880045638673951544e+03,6.673882061959262479e+00
9.880045657233677048e+03,6.673957280960541638e+00
9.880045675793404371e+03,6.674032500264234891e+00
9.880045694353129875e+03,6.674107719855592258e+00
9.880045712912857198e+03,6.674182939749354837e+00
9.880045731472582702e+03,6.674258159930777090e+00
9.880045750032310025e+03,6.674333380414595673e+00
9.880045768592035529e+03,6.674408601186070378e+00
9.880045787151762852e+03,6.674483822259942301e+00
9.880045805711488356e+03,6.674559043621453469e+00
9.880045824271215679e+03,6.674634265285359191e+00
9.880045842830941183e+03,6.674709487236903271e+00
9.880045861390666687e+03,6.674784709483457590e+00
9.880045879950394010e+03,6.674859932032396692e+00
9.880045898510119514e+03,6.674935154868964382e+00
9.880045917069846837e+03,6.675010378007907086e+00
9.880045935629572341e+03,6.675085601434474825e+00
9.880045954189299664e+03,6.675160825163412248e+00
9.880045972749025168e+03,6.675236049179969378e+00
9.880045991308752491e+03,6.675311273498890863e+00
9.880046009868477995e+03,6.675386498105424060e+00
9.880046028428205318e+03,6.675461723014317172e+00
9.880046046987930822e+03,6.675536948210819332e+00
9.880046065547658145e+03,6.675612173709672525e+00
