Time (BJD_TBD - 2450000), L_f/L_star (ppm)
9.889787393844580947e+03,1.712131574443729765e+00
9.889787410723583889e+03,1.712003393226519066e+00
9.889787427602585012e+03,1.711875216707957392e+00
9.889787444481587954e+03,1.711747044860431055e+00
9.889787461360590896e+03,1.711618877697774321e+00
9.889787478239593838e+03,1.711490715219998515e+00
9.889787495118596780e+03,1.711362557427124953e+00
9.889787511997599722e+03,1.711234404319169622e+00
9.889787528876602664e+03,1.711106255896148953e+00
9.889787545755605606e+03,1.710978112158079600e+00
9.889787562634606729e+03,1.710849973118790945e+00
9.889787579513609671e+03,1.710721838750677737e+00
9.889787596392612613e+03,1.710593709067564694e+00
9.889787613271615555e+03,1.710465584069477130e+00
9.889787630150618497e+03,1.710337463756419041e+00
9.889787647029621439e+03,1.710209348128423068e+00
9.889787663908624381e+03,1.710081237185493208e+00
9.889787680787627323e+03,1.709953130927654552e+00
9.889787697666628446e+03,1.709825029368723603e+00
9.889787714545631388e+03,1.709696932481107767e+00
9.889787731424634330e+03,1.709568840278636426e+00
9.889787748303637272e+03,1.709440752761313798e+00
9.889787765182640214e+03,1.709312669929172523e+00
9.889787782061643156e+03,1.709184591782212381e+00
9.889787798940646098e+03,1.709056518320466456e+00
9.889787815819649040e+03,1.708928449543943406e+00
9.889787832698650163e+03,1.708800385466459737e+00
9.889787849577653105e+03,1.708672326060438840e+00
9.889787866456656047e+03,1.708544271339685894e+00
9.889787883335658989e+03,1.708416221304229321e+00
9.889787900214661931e+03,1.708288175954077337e+00
9.889787917093664873e+03,1.708160135289254589e+00
9.889787933972667815e+03,1.708032099309773733e+00
9.889787950851670757e+03,1.707904068015651200e+00
9.889787967730671880e+03,1.707776041420707491e+00
9.889787984609674822e+03,1.707648019497358227e+00
9.889788001488677764e+03,1.707520002259417025e+00
9.889788018367680706e+03,1.707391989706907420e+00
9.889788035246683648e+03,1.707263981839842071e+00
9.889788052125686590e+03,1.707135978658238074e+00
9.889788069004689532e+03,1.707007980162110972e+00
9.889788085883692474e+03,1.706879986351482081e+00
9.889788102762693597e+03,1.706751997240159247e+00
9.889788119641696539e+03,1.706624012800571188e+00
9.889788136520699481e+03,1.706496033046534189e+00
9.889788153399702423e+03,1.706368057978056685e+00
9.889788170278705365e+03,1.706240087595159327e+00
9.889788187157708307e+03,1.706112121897862322e+00
9.889788204036711250e+03,1.705984160886178325e+00
9.889788220915714192e+03,1.705856204560127765e+00
9.889788237794715315e+03,1.705728252933515154e+00
9.889788254673718257e+03,1.705600305978776987e+00
9.889788271552721199e+03,1.705472363709725547e+00
9.889788288431724141e+03,1.705344426126369273e+00
9.889788305310727083e+03,1.705216493228732588e+00
9.889788322189730025e+03,1.705088565016824154e+00
9.889788339068732967e+03,1.704960641490671946e+00
9.889788355947735909e+03,1.704832722650285071e+00
9.889788372826737032e+03,1.704704808509467817e+00
9.889788389705739974e+03,1.704576899040668447e+00
9.889788406584742916e+03,1.704448994257687477e+00
9.889788423463745858e+03,1.704321094160537120e+00
9.889788440342748800e+03,1.704193198749242466e+00
9.889788457221751742e+03,1.704065308023819281e+00
9.889788474100754684e+03,1.703937421984280443e+00
9.889788490979757626e+03,1.703809540630646158e+00
9.889788507858758749e+03,1.703681663976712723e+00
9.889788524737761691e+03,1.703553791994933286e+00
9.889788541616764633e+03,1.703425924699107918e+00
9.889788558495767575e+03,1.703298062089256826e+00
9.889788575374770517e+03,1.703170204165392665e+00
9.889788592253773459e+03,1.703042350927531867e+00
9.889788609132776401e+03,1.702914502375695083e+00
9.889788626011779343e+03,1.702786658509898299e+00
9.889788642890780466e+03,1.702658819343930263e+00
9.889788659769783408e+03,1.702530984850259665e+00
9.889788676648786350e+03,1.702403155042682803e+00
9.889788693527789292e+03,1.702275329921207669e+00
9.889788710406792234e+03,1.702147509485859356e+00
9.889788727285795176e+03,1.702019693736650074e+00
9.889788744164798118e+03,1.701891882673604250e+00
9.889788761043801060e+03,1.701764076296726103e+00
9.889788777922802183e+03,1.701636274619812150e+00
9.889788794801805125e+03,1.701508477615339521e+00
9.889788811680808067e+03,1.701380685297087858e+00
9.889788828559811009e+03,1.701252897665082031e+00
9.889788845438813951e+03,1.701125114719334475e+00
9.889788862317816893e+03,1.700997336459865394e+00
9.889788879196819835e+03,1.700869562886683672e+00
9.889788896075822777e+03,1.700741793999821061e+00
9.889788912954823900e+03,1.700614029813046324e+00
9.889788929833826842e+03,1.700486270298852576e+00
9.889788946712829784e+03,1.700358515471015464e+00
9.889788963591832726e+03,1.700230765329559857e+00
9.889788980470835668e+03,1.700103019874501964e+00
9.889788997349838610e+03,1.699975279105850223e+00
9.889789014228841552e+03,1.699847543023633500e+00
9.889789031107844494e+03,1.699719811627855570e+00
9.889789047986845617e+03,1.699592084932308733e+00
9.889789064865848559e+03,1.699464362909478554e+00
9.889789081744851501e+03,1.699336645573145121e+00
9.889789098623854443e+03,1.699208932923324422e+00
9.889789115502857385e+03,1.699081224960033110e+00
9.889789132381860327e+03,1.698953521683292056e+00
9.889789149260863269e+03,1.698825823093112808e+00
9.889789166139866211e+03,1.698698129189520456e+00
9.889789183018867334e+03,1.698570439986282876e+00
9.889789199897870276e+03,1.698442755455901843e+00
9.889789216776873218e+03,1.698315075612152558e+00
9.889789233655876160e+03,1.698187400455051899e+00
9.889789250534879102e+03,1.698059729984616073e+00
9.889789267413882044e+03,1.697932064200866176e+00
9.889789284292884986e+03,1.697804403103813975e+00
9.889789301171887928e+03,1.697676746693480121e+00
9.889789318050889051e+03,1.697549094983640483e+00
9.889789334929891993e+03,1.697421447946789064e+00
9.889789351808894935e+03,1.697293805596709060e+00
9.889789368687897877e+03,1.697166167933413572e+00
9.889789385566900819e+03,1.697038534956918365e+00
9.889789402445903761e+03,1.696910906667244756e+00
9.889789419324906703e+03,1.696783283064404291e+00
9.889789436203909645e+03,1.696655664148417841e+00
9.889789453082910768e+03,1.696528049933053506e+00
9.889789469961913710e+03,1.696400440390824604e+00
9.889789486840916652e+03,1.696272835535494794e+00
9.889789503719919594e+03,1.696145235367089388e+00
9.889789520598922536e+03,1.696017639885619932e+00
9.889789537477925478e+03,1.695890049091103302e+00
9.889789554356928420e+03,1.695762462983559482e+00
9.889789571235931362e+03,1.695634881563001573e+00
