Time (BJD_TBD - 2450000), L_d/L_star (ppm)
9.889740925950105520e+03,2.829301011816337663e+01
9.889740942829108462e+03,2.829494306688740224e+01
9.889740959708111404e+03,2.829687607193517707e+01
9.889740976587114346e+03,2.829880913330537595e+01
9.889740993466117288e+03,2.830074225099666663e+01
9.889741010345118411e+03,2.830267542479939991e+01
9.889741027224121353e+03,2.830460865512891644e+01
9.889741044103124295e+03,2.830654194177554217e+01
9.889741060982127237e+03,2.830847528473795549e+01
9.889741077861130179e+03,2.831040868401485255e+01
9.889741094740133121e+03,2.831234213960488688e+01
9.889741111619136063e+03,2.831427565150673331e+01
9.889741128498139005e+03,2.831620921971908089e+01
9.889741145377140128e+03,2.831814284403219872e+01
9.889741162256143070e+03,2.832007652486154470e+01
9.889741179135146012e+03,2.832201026199740213e+01
9.889741196014148954e+03,2.832394405543843519e+01
9.889741212893151896e+03,2.832587790518332937e+01
9.889741229772154838e+03,2.832781181123076664e+01
9.889741246651157780e+03,2.832974577357941115e+01
9.889741263530160722e+03,2.833167979222792709e+01
9.889741280409161845e+03,2.833361386696657647e+01
9.889741297288164787e+03,2.833554799821087400e+01
9.889741314167167729e+03,2.833748218575107813e+01
9.889741331046170671e+03,2.833941642958584950e+01
9.889741347925173613e+03,2.834135072971388425e+01
9.889741364804176555e+03,2.834328508613384656e+01
9.889741381683179497e+03,2.834521949884437930e+01
9.889741398562182439e+03,2.834715396784419994e+01
9.889741415441183563e+03,2.834908849292348521e+01
9.889741432320186505e+03,2.835102307449785997e+01
9.889741449199189447e+03,2.835295771235751161e+01
9.889741466078192389e+03,2.835489240650114340e+01
9.889741482957195331e+03,2.835682715692739464e+01
9.889741499836198273e+03,2.835876196363497570e+01
9.889741516715201215e+03,2.836069682662252944e+01
9.889741533594204157e+03,2.836263174588872715e+01
9.889741550473205280e+03,2.836456672122373490e+01
9.889741567352208222e+03,2.836650175304327703e+01
9.889741584231211164e+03,2.836843684113748054e+01
9.889741601110214106e+03,2.837037198550502382e+01
9.889741617989217048e+03,2.837230718614460656e+01
9.889741634868219990e+03,2.837424244305487875e+01
9.889741651747222932e+03,2.837617775623451521e+01
9.889741668626225874e+03,2.837811312568219435e+01
9.889741685505226997e+03,2.838004855118799341e+01
9.889741702384229939e+03,2.838198403316776819e+01
9.889741719263232881e+03,2.838391957141157818e+01
9.889741736142235823e+03,2.838585516591813018e+01
9.889741753021238765e+03,2.838779081668608484e+01
9.889741769900241707e+03,2.838972652371412053e+01
9.889741786779244649e+03,2.839166228700089434e+01
9.889741803658247591e+03,2.839359810654508109e+01
9.889741820537248714e+03,2.839553398213674740e+01
9.889741837416251656e+03,2.839746991419179523e+01
9.889741854295254598e+03,2.839940590250027697e+01
9.889741871174257540e+03,2.840134194706087456e+01
9.889741888053260482e+03,2.840327804787223798e+01
9.889741904932263424e+03,2.840521420493308113e+01
9.889741921811266366e+03,2.840715041824203624e+01
9.889741938690269308e+03,2.840908668779778523e+01
9.889741955569270431e+03,2.841102301339033431e+01
9.889741972448273373e+03,2.841295939543569915e+01
9.889741989327276315e+03,2.841489583372388239e+01
9.889742006206279257e+03,2.841683232825353400e+01
9.889742023085282199e+03,2.841876887902335014e+01
9.889742039964285141e+03,2.842070548603200209e+01
9.889742056843288083e+03,2.842264214927816468e+01
9.889742073722291025e+03,2.842457886876048789e+01
9.889742090601292148e+03,2.842651564426893884e+01
9.889742107480295090e+03,2.842845247621962557e+01
9.889742124359298032e+03,2.843038936440249742e+01
9.889742141238300974e+03,2.843232630881623635e+01
9.889742158117303916e+03,2.843426330945949942e+01
9.889742174996306858e+03,2.843620036633098280e+01
9.889742191875309800e+03,2.843813747942932579e+01
9.889742208754312742e+03,2.844007464875322100e+01
9.889742225633313865e+03,2.844201187409257159e+01
9.889742242512316807e+03,2.844394915586357087e+01
9.889742259391319749e+03,2.844588649385613621e+01
9.889742276270322691e+03,2.844782388806892826e+01
9.889742293149325633e+03,2.844976133850063604e+01
9.889742310028328575e+03,2.845169884514992020e+01
9.889742326907331517e+03,2.845363640801544136e+01
9.889742343786334459e+03,2.845557402709588857e+01
9.889742360665335582e+03,2.845751170218109749e+01
9.889742377544338524e+03,2.845944943368738933e+01
9.889742394423341466e+03,2.846138722140461752e+01
9.889742411302344408e+03,2.846332506533144269e+01
9.889742428181347350e+03,2.846526296546654322e+01
9.889742445060350292e+03,2.846720092180858330e+01
9.889742461939353234e+03,2.846913893435625198e+01
9.889742478818356176e+03,2.847107700310819212e+01
9.889742495697357299e+03,2.847301512785423938e+01
9.889742512576360241e+03,2.847495330901076471e+01
9.889742529455363183e+03,2.847689154636759312e+01
9.889742546334366125e+03,2.847882983992339945e+01
9.889742563213369067e+03,2.848076818967683366e+01
9.889742580092372009e+03,2.848270659562658835e+01
9.889742596971374951e+03,2.848464505777132416e+01
9.889742613850377893e+03,2.848658357610971947e+01
9.889742630729379016e+03,2.848852215043151404e+01
9.889742647608381958e+03,2.849046078115321379e+01
9.889742664487384900e+03,2.849239946806459045e+01
9.889742681366387842e+03,2.849433821116428689e+01
9.889742698245390784e+03,2.849627701045099926e+01
9.889742715124393726e+03,2.849821586592338463e+01
9.889742732003396668e+03,2.850015477758011428e+01
9.889742748882399610e+03,2.850209374541987373e+01
9.889742765761400733e+03,2.850403276923234230e+01
9.889742782640403675e+03,2.850597184943412188e+01
9.889742799519406617e+03,2.850791098581494509e+01
9.889742816398409559e+03,2.850985017837344770e+01
9.889742833277412501e+03,2.851178942710832231e+01
9.889742850156415443e+03,2.851372873201825797e+01
9.889742867035418385e+03,2.851566809310188688e+01
9.889742883914421327e+03,2.851760751035788033e+01
9.889742900793422450e+03,2.851954698357593188e+01
9.889742917672425392e+03,2.852148651317269312e+01
9.889742934551428334e+03,2.852342609893784697e+01
9.889742951430431276e+03,2.852536574087004695e+01
9.889742968309434218e+03,2.852730543896799631e+01
9.889742985188437160e+03,2.852924519323034502e+01
9.889743002067440102e+03,2.853118500365572885e+01
9.889743018946443044e+03,2.853312487024287947e+01
9.889743035825444167e+03,2.853506479278134833e+01
9.889743052704447109e+03,2.853700477168796823e+01
9.889743069583450051e+03,2.853894480675234036e+01
9.889743086462452993e+03,2.854088489797311468e+01
9.889743103341455935e+03,2.854282504534896958e+01
9.889743120220458877e+03,2.854476524887858702e+01
9.889743137099461819e+03,2.854670550856063826e+01
9.889743153978464761e+03,2.854864582439375909e+01
9.889743170857465884e+03,2.855058619616755422e+01
9.889743187736468826e+03,2.855252662429885646e+01
9.889743204615471768e+03,2.855446710857728831e+01
9.889743221494474710e+03,2.855640764900148554e+01
9.889743238373477652e+03,2.855834824557011231e+01
9.889743255252480594e+03,2.856028889828186479e+01
9.889743272131483536e+03,2.856222960713536807e+01
9.889743289010486478e+03,2.856417037212933607e+01
9.889743305889487601e+03,2.856611119305325630e+01
9.889743322768490543e+03,2.856805207032410721e+01
9.889743339647493485e+03,2.856999300373143313e+01
9.889743356526496427e+03,2.857193399327385919e+01
9.889743373405499369e+03,2.857387503895009573e+01
9.889743390284502311e+03,2.857581614075878207e+01
9.889743407163505253e+03,2.857775729869860371e+01
9.889743424042508195e+03,2.857969851276821416e+01
9.889743440921509318e+03,2.858163978275708672e+01
9.889743457800512260e+03,2.858358110908229577e+01
9.889743474679515202e+03,2.858552249153331104e+01
9.889743491558518144e+03,2.858746393010880738e+01
9.889743508437521086e+03,2.858940542480742053e+01
9.889743525316524028e+03,2.859134697562787153e+01
9.889743542195526970e+03,2.859328858256878192e+01
9.889743559074529912e+03,2.859523024562884075e+01
9.889743575953531035e+03,2.859717196459746802e+01
9.889743592832533977e+03,2.859911373989182692e+01
9.889743609711536919e+03,2.860105557130134812e+01
9.889743626590539861e+03,2.860299745882466382e+01
9.889743643469542803e+03,2.860493940246048439e+01
9.889743660348545745e+03,2.860688140220745979e+01
9.889743677227548687e+03,2.860882345806426486e+01
9.889743694106551629e+03,2.861076557002955312e+01
9.889743710985552752e+03,2.861270773789270550e+01
9.889743727864555694e+03,2.861464996207098466e+01
9.889743744743558636e+03,2.861659224235376442e+01
9.889743761622561578e+03,2.861853457873970541e+01
9.889743778501564520e+03,2.862047697122747536e+01
9.889743795380567462e+03,2.862241941981575621e+01
9.889743812259570404e+03,2.862436192450320505e+01
9.889743829138573346e+03,2.862630448528847893e+01
9.889743846017574469e+03,2.862824710196091615e+01
9.889743862896577411e+03,2.863018977493786466e+01
9.889743879775580353e+03,2.863213250400866272e+01
9.889743896654583295e+03,2.863407528917196387e+01
9.889743913533586237e+03,2.863601813042644295e+01
9.889743930412589179e+03,2.863796102777076769e+01
9.889743947291592121e+03,2.863990398120360226e+01
9.889743964170595063e+03,2.864184699072361084e+01
9.889743981049596186e+03,2.864379005612006779e+01
9.889743997928599128e+03,2.864573317781043116e+01
9.889744014807602071e+03,2.864767635558397529e+01
9.889744031686605013e+03,2.864961958943936082e+01
9.889744048565607955e+03,2.865156287937528035e+01
9.889744065444610897e+03,2.865350622539036607e+01
9.889744082323613839e+03,2.865544962748331415e+01
9.889744099202616781e+03,2.865739308565277099e+01
9.889744116081617904e+03,2.865933659968796476e+01
9.889744132960620846e+03,2.866128017000645656e+01
9.889744149839623788e+03,2.866322379639747098e+01
9.889744166718626730e+03,2.866516747885966510e+01
9.889744183597629672e+03,2.866711121739171020e+01
9.889744200476632614e+03,2.866905501199227757e+01
9.889744217355635556e+03,2.867099886266003494e+01
9.889744234234638498e+03,2.867294276939364295e+01
9.889744251113639621e+03,2.867488673198228355e+01
9.889744267992642563e+03,2.867683075084359245e+01
9.889744284871645505e+03,2.867877482576676584e+01
9.889744301750648447e+03,2.868071895675045013e+01
9.889744318629651389e+03,2.868266314379333082e+01
9.889744335508654331e+03,2.868460738689406497e+01
9.889744352387657273e+03,2.868655168605131323e+01
9.889744369266660215e+03,2.868849604126376107e+01
9.889744386145661338e+03,2.869044045232049811e+01
9.889744403024664280e+03,2.869238491963931992e+01
9.889744419903667222e+03,2.869432944300931609e+01
9.889744436782670164e+03,2.869627402242916503e+01
9.889744453661673106e+03,2.869821865789753090e+01
9.889744470540676048e+03,2.870016334941309921e+01
9.889744487419678990e+03,2.870210809697451282e+01
9.889744504298681932e+03,2.870405290058045011e+01
9.889744521177683055e+03,2.870599776001997583e+01
9.889744538056685997e+03,2.870794267571093172e+01
9.889744554935688939e+03,2.870988764744242872e+01
9.889744571814691881e+03,2.871183267521308480e+01
9.889744588693694823e+03,2.871377775902160323e+01
9.889744605572697765e+03,2.871572289886664464e+01
9.889744622451700707e+03,2.871766809474686610e+01
9.889744639330703649e+03,2.871961334666092469e+01
9.889744656209704772e+03,2.872155865439787092e+01
9.889744673088707714e+03,2.872350401837562472e+01
9.889744689967710656e+03,2.872544943838323306e+01
9.889744706846713598e+03,2.872739491441933879e+01
9.889744723725716540e+03,2.872934044648263807e+01
9.889744740604719482e+03,2.873128603457177732e+01
9.889744757483722424e+03,2.873323167868543138e+01
9.889744774362725366e+03,2.873517737882223955e+01
9.889744791241726489e+03,2.873712313477121683e+01
9.889744808120729431e+03,2.873906894695037906e+01
9.889744824999732373e+03,2.874101481514872702e+01
9.889744841878735315e+03,2.874296073936490359e+01
9.889744858757738257e+03,2.874490671959757293e+01
9.889744875636741199e+03,2.874685275584542765e+01
9.889744892515744141e+03,2.874879884810710706e+01
9.889744909394747083e+03,2.875074499638128955e+01
9.889744926273748206e+03,2.875269120045688709e+01
9.889744943152751148e+03,2.875463746075206828e+01
9.889744960031754090e+03,2.875658377705572377e+01
9.889744976910757032e+03,2.875853014936655327e+01
9.889744993789759974e+03,2.876047657768321741e+01
9.889745010668762916e+03,2.876242306200436261e+01
9.889745027547765858e+03,2.876436960232865658e+01
9.889745044426768800e+03,2.876631619865478484e+01
9.889745061305769923e+03,2.876826285077160605e+01
9.889745078184772865e+03,2.877020955909735989e+01
9.889745095063775807e+03,2.877215632342092277e+01
9.889745111942778749e+03,2.877410314374098022e+01
