Time (BJD_TBD - 2450000), F_star + F_b (mJy)
9.882595095526881778e+03,3.862660481545015401e+00
9.882595113542573017e+03,3.862660523756034081e+00
9.882595131558262437e+03,3.862660565960379877e+00
9.882595149573953677e+03,3.862660608158061670e+00
9.882595167589643097e+03,3.862660650349070579e+00
9.882595185605334336e+03,3.862660692533415485e+00
9.882595203621025576e+03,3.862660734711090171e+00
9.882595221636714996e+03,3.862660776882091085e+00
9.882595239652406235e+03,3.862660819046427108e+00
9.882595257668095655e+03,3.862660861204088469e+00
9.882595275683786895e+03,3.862660903355084496e+00
9.882595293699476315e+03,3.862660945499405418e+00
9.882595311715167554e+03,3.862660987637061005e+00
9.882595329730858793e+03,3.862661029768044596e+00
9.882595347746548214e+03,3.862661071892353526e+00
9.882595365762239453e+03,3.862661114009994900e+00
9.882595383777928873e+03,3.862661156120961170e+00
9.882595401793620113e+03,3.862661198225258552e+00
9.882595419809309533e+03,3.862661240322881273e+00
9.882595437825000772e+03,3.862661282413835107e+00
9.882595455840692011e+03,3.862661324498116056e+00
9.882595473856381432e+03,3.862661366575720567e+00
9.882595491872072671e+03,3.862661408646656191e+00
9.882595509887762091e+03,3.862661450710914934e+00
9.882595527903453331e+03,3.862661492768503457e+00
9.882595545919142751e+03,3.862661534819415099e+00
9.882595563934833990e+03,3.862661576863656077e+00
9.882595581950525229e+03,3.862661618901223282e+00
9.882595599966214650e+03,3.862661660932112273e+00
9.882595617981905889e+03,3.862661702956330156e+00
9.882595635997595309e+03,3.862661744973869382e+00
9.882595654013286548e+03,3.862661786984737500e+00
9.882595672028975969e+03,3.862661828988926516e+00
9.882595690044667208e+03,3.862661870986443979e+00
9.882595708060358447e+03,3.862661912977285450e+00
9.882595726076047868e+03,3.862661954961446487e+00
9.882595744091739107e+03,3.862661996938935527e+00
9.882595762107428527e+03,3.862662038909744133e+00
9.882595780123119766e+03,3.862662080873880299e+00
9.882595798138809187e+03,3.862662122831334699e+00
9.882595816154500426e+03,3.862662164782116658e+00
9.882595834170191665e+03,3.862662206726220848e+00
9.882595852185881085e+03,3.862662248663643716e+00
9.882595870201572325e+03,3.862662290594391923e+00
9.882595888217261745e+03,3.862662332518458808e+00
9.882595906232952984e+03,3.862662374435850587e+00
9.882595924248642405e+03,3.862662416346560157e+00
9.882595942264333644e+03,3.862662458250594177e+00
9.882595960280024883e+03,3.862662500147949540e+00
9.882595978295714303e+03,3.862662542038622249e+00
9.882595996311405543e+03,3.862662583922618520e+00
9.882596014327094963e+03,3.862662625799930805e+00
9.882596032342786202e+03,3.862662667670567984e+00
9.882596050358475622e+03,3.862662709534520289e+00
9.882596068374166862e+03,3.862662751391796601e+00
9.882596086389858101e+03,3.862662793242391590e+00
9.882596104405547521e+03,3.862662835086301705e+00
9.882596122421238761e+03,3.862662876923534494e+00
9.882596140436928181e+03,3.862662918754081520e+00
9.882596158452619420e+03,3.862662960577951665e+00
9.882596176468308840e+03,3.862663002395135159e+00
9.882596194484000080e+03,3.862663044205641327e+00
9.882596212499691319e+03,3.862663086009464397e+00
9.882596230515380739e+03,3.862663127806601260e+00
9.882596248531071979e+03,3.862663169597058133e+00
9.882596266546761399e+03,3.862663211380828798e+00
9.882596284562452638e+03,3.862663253157920806e+00
9.882596302578142058e+03,3.862663294928324831e+00
9.882596320593833298e+03,3.862663336692047977e+00
9.882596338609524537e+03,3.862663378449088469e+00
9.882596356625213957e+03,3.862663420199439646e+00
9.882596374640905196e+03,3.862663461943111276e+00
9.882596392656594617e+03,3.862663503680094035e+00
9.882596410672285856e+03,3.862663545410395471e+00
9.882596428687975276e+03,3.862663587134007592e+00
9.882596446703666516e+03,3.862663628850937947e+00
9.882596464719357755e+03,3.862663670561183427e+00
9.882596482735047175e+03,3.862663712264739146e+00
9.882596500750738414e+03,3.862663753961611768e+00
9.882596518766427835e+03,3.862663795651794185e+00
9.882596536782119074e+03,3.862663837335294836e+00
9.882596554797808494e+03,3.862663879012103507e+00
9.882596572813499733e+03,3.862663920682229524e+00
9.882596590829190973e+03,3.862663962345668889e+00
9.882596608844880393e+03,3.862664004002415830e+00
9.882596626860571632e+03,3.862664045652480116e+00
9.882596644876261053e+03,3.862664087295851534e+00
9.882596662891952292e+03,3.862664128932538521e+00
9.882596680907641712e+03,3.862664170562533528e+00
9.882596698923332951e+03,3.862664212185843216e+00
9.882596716939024191e+03,3.862664253802464476e+00
9.882596734954713611e+03,3.862664295412392867e+00
9.882596752970404850e+03,3.862664337015635496e+00
9.882596770986094270e+03,3.862664378612183480e+00
9.882596789001785510e+03,3.862664420202046589e+00
9.882596807017474930e+03,3.862664461785215941e+00
9.882596825033166169e+03,3.862664503361698198e+00
9.882596843048857409e+03,3.862664544931490251e+00
9.882596861064546829e+03,3.862664586494586771e+00
9.882596879080238068e+03,3.862664628050997528e+00
9.882596897095927488e+03,3.862664669600711864e+00
9.882596915111618728e+03,3.862664711143739549e+00
9.882596933127308148e+03,3.862664752680071256e+00
9.882596951142999387e+03,3.862664794209714980e+00
9.882596969158688808e+03,3.862664835732661839e+00
9.882596987174380047e+03,3.862664877248920270e+00
9.882597005190071286e+03,3.862664918758486721e+00
9.882597023205760706e+03,3.862664960261356306e+00
9.882597041221451946e+03,3.862665001757535688e+00
9.882597059237141366e+03,3.862665043247018648e+00
9.882597077252832605e+03,3.862665084729811849e+00
9.882597095268522025e+03,3.862665126205907296e+00
9.882597113284213265e+03,3.862665167675312983e+00
9.882597131299904504e+03,3.862665209138023581e+00
9.882597149315593924e+03,3.862665250594035538e+00
9.882597167331285164e+03,3.862665292043357734e+00
9.882597185346974584e+03,3.862665333485979957e+00
9.882597203362665823e+03,3.862665374921911088e+00
9.882597221378355243e+03,3.862665416351143133e+00
9.882597239394046483e+03,3.862665457773683642e+00
9.882597257409737722e+03,3.862665499189527285e+00
9.882597275425427142e+03,3.862665540598671843e+00
9.882597293441118381e+03,3.862665582001122644e+00
9.882597311456807802e+03,3.862665623396873471e+00
9.882597329472499041e+03,3.862665664785931874e+00
9.882597347488188461e+03,3.862665706168288526e+00
9.882597365503879701e+03,3.862665747543952754e+00
9.882597383519570940e+03,3.862665788912919229e+00
9.882597401535260360e+03,3.862665830275183065e+00
