Time (BJD_TBD - 2450000), F_g/F_star (ppm)
1.065024153429938997e+04,5.848195531006899017e+01
1.065024155558971324e+04,5.848169889423894574e+01
1.065024157688003652e+04,5.848144247554230191e+01
1.065024159817035979e+04,5.848118605397915104e+01
1.065024161946068489e+04,5.848092962952758711e+01
1.065024164075100816e+04,5.848067320223145771e+01
1.065024166204133144e+04,5.848041677206885680e+01
1.065024168333165471e+04,5.848016033903986965e+01
1.065024170462197799e+04,5.847990390314448916e+01
1.065024172591230126e+04,5.847964746438273664e+01
1.065024174720262454e+04,5.847939102275467604e+01
1.065024176849294781e+04,5.847913457826032868e+01
1.065024178978327109e+04,5.847887813089970166e+01
1.065024181107359618e+04,5.847862168065092447e+01
1.065024183236391946e+04,5.847836522755785182e+01
1.065024185365424273e+04,5.847810877159862031e+01
1.065024187494456601e+04,5.847785231277323703e+01
1.065024189623488928e+04,5.847759585108170910e+01
1.065024191752521256e+04,5.847733938652412178e+01
1.065024193881553583e+04,5.847708291910048217e+01
1.065024196010585911e+04,5.847682644881081160e+01
1.065024198139618238e+04,5.847656997565515269e+01
1.065024200268650748e+04,5.847631349961161362e+01
1.065024202397683075e+04,5.847605702072404910e+01
1.065024204526715403e+04,5.847580053897057439e+01
1.065024206655747730e+04,5.847554405435124636e+01
1.065024208784780058e+04,5.847528756686606499e+01
1.065024210913812385e+04,5.847503107651505871e+01
1.065024213042844713e+04,5.847477458329827726e+01
1.065024215171877040e+04,5.847451808721573485e+01
1.065024217300909368e+04,5.847426158826747411e+01
1.065024219429941877e+04,5.847400508643161032e+01
1.065024221558974205e+04,5.847374858175196266e+01
1.065024223688006532e+04,5.847349207420671746e+01
1.065024225817038860e+04,5.847323556379586051e+01
1.065024227946071187e+04,5.847297905051942024e+01
1.065024230075103515e+04,5.847272253437745348e+01
1.065024232204135842e+04,5.847246601536996025e+01
1.065024234333168170e+04,5.847220949349699026e+01
1.065024236462200497e+04,5.847195296875855774e+01
1.065024238591233006e+04,5.847169644113278508e+01
1.065024240720265334e+04,5.847143991066354118e+01
1.065024242849297661e+04,5.847118337732894133e+01
1.065024244978329989e+04,5.847092684112899263e+01
1.065024247107362316e+04,5.847067030206374483e+01
1.065024249236394644e+04,5.847041376013322633e+01
1.065024251365426971e+04,5.847015721533745847e+01
1.065024253494459299e+04,5.846990066767649807e+01
1.065024255623491626e+04,5.846964411715034515e+01
1.065024257752524136e+04,5.846938756373710788e+01
1.065024259881556463e+04,5.846913100748068359e+01
1.065024262010588791e+04,5.846887444835915204e+01
1.065024264139621118e+04,5.846861788637257717e+01
1.065024266268653446e+04,5.846836132152095900e+01
1.065024268397685773e+04,5.846810475380434013e+01
1.065024270526718101e+04,5.846784818322274191e+01
1.065024272655750428e+04,5.846759160977620695e+01
1.065024274784782756e+04,5.846733503346475658e+01
1.065024276913815265e+04,5.846707845426651318e+01
