Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.062597502022663502e+04,2.559666674180101520e+00
1.062597503890442931e+04,2.559666700134533901e+00
1.062597505758222178e+04,2.559666726082640231e+00
1.062597507626001607e+04,2.559666752024423175e+00
1.062597509493781035e+04,2.559666777959881401e+00
1.062597511361560282e+04,2.559666803889011799e+00
1.062597513229339711e+04,2.559666829811818367e+00
1.062597515097119140e+04,2.559666855728300217e+00
1.062597516964898387e+04,2.559666881638453351e+00
1.062597518832677815e+04,2.559666907542283987e+00
1.062597520700457244e+04,2.559666933439787684e+00
1.062597522568236491e+04,2.559666959330962666e+00
1.062597524436015919e+04,2.559666985215813817e+00
1.062597526303795348e+04,2.559667011094338473e+00
1.062597528171574595e+04,2.559667036966533527e+00
1.062597530039354024e+04,2.559667062832405193e+00
1.062597531907133452e+04,2.559667088691949033e+00
1.062597533774912699e+04,2.559667114545163713e+00
1.062597535642692128e+04,2.559667140392052787e+00
1.062597537510471557e+04,2.559667166232614921e+00
1.062597539378250804e+04,2.559667192066847008e+00
1.062597541246030232e+04,2.559667217894753488e+00
1.062597543113809661e+04,2.559667243716332585e+00
1.062597544981589090e+04,2.559667269531582523e+00
1.062597546849368337e+04,2.559667295340502413e+00
1.062597548717147765e+04,2.559667321143096252e+00
1.062597550584927194e+04,2.559667346939361821e+00
1.062597552452706441e+04,2.559667372729295565e+00
1.062597554320485870e+04,2.559667398512902814e+00
1.062597556188265298e+04,2.559667424290181792e+00
1.062597558056044545e+04,2.559667450061128946e+00
1.062597559923823974e+04,2.559667475825748717e+00
1.062597561791603403e+04,2.559667501584039329e+00
1.062597563659382649e+04,2.559667527335997672e+00
1.062597565527162078e+04,2.559667553081628633e+00
1.062597567394941507e+04,2.559667578820929990e+00
1.062597569262720754e+04,2.559667604553897746e+00
1.062597571130500182e+04,2.559667630280538564e+00
1.062597572998279611e+04,2.559667656000848890e+00
1.062597574866058858e+04,2.559667681714826060e+00
1.062597576733838287e+04,2.559667707422474958e+00
1.062597578601617715e+04,2.559667733123792477e+00
1.062597580469396962e+04,2.559667758818777283e+00
1.062597582337176391e+04,2.559667784507432930e+00
1.062597584204955820e+04,2.559667810189756754e+00
1.062597586072735248e+04,2.559667835865749197e+00
1.062597587940514495e+04,2.559667861535408040e+00
1.062597589808293924e+04,2.559667887198737279e+00
1.062597591676073353e+04,2.559667912855734251e+00
1.062597593543852599e+04,2.559667938506396734e+00
1.062597595411632028e+04,2.559667964150729613e+00
1.062597597279411457e+04,2.559667989788730225e+00
1.062597599147190704e+04,2.559668015420395015e+00
1.062597601014970132e+04,2.559668041045730202e+00
1.062597602882749561e+04,2.559668066664731789e+00
