Time (BJD_TBD - 2450000), F_star + F_d (mJy)
9.903781908538303469e+03,2.653355327055875623e+00
9.903781931435269144e+03,2.653355322580007059e+00
9.903781954332234818e+03,2.653355318103864047e+00
9.903781977229200493e+03,2.653355313627447032e+00
9.903782000126166167e+03,2.653355309150756902e+00
9.903782023023131842e+03,2.653355304673792325e+00
9.903782045920097517e+03,2.653355300196554634e+00
9.903782068817063191e+03,2.653355295719042495e+00
9.903782091714028866e+03,2.653355291241256797e+00
9.903782114610994540e+03,2.653355286763197096e+00
9.903782137507960215e+03,2.653355282284863392e+00
9.903782160404925889e+03,2.653355277806256129e+00
9.903782183301891564e+03,2.653355273327375308e+00
9.903782206198857239e+03,2.653355268848220483e+00
9.903782229095822913e+03,2.653355264368791655e+00
9.903782251992788588e+03,2.653355259889089268e+00
9.903782274889754262e+03,2.653355255409113322e+00
9.903782297786719937e+03,2.653355250928863374e+00
9.903782320683685612e+03,2.653355246448339866e+00
9.903782343580651286e+03,2.653355241967542355e+00
9.903782366477616961e+03,2.653355237486471285e+00
9.903782389374582635e+03,2.653355233005126212e+00
9.903782412271548310e+03,2.653355228523507581e+00
9.903782435168513985e+03,2.653355224041615390e+00
9.903782458065479659e+03,2.653355219559448752e+00
9.903782480962445334e+03,2.653355215077009444e+00
9.903782503859411008e+03,2.653355210594295688e+00
9.903782526756376683e+03,2.653355206111308817e+00
9.903782549653340538e+03,2.653355201628047944e+00
9.903782572550306213e+03,2.653355197144513067e+00
9.903782595447271888e+03,2.653355192660704631e+00
9.903782618344237562e+03,2.653355188176622637e+00
9.903782641241203237e+03,2.653355183692267083e+00
9.903782664138168911e+03,2.653355179207637526e+00
9.903782687035134586e+03,2.653355174722734855e+00
9.903782709932100261e+03,2.653355170237558180e+00
9.903782732829065935e+03,2.653355165752107503e+00
9.903782755726031610e+03,2.653355161266383710e+00
9.903782778622997284e+03,2.653355156780385915e+00
9.903782801519962959e+03,2.653355152294114561e+00
9.903782824416928634e+03,2.653355147807569647e+00
9.903782847313894308e+03,2.653355143320751175e+00
9.903782870210859983e+03,2.653355138833658700e+00
9.903782893107825657e+03,2.653355134346293109e+00
9.903782916004791332e+03,2.653355129858653516e+00
9.903782938901757007e+03,2.653355125370739920e+00
9.903782961798722681e+03,2.653355120882554097e+00
9.903782984695688356e+03,2.653355116394093383e+00
9.903783007592654030e+03,2.653355111905359554e+00
9.903783030489619705e+03,2.653355107416351721e+00
9.903783053386585379e+03,2.653355102927071218e+00
9.903783076283551054e+03,2.653355098437516713e+00
9.903783099180516729e+03,2.653355093947688204e+00
9.903783122077482403e+03,2.653355089457587024e+00
9.903783144974448078e+03,2.653355084967210953e+00
9.903783167871413752e+03,2.653355080476562655e+00
9.903783190768379427e+03,2.653355075985640354e+00
9.903783213665345102e+03,2.653355071494444051e+00
9.903783236562310776e+03,2.653355067002975076e+00
9.903783259459276451e+03,2.653355062511232099e+00
9.903783282356242125e+03,2.653355058019215118e+00
9.903783305253207800e+03,2.653355053526925023e+00
9.903783328150173475e+03,2.653355049034361368e+00
9.903783351047137330e+03,2.653355044541525043e+00
9.903783373944103005e+03,2.653355040048414271e+00
9.903783396841068679e+03,2.653355035555030383e+00
9.903783419738034354e+03,2.653355031061372937e+00
9.903783442635000029e+03,2.653355026567441932e+00
9.903783465531965703e+03,2.653355022073236924e+00
9.903783488428931378e+03,2.653355017578759245e+00
9.903783511325897052e+03,2.653355013084008007e+00
9.903783534222862727e+03,2.653355008588983210e+00
9.903783557119828401e+03,2.653355004093684855e+00
9.903783580016794076e+03,2.653354999598112940e+00
9.903783602913759751e+03,2.653354995102267910e+00
9.903783625810725425e+03,2.653354990606149322e+00
9.903783648707691100e+03,2.653354986109757174e+00
9.903783671604656774e+03,2.653354981613091468e+00
9.903783694501622449e+03,2.653354977116152202e+00
9.903783717398588124e+03,2.653354972618939822e+00
9.903783740295553798e+03,2.653354968121454327e+00
9.903783763192519473e+03,2.653354963623695273e+00
9.903783786089485147e+03,2.653354959125662660e+00
9.903783808986450822e+03,2.653354954627356488e+00
9.903783831883416497e+03,2.653354950128777201e+00
9.903783854780382171e+03,2.653354945629924799e+00
9.903783877677347846e+03,2.653354941130798395e+00
9.903783900574313520e+03,2.653354936631398875e+00
9.903783923471279195e+03,2.653354932131726240e+00
9.903783946368244870e+03,2.653354927631780047e+00
9.903783969265210544e+03,2.653354923131560295e+00
9.903783992162176219e+03,2.653354918631067427e+00
9.903784015059141893e+03,2.653354914130301445e+00
9.903784037956107568e+03,2.653354909629261460e+00
9.903784060853073242e+03,2.653354905127948804e+00
9.903784083750038917e+03,2.653354900626362589e+00
9.903784106647004592e+03,2.653354896124503259e+00
9.903784129543970266e+03,2.653354891622370371e+00
9.903784152440934122e+03,2.653354887119964367e+00
9.903784175337899796e+03,2.653354882617284805e+00
9.903784198234865471e+03,2.653354878114332127e+00
9.903784221131831146e+03,2.653354873611105891e+00
9.903784244028796820e+03,2.653354869107606540e+00
9.903784266925762495e+03,2.653354864603834073e+00
9.903784289822728169e+03,2.653354860099788048e+00
9.903784312719693844e+03,2.653354855595468909e+00
9.903784335616659519e+03,2.653354851090876210e+00
9.903784358513625193e+03,2.653354846586010840e+00
9.903784381410590868e+03,2.653354842080871467e+00
9.903784404307556542e+03,2.653354837575459424e+00
9.903784427204522217e+03,2.653354833069774266e+00
9.903784450101487892e+03,2.653354828563815548e+00
9.903784472998453566e+03,2.653354824057584160e+00
9.903784495895419241e+03,2.653354819551078769e+00
9.903784518792384915e+03,2.653354815044300707e+00
9.903784541689350590e+03,2.653354810537248643e+00
9.903784564586316264e+03,2.653354806029923907e+00
9.903784587483281939e+03,2.653354801522326500e+00
9.903784610380247614e+03,2.653354797014455091e+00
9.903784633277213288e+03,2.653354792506311011e+00
9.903784656174178963e+03,2.653354787997893371e+00
9.903784679071144637e+03,2.653354783489202617e+00
9.903784701968110312e+03,2.653354778980238748e+00
9.903784724865075987e+03,2.653354774471001765e+00
9.903784747762041661e+03,2.653354769961491666e+00
9.903784770659007336e+03,2.653354765451708008e+00
9.903784793555973010e+03,2.653354760941652124e+00
9.903784816452938685e+03,2.653354756431322237e+00
9.903784839349904360e+03,2.653354751920719679e+00
9.903784862246870034e+03,2.653354747409843561e+00
9.903784885143835709e+03,2.653354742898694330e+00
9.903784908040801383e+03,2.653354738387272427e+00
9.903784930937767058e+03,2.653354733875577409e+00
9.903784953834730914e+03,2.653354729363608833e+00
9.903784976731696588e+03,2.653354724851368029e+00
9.903784999628662263e+03,2.653354720338852779e+00
9.903785022525627937e+03,2.653354715826065302e+00
9.903785045422593612e+03,2.653354711313004710e+00
9.903785068319559286e+03,2.653354706799671003e+00
9.903785091216524961e+03,2.653354702286064182e+00
9.903785114113490636e+03,2.653354697772184245e+00
9.903785137010456310e+03,2.653354693258031194e+00
9.903785159907421985e+03,2.653354688743605472e+00
9.903785182804387659e+03,2.653354684228906191e+00
9.903785205701353334e+03,2.653354679713933795e+00
9.903785228598319009e+03,2.653354675198688284e+00
9.903785251495284683e+03,2.653354670683170546e+00
9.903785274392250358e+03,2.653354666167379250e+00
9.903785297289216032e+03,2.653354661651315283e+00
9.903785320186181707e+03,2.653354657134977757e+00
9.903785343083147382e+03,2.653354652618367115e+00
9.903785365980113056e+03,2.653354648101483804e+00
9.903785388877078731e+03,2.653354643584327821e+00
9.903785411774044405e+03,2.653354639066898280e+00
9.903785434671010080e+03,2.653354634549196067e+00
9.903785457567975755e+03,2.653354630031221184e+00
9.903785480464941429e+03,2.653354625512972742e+00
9.903785503361907104e+03,2.653354620994451185e+00
9.903785526258872778e+03,2.653354616475656957e+00
9.903785549155838453e+03,2.653354611956589615e+00
9.903785572052804127e+03,2.653354607437250046e+00
9.903785594949769802e+03,2.653354602917636917e+00
9.903785617846735477e+03,2.653354598397751118e+00
9.903785640743701151e+03,2.653354593877591761e+00
9.903785663640666826e+03,2.653354589357160176e+00
9.903785686537632500e+03,2.653354584836455476e+00
9.903785709434598175e+03,2.653354580315477662e+00
9.903785732331563850e+03,2.653354575794226733e+00
9.903785755228527705e+03,2.653354571272704021e+00
9.903785778125493380e+03,2.653354566750907306e+00
9.903785801022459054e+03,2.653354562228837921e+00
9.903785823919424729e+03,2.653354557706495420e+00
9.903785846816390404e+03,2.653354553183880693e+00
9.903785869713356078e+03,2.653354548660992851e+00
9.903785892610321753e+03,2.653354544137831894e+00
9.903785915507287427e+03,2.653354539614398266e+00
9.903785938404253102e+03,2.653354535090691524e+00
9.903785961301218776e+03,2.653354530566711666e+00
9.903785984198184451e+03,2.653354526042460027e+00
9.903786007095150126e+03,2.653354521517934383e+00
9.903786029992115800e+03,2.653354516993136514e+00
9.903786052889081475e+03,2.653354512468065973e+00
9.903786075786047149e+03,2.653354507942721874e+00
9.903786098683012824e+03,2.653354503417105548e+00
9.903786121579978499e+03,2.653354498891216107e+00
9.903786144476944173e+03,2.653354494365053995e+00
9.903786167373909848e+03,2.653354489838619212e+00
9.903786190270875522e+03,2.653354485311911759e+00
9.903786213167841197e+03,2.653354480784931191e+00
9.903786236064806872e+03,2.653354476257677508e+00
9.903786258961772546e+03,2.653354471730151598e+00
9.903786281858738221e+03,2.653354467202352573e+00
9.903786304755703895e+03,2.653354462674280878e+00
9.903786327652669570e+03,2.653354458145936512e+00
9.903786350549635245e+03,2.653354453617319919e+00
9.903786373446600919e+03,2.653354449088429323e+00
9.903786396343566594e+03,2.653354444559266501e+00
9.903786419240532268e+03,2.653354440029831451e+00
9.903786442137497943e+03,2.653354435500123287e+00
9.903786465034463617e+03,2.653354430970142452e+00
9.903786487931429292e+03,2.653354426439888503e+00
9.903786510828394967e+03,2.653354421909362770e+00
9.903786533725360641e+03,2.653354417378563479e+00
9.903786556622324497e+03,2.653354412847491961e+00
9.903786579519290171e+03,2.653354408316147772e+00
9.903786602416255846e+03,2.653354403784530469e+00
9.903786625313221521e+03,2.653354399252640494e+00
9.903786648210187195e+03,2.653354394720477849e+00
9.903786671107152870e+03,2.653354390188042977e+00
9.903786694004118544e+03,2.653354385655334990e+00
9.903786716901084219e+03,2.653354381122354333e+00
9.903786739798049894e+03,2.653354376589101449e+00
9.903786762695015568e+03,2.653354372055575450e+00
9.903786785591981243e+03,2.653354367521777224e+00
9.903786808488946917e+03,2.653354362987705439e+00
9.903786831385912592e+03,2.653354358453361872e+00
9.903786854282878267e+03,2.653354353918745634e+00
9.903786877179843941e+03,2.653354349383856281e+00
9.903786900076809616e+03,2.653354344848695145e+00
9.903786922973775290e+03,2.653354340313260451e+00
9.903786945870740965e+03,2.653354335777553530e+00
9.903786968767706639e+03,2.653354331241573938e+00
9.903786991664672314e+03,2.653354326705321675e+00
9.903787014561637989e+03,2.653354322168797186e+00
9.903787037458603663e+03,2.653354317632000026e+00
9.903787060355569338e+03,2.653354313094930195e+00
9.903787083252535012e+03,2.653354308557587693e+00
9.903787106149500687e+03,2.653354304019972520e+00
9.903787129046466362e+03,2.653354299482084677e+00
9.903787151943432036e+03,2.653354294943924607e+00
9.903787174840397711e+03,2.653354290405492311e+00
9.903787197737363385e+03,2.653354285866786455e+00
9.903787220634329060e+03,2.653354281327808817e+00
9.903787243531294735e+03,2.653354276788558508e+00
9.903787266428260409e+03,2.653354272249035972e+00
9.903787289325226084e+03,2.653354267709240322e+00
9.903787312222191758e+03,2.653354263169172444e+00
9.903787335119157433e+03,2.653354258628831897e+00
9.903787358016121289e+03,2.653354254088219566e+00
9.903787380913086963e+03,2.653354249547333676e+00
9.903787403810052638e+03,2.653354245006175560e+00
9.903787426707018312e+03,2.653354240464745661e+00
9.903787449603983987e+03,2.653354235923042648e+00
9.903787472500949661e+03,2.653354231381067407e+00
9.903787495397915336e+03,2.653354226838819496e+00
9.903787518294881011e+03,2.653354222296298914e+00
9.903787541191846685e+03,2.653354217753506106e+00
9.903787564088812360e+03,2.653354213210441070e+00
9.903787586985778034e+03,2.653354208667102920e+00
9.903787609882743709e+03,2.653354204123492988e+00
9.903787632779709384e+03,2.653354199579610384e+00
9.903787655676675058e+03,2.653354195035455554e+00
9.903787678573640733e+03,2.653354190491027609e+00
9.903787701470606407e+03,2.653354185946328325e+00
9.903787724367572082e+03,2.653354181401355483e+00
9.903787747264537757e+03,2.653354176856110858e+00
9.903787770161503431e+03,2.653354172310593562e+00
9.903787793058469106e+03,2.653354167764804483e+00
9.903787815955434780e+03,2.653354163218742734e+00
9.903787838852400455e+03,2.653354158672408314e+00
9.903787861749366130e+03,2.653354154125801223e+00
9.903787884646331804e+03,2.653354149578922350e+00
9.903787907543297479e+03,2.653354145031770805e+00
9.903787930440263153e+03,2.653354140484347035e+00
9.903787953337228828e+03,2.653354135936651037e+00
9.903787976234194502e+03,2.653354131388682369e+00
9.903787999131160177e+03,2.653354126840441918e+00
9.903788022028125852e+03,2.653354122291928796e+00
9.903788044925091526e+03,2.653354117743143004e+00
9.903788067822057201e+03,2.653354113194085429e+00
9.903788090719022875e+03,2.653354108644754739e+00
9.903788113615988550e+03,2.653354104095152710e+00
9.903788136512954225e+03,2.653354099545277567e+00
9.903788159409918080e+03,2.653354094995130641e+00
9.903788182306883755e+03,2.653354090444711488e+00
9.903788205203849429e+03,2.653354085894019665e+00
9.903788228100815104e+03,2.653354081343055615e+00
9.903788250997780779e+03,2.653354076791819338e+00
9.903788273894746453e+03,2.653354072240310835e+00
9.903788296791712128e+03,2.653354067688530105e+00
9.903788319688677802e+03,2.653354063136477148e+00
9.903788342585643477e+03,2.653354058584151520e+00
9.903788365482609152e+03,2.653354054031553666e+00
9.903788388379574826e+03,2.653354049478684029e+00
9.903788411276540501e+03,2.653354044925541722e+00
9.903788434173506175e+03,2.653354040372127631e+00
9.903788457070471850e+03,2.653354035818440870e+00
9.903788479967437524e+03,2.653354031264482327e+00
9.903788502864403199e+03,2.653354026710250668e+00
9.903788525761368874e+03,2.653354022155747671e+00
9.903788548658334548e+03,2.653354017600972448e+00
9.903788571555300223e+03,2.653354013045924553e+00
9.903788594452265897e+03,2.653354008490604876e+00
9.903788617349231572e+03,2.653354003935012528e+00
9.903788640246197247e+03,2.653353999379148398e+00
9.903788663143162921e+03,2.653353994823011597e+00
9.903788686040128596e+03,2.653353990266603013e+00
9.903788708937094270e+03,2.653353985709922647e+00
9.903788731834059945e+03,2.653353981152969610e+00
9.903788754731025620e+03,2.653353976595744790e+00
9.903788777627991294e+03,2.653353972038247299e+00
9.903788800524956969e+03,2.653353967480478026e+00
9.903788823421922643e+03,2.653353962922436526e+00
9.903788846318888318e+03,2.653353958364122800e+00
9.903788869215853993e+03,2.653353953805536847e+00
9.903788892112819667e+03,2.653353949246678667e+00
9.903788915009785342e+03,2.653353944687548704e+00
9.903788937906751016e+03,2.653353940128146515e+00
9.903788960803714872e+03,2.653353935568472544e+00
9.903788983700680546e+03,2.653353931008526345e+00
9.903789006597646221e+03,2.653353926448307920e+00
9.903789029494611896e+03,2.653353921887817268e+00
9.903789052391577570e+03,2.653353917327054390e+00
9.903789075288543245e+03,2.653353912766019729e+00
9.903789098185508919e+03,2.653353908204713285e+00
9.903789121082474594e+03,2.653353903643134171e+00
9.903789143979440269e+03,2.653353899081283274e+00
9.903789166876405943e+03,2.653353894519160150e+00
9.903789189773371618e+03,2.653353889956765244e+00
9.903789212670337292e+03,2.653353885394098555e+00
9.903789235567302967e+03,2.653353880831158751e+00
9.903789258464268642e+03,2.653353876267947609e+00
9.903789281361234316e+03,2.653353871704465128e+00
9.903789304258199991e+03,2.653353867140709532e+00
9.903789327155165665e+03,2.653353862576682598e+00
9.903789350052131340e+03,2.653353858012383437e+00
9.903789372949097014e+03,2.653353853447812050e+00
9.903789395846062689e+03,2.653353848882968880e+00
9.903789418743028364e+03,2.653353844317853927e+00
9.903789441639994038e+03,2.653353839752466747e+00
9.903789464536959713e+03,2.653353835186807341e+00
9.903789487433925387e+03,2.653353830620875708e+00
9.903789510330891062e+03,2.653353826054672737e+00
9.903789533227856737e+03,2.653353821488197539e+00
9.903789556124822411e+03,2.653353816921451003e+00
9.903789579021788086e+03,2.653353812354432240e+00
9.903789601918753760e+03,2.653353807787141250e+00
9.903789624815719435e+03,2.653353803219578033e+00
9.903789647712685110e+03,2.653353798651743478e+00
9.903789670609650784e+03,2.653353794083636696e+00
9.903789693506616459e+03,2.653353789515258132e+00
9.903789716403582133e+03,2.653353784946607785e+00
9.903789739300547808e+03,2.653353780377685212e+00
9.903789762197511664e+03,2.653353775808490855e+00
9.903789785094477338e+03,2.653353771239025161e+00
9.903789807991443013e+03,2.653353766669286351e+00
9.903789830888408687e+03,2.653353762099276203e+00
9.903789853785374362e+03,2.653353757528994716e+00
9.903789876682340036e+03,2.653353752958441003e+00
9.903789899579305711e+03,2.653353748387615063e+00
9.903789922476271386e+03,2.653353743816517785e+00
9.903789945373237060e+03,2.653353739245147835e+00
9.903789968270202735e+03,2.653353734673506992e+00
9.903789991167168409e+03,2.653353730101593921e+00
9.903790014064134084e+03,2.653353725529408624e+00
9.903790036961099759e+03,2.653353720956951989e+00
9.903790059858065433e+03,2.653353716384223571e+00
9.903790082755031108e+03,2.653353711811222926e+00
9.903790105651996782e+03,2.653353707237950498e+00
9.903790128548962457e+03,2.653353702664406732e+00
9.903790151445928132e+03,2.653353698090590740e+00
9.903790174342893806e+03,2.653353693516502965e+00
9.903790197239859481e+03,2.653353688942143407e+00
9.903790220136825155e+03,2.653353684367512066e+00
9.903790243033790830e+03,2.653353679792609388e+00
9.903790265930756505e+03,2.653353675217434482e+00
9.903790288827722179e+03,2.653353670641987794e+00
9.903790311724687854e+03,2.653353666066269323e+00
9.903790334621653528e+03,2.653353661490279514e+00
9.903790357518619203e+03,2.653353656914017478e+00
9.903790380415584877e+03,2.653353652337484103e+00
9.903790403312550552e+03,2.653353647760678502e+00
9.903790426209516227e+03,2.653353643183601562e+00
9.903790449106481901e+03,2.653353638606252396e+00
9.903790472003447576e+03,2.653353634028632335e+00
9.903790494900413250e+03,2.653353629450740048e+00
9.903790517797378925e+03,2.653353624872575534e+00
9.903790540694344600e+03,2.653353620294140125e+00
9.903790563591308455e+03,2.653353615715433378e+00
9.903790586488274130e+03,2.653353611136453960e+00
9.903790609385239804e+03,2.653353606557203648e+00
9.903790632282205479e+03,2.653353601977680665e+00
9.903790655179171154e+03,2.653353597397886343e+00
9.903790678076136828e+03,2.653353592817821127e+00
9.903790700973102503e+03,2.653353588237482796e+00
9.903790723870068177e+03,2.653353583656874015e+00
9.903790746767033852e+03,2.653353579075993451e+00
9.903790769663999527e+03,2.653353574494840661e+00
9.903790792560965201e+03,2.653353569913416532e+00
9.903790815457930876e+03,2.653353565331721065e+00
9.903790838354896550e+03,2.653353560749753814e+00
9.903790861251862225e+03,2.653353556167514338e+00
9.903790884148827899e+03,2.653353551585003522e+00
9.903790907045793574e+03,2.653353547002221369e+00
9.903790929942759249e+03,2.653353542419167432e+00
9.903790952839724923e+03,2.653353537835842157e+00
9.903790975736690598e+03,2.653353533252245100e+00
9.903790998633656272e+03,2.653353528668376704e+00
9.903791021530621947e+03,2.653353524084236081e+00
9.903791044427587622e+03,2.653353519499824120e+00
9.903791067324553296e+03,2.653353514915141265e+00
9.903791090221518971e+03,2.653353510330186182e+00
9.903791113118484645e+03,2.653353505744959318e+00
9.903791136015450320e+03,2.653353501159461114e+00
9.903791158912415995e+03,2.653353496573691572e+00
9.903791181809381669e+03,2.653353491987650692e+00
9.903791204706347344e+03,2.653353487401338029e+00
9.903791227603313018e+03,2.653353482814753583e+00
9.903791250500278693e+03,2.653353478227897355e+00
9.903791273397244368e+03,2.653353473640770677e+00
9.903791296294210042e+03,2.653353469053371327e+00
9.903791319191175717e+03,2.653353464465701084e+00
9.903791342088141391e+03,2.653353459877759057e+00
9.903791364985105247e+03,2.653353455289546581e+00
9.903791387882070921e+03,2.653353450701060989e+00
9.903791410779036596e+03,2.653353446112304947e+00
9.903791433676002271e+03,2.653353441523277123e+00
9.903791456572967945e+03,2.653353436933977960e+00
9.903791479469933620e+03,2.653353432344407015e+00
9.903791502366899294e+03,2.653353427754564731e+00
9.903791525263864969e+03,2.653353423164451108e+00
9.903791548160830644e+03,2.653353418574066147e+00
9.903791571057796318e+03,2.653353413983409403e+00
9.903791593954761993e+03,2.653353409392481321e+00
9.903791616851727667e+03,2.653353404801281457e+00
9.903791639748693342e+03,2.653353400209811142e+00
9.903791662645659017e+03,2.653353395618068600e+00
9.903791685542624691e+03,2.653353391026054720e+00
9.903791708439590366e+03,2.653353386433769501e+00
9.903791731336556040e+03,2.653353381841213388e+00
9.903791754233521715e+03,2.653353377248385492e+00
9.903791777130487390e+03,2.653353372655285813e+00
9.903791800027453064e+03,2.653353368061914797e+00
9.903791822924418739e+03,2.653353363468272885e+00
9.903791845821384413e+03,2.653353358874359635e+00
9.903791868718350088e+03,2.653353354280174159e+00
9.903791891615315762e+03,2.653353349685718232e+00
9.903791914512281437e+03,2.653353345090990523e+00
9.903791937409247112e+03,2.653353340495991475e+00
9.903791960306212786e+03,2.653353335900721088e+00
9.903791983203178461e+03,2.653353331305179363e+00
9.903792006100144135e+03,2.653353326709366744e+00
9.903792028997109810e+03,2.653353322113282342e+00
9.903792051894075485e+03,2.653353317516926602e+00
9.903792074791041159e+03,2.653353312920299079e+00
9.903792097688006834e+03,2.653353308323401105e+00
9.903792120584972508e+03,2.653353303726231349e+00
9.903792143481938183e+03,2.653353299128790255e+00
9.903792166378902039e+03,2.653353294531078710e+00
9.903792189275867713e+03,2.653353289933095382e+00
9.903792212172833388e+03,2.653353285334840272e+00
9.903792235069799062e+03,2.653353280736313824e+00
9.903792257966764737e+03,2.653353276137516925e+00
9.903792280863730412e+03,2.653353271538448244e+00
9.903792303760696086e+03,2.653353266939108224e+00
9.903792326657661761e+03,2.653353262339497309e+00
9.903792349554627435e+03,2.653353257739615056e+00
9.903792372451593110e+03,2.653353253139461021e+00
9.903792395348558784e+03,2.653353248539036535e+00
9.903792418245524459e+03,2.653353243938339823e+00
9.903792441142490134e+03,2.653353239337373104e+00
9.903792464039455808e+03,2.653353234736134159e+00
9.903792486936421483e+03,2.653353230134624763e+00
9.903792509833387157e+03,2.653353225532843584e+00
9.903792532730352832e+03,2.653353220930791068e+00
9.903792555627318507e+03,2.653353216328468100e+00
9.903792578524284181e+03,2.653353211725872907e+00
9.903792601421249856e+03,2.653353207123007707e+00
9.903792624318215530e+03,2.653353202519870724e+00
9.903792647215181205e+03,2.653353197916462403e+00
9.903792670112146880e+03,2.653353193312783187e+00
9.903792693009112554e+03,2.653353188708832633e+00
9.903792715906078229e+03,2.653353184104611184e+00
9.903792738803043903e+03,2.653353179500117953e+00
9.903792761700009578e+03,2.653353174895354272e+00
9.903792784596975252e+03,2.653353170290319252e+00
9.903792807493940927e+03,2.653353165685013337e+00
9.903792830390906602e+03,2.653353161079435640e+00
9.903792853287872276e+03,2.653353156473587493e+00
9.903792876184837951e+03,2.653353151867468007e+00
9.903792899081803625e+03,2.653353147261076739e+00
9.903792921978769300e+03,2.653353142654415020e+00
9.903792944875734975e+03,2.653353138047481963e+00
9.903792967772698830e+03,2.653353133440278899e+00
9.903792990669664505e+03,2.653353128832803165e+00
9.903793013566630179e+03,2.653353124225057424e+00
9.903793036463595854e+03,2.653353119617040345e+00
9.903793059360561529e+03,2.653353115008751928e+00
9.903793082257527203e+03,2.653353110400192616e+00
9.903793105154492878e+03,2.653353105791362410e+00
9.903793128051458552e+03,2.653353101182260421e+00
9.903793150948424227e+03,2.653353096572888425e+00
