Time (BJD_TBD - 2450000), L_b/L_star (ppm)
9.905197081066744431e+03,7.266159475617982935e+02
9.905197102396425180e+03,7.266393721889064636e+02
9.905197123726104110e+03,7.266627943329361869e+02
9.905197145055783039e+03,7.266862139957009958e+02
9.905197166385461969e+03,7.267096311770164903e+02
9.905197187715140899e+03,7.267330458766983838e+02
9.905197209044819829e+03,7.267564580945626176e+02
9.905197230374500577e+03,7.267798678324212460e+02
9.905197251704179507e+03,7.268032750860970737e+02
9.905197273033858437e+03,7.268266798574024961e+02
9.905197294363537367e+03,7.268500821461535679e+02
9.905197315693216296e+03,7.268734819521661166e+02
9.905197337022897045e+03,7.268968792772512870e+02
9.905197358352575975e+03,7.269202741172339302e+02
9.905197379682254905e+03,7.269436664739258731e+02
9.905197401011933835e+03,7.269670563471429432e+02
9.905197422341612764e+03,7.269904437367009677e+02
9.905197443671291694e+03,7.270138286424160015e+02
9.905197465000972443e+03,7.270372110660980525e+02
9.905197486330651373e+03,7.270605910035748138e+02
9.905197507660330302e+03,7.270839684566568621e+02
9.905197528990009232e+03,7.271073434251601384e+02
9.905197550319688162e+03,7.271307159089006973e+02
9.905197571649368911e+03,7.271540859096874101e+02
9.905197592979047840e+03,7.271774534233506984e+02
9.905197614308726770e+03,7.272008184516994334e+02
9.905197635638405700e+03,7.272241809945501245e+02
9.905197656968084630e+03,7.272475410517187129e+02
9.905197678297763559e+03,7.272708986230214805e+02
9.905197699627444308e+03,7.272942537102660481e+02
9.905197720957123238e+03,7.273176063092855657e+02
9.905197742286802168e+03,7.273409564218881087e+02
9.905197763616481097e+03,7.273643040478899593e+02
9.905197784946160027e+03,7.273876491871069447e+02
9.905197806275840776e+03,7.274109918413465721e+02
9.905197827605519706e+03,7.274343320064435829e+02
9.905197848935198635e+03,7.274576696842051433e+02
9.905197870264877565e+03,7.274810048744473079e+02
9.905197891594556495e+03,7.275043375769868135e+02
9.905197912924235425e+03,7.275276677916402832e+02
9.905197934253916173e+03,7.275509955202129504e+02
9.905197955583595103e+03,7.275743207585427399e+02
9.905197976913274033e+03,7.275976435084355671e+02
9.905197998242952963e+03,7.276209637697080552e+02
9.905198019572631893e+03,7.276442815421767136e+02
9.905198040902312641e+03,7.276675968276459798e+02
9.905198062231991571e+03,7.276909096219560524e+02
9.905198083561670501e+03,7.277142199269119374e+02
9.905198104891349431e+03,7.277375277423301441e+02
9.905198126221028360e+03,7.277608330680272957e+02
9.905198147550709109e+03,7.277841359058072612e+02
9.905198168880388039e+03,7.278074362515120583e+02
9.905198190210066969e+03,7.278307341069457834e+02
9.905198211539745898e+03,7.278540294719250596e+02
9.905198232869424828e+03,7.278773223462666238e+02
9.905198254199103758e+03,7.279006127297872126e+02
9.905198275528784507e+03,7.279239006242894447e+02
9.905198296858463436e+03,7.279471860256184073e+02
9.905198318188142366e+03,7.279704689355766050e+02
9.905198339517821296e+03,7.279937493539807747e+02
9.905198360847500226e+03,7.280170272806481080e+02
9.905198382177180974e+03,7.280403027173799728e+02
9.905198403506859904e+03,7.280635756600238437e+02
9.905198424836538834e+03,7.280868461103812024e+02
9.905198446166217764e+03,7.281101140682687856e+02
9.905198467495896693e+03,7.281333795335041259e+02
9.905198488825575623e+03,7.281566425059036192e+02
9.905198510155256372e+03,7.281799029872680649e+02
9.905198531484935302e+03,7.282031609734472113e+02
9.905198552814614231e+03,7.282264164662414032e+02
9.905198574144293161e+03,7.282496694654682869e+02
9.905198595473972091e+03,7.282729199709445993e+02
9.905198616803652840e+03,7.282961679844695482e+02
9.905198638133331769e+03,7.283194135018953830e+02
9.905198659463010699e+03,7.283426565250221074e+02
9.905198680792689629e+03,7.283658970536664583e+02
9.905198702122368559e+03,7.283891350876458546e+02
9.905198723452047489e+03,7.284123706267773741e+02
9.905198744781728237e+03,7.284356036728592017e+02
9.905198766111407167e+03,7.284588342217463151e+02
9.905198787441086097e+03,7.284820622752370127e+02
9.905198808770765027e+03,7.285052878331484862e+02
9.905198830100443956e+03,7.285285108952983819e+02
9.905198851430124705e+03,7.285517314634836339e+02
9.905198872759803635e+03,7.285749495335613801e+02
9.905198894089482565e+03,7.285981651073293506e+02
9.905198915419161494e+03,7.286213781846047368e+02
9.905198936748840424e+03,7.286445887652048441e+02
9.905198958078521173e+03,7.286677968509263792e+02
9.905198979408200103e+03,7.286910024376279580e+02
9.905199000737879032e+03,7.287142055271067420e+02
9.905199022067557962e+03,7.287374061191798091e+02
9.905199043397236892e+03,7.287606042136645783e+02
9.905199064726915822e+03,7.287837998103789232e+02
9.905199086056596570e+03,7.288069929111181864e+02
9.905199107386275500e+03,7.288301835117433711e+02
9.905199128715954430e+03,7.288533716140507295e+02
9.905199150045633360e+03,7.288765572178573393e+02
9.905199171375312289e+03,7.288997403229810743e+02
9.905199192704993038e+03,7.289229209312161402e+02
9.905199214034671968e+03,7.289460990384266097e+02
9.905199235364350898e+03,7.289692746464069160e+02
9.905199256694029827e+03,7.289924477549745916e+02
9.905199278023708757e+03,7.290156183639477376e+02
9.905199299353387687e+03,7.290387864731437730e+02
9.905199320683068436e+03,7.290619520843557666e+02
9.905199342012747366e+03,7.290851151934504060e+02
9.905199363342426295e+03,7.291082758022213284e+02
9.905199384672105225e+03,7.291314339104859528e+02
9.905199406001784155e+03,7.291545895180622665e+02
9.905199427331464904e+03,7.291777426267423152e+02
9.905199448661143833e+03,7.292008932323950603e+02
9.905199469990822763e+03,7.292240413368132295e+02
9.905199491320501693e+03,7.292471869398142417e+02
9.905199512650180623e+03,7.292703300412161980e+02
9.905199533979859552e+03,7.292934706408369721e+02
9.905199555309540301e+03,7.293166087404677000e+02
9.905199576639219231e+03,7.293397443359796171e+02
9.905199597968898161e+03,7.293628774291643140e+02
9.905199619298577090e+03,7.293860080198395508e+02
9.905199640628256020e+03,7.294091361078236559e+02
9.905199661957936769e+03,7.294322616949062876e+02
9.905199683287615699e+03,7.294553847769615231e+02
9.905199704617294628e+03,7.294785053557798165e+02
9.905199725946973558e+03,7.295016234311787002e+02
9.905199747276652488e+03,7.295247390029763892e+02
9.905199768606331418e+03,7.295478520709914392e+02
9.905199789936012166e+03,7.295709626370125989e+02
9.905199811265691096e+03,7.295940706969162193e+02
9.905199832595370026e+03,7.296171762524911628e+02
9.905199853925048956e+03,7.296402793035562127e+02
9.905199875254727885e+03,7.296633798499292425e+02
9.905199896584408634e+03,7.296864778933983189e+02
9.905199917914087564e+03,7.297095734298419529e+02
9.905199939243766494e+03,7.297326664610483249e+02
9.905199960573445424e+03,7.297557569868362179e+02
9.905199981903124353e+03,7.297788450070231647e+02
9.905200003232805102e+03,7.298019305233966634e+02
9.905200024562484032e+03,7.298250135318377261e+02
9.905200045892162962e+03,7.298480940341330552e+02
9.905200067221841891e+03,7.298711720301014338e+02
