Time (BJD_TBD - 2450000), F_c/F_star (ppm)
1.063802974726617686e+04,4.382424655100286941e+02
1.063802976910169309e+04,4.382488062455814770e+02
1.063802979093720933e+04,4.382551463237600728e+02
1.063802981277272738e+04,4.382614857450722070e+02
1.063802983460824362e+04,4.382678245084413788e+02
1.063802985644375985e+04,4.382741626143753138e+02
1.063802987827927791e+04,4.382805000633814529e+02
1.063802990011479415e+04,4.382868368543838642e+02
1.063802992195031038e+04,4.382931729878899318e+02
1.063802994378582844e+04,4.382995084644072676e+02
1.063802996562134467e+04,4.383058432828597688e+02
1.063802998745686091e+04,4.383121774437551039e+02
1.063803000929237896e+04,4.383185109476004300e+02
1.063803003112789520e+04,4.383248437933202126e+02
1.063803005296341325e+04,4.383311759819492863e+02
1.063803007479892949e+04,4.383375075124121736e+02
1.063803009663444573e+04,4.383438383852163156e+02
1.063803011846996378e+04,4.383501686008684715e+02
1.063803014030548002e+04,4.383564981582938458e+02
1.063803016214099625e+04,4.383628270579993682e+02
1.063803018397651431e+04,4.383691553004920252e+02
1.063803020581203054e+04,4.383754828846969076e+02
1.063803022764754678e+04,4.383818098111210588e+02
1.063803024948306484e+04,4.383881360802711811e+02
1.063803027131858107e+04,4.383944616910729337e+02
1.063803029315409731e+04,4.384007866440330190e+02
1.063803031498961536e+04,4.384071109396580255e+02
1.063803033682513160e+04,4.384134345768738399e+02
1.063803035866064965e+04,4.384197575567138188e+02
1.063803038049616589e+04,4.384260798781042467e+02
1.063803040233168213e+04,4.384324015415515419e+02
1.063803042416720018e+04,4.384387225475619516e+02
1.063803044600271642e+04,4.384450428950621017e+02
1.063803046783823265e+04,4.384513625845582396e+02
1.063803048967375071e+04,4.384576816165564992e+02
1.063803051150926694e+04,4.384639999899837903e+02
1.063803053334478318e+04,4.384703177053463037e+02
1.063803055518030123e+04,4.384766347631498888e+02
1.063803057701581747e+04,4.384829511623218536e+02
1.063803059885133371e+04,4.384892669033681045e+02
1.063803062068685176e+04,4.384955819867944911e+02
1.063803064252236800e+04,4.385018964115287190e+02
1.063803066435788605e+04,4.385082101786024396e+02
1.063803068619340229e+04,4.385145232869434153e+02
1.063803070802891853e+04,4.385208357370573822e+02
1.063803072986443658e+04,4.385271475294499623e+02
1.063803075169995282e+04,4.385334586630492026e+02
1.063803077353546905e+04,4.385397691383607253e+02
1.063803079537098711e+04,4.385460789558898682e+02
1.063803081720650334e+04,4.385523881145650762e+02
1.063803083904201958e+04,4.385586966148918009e+02
1.063803086087753763e+04,4.385650044573752098e+02
1.063803088271305387e+04,4.385713116409442591e+02
1.063803090454857011e+04,4.385776181661040027e+02
1.063803092638408816e+04,4.385839240333596081e+02
1.063803094821960440e+04,4.385902292416402020e+02
1.063803097005512245e+04,4.385965337919759577e+02
1.063803099189063869e+04,4.386028376832964000e+02
1.063803101372615492e+04,4.386091409161064121e+02
1.063803103556167298e+04,4.386154434909107636e+02
1.063803105739718922e+04,4.386217454066393202e+02
1.063803107923270545e+04,4.386280466637967379e+02
1.063803110106822351e+04,4.386343472628876725e+02
1.063803112290373974e+04,4.386406472028422741e+02
1.063803114473925598e+04,4.386469464841650279e+02
1.063803116657477403e+04,4.386532451073605898e+02
1.063803118841029027e+04,4.386595430713592236e+02
1.063803121024580651e+04,4.386658403766655283e+02
1.063803123208132456e+04,4.386721370237836481e+02
1.063803125391684080e+04,4.386784330116444721e+02
1.063803127575235885e+04,4.386847283412766387e+02
1.063803129758787509e+04,4.386910230116112075e+02
1.063803131942339132e+04,4.386973170231524364e+02
1.063803134125890938e+04,4.387036103764041286e+02
1.063803136309442561e+04,4.387099030702978553e+02
1.063803138492994185e+04,4.387161951053374764e+02
1.063803140676545991e+04,4.387224864820270795e+02
1.063803142860097614e+04,4.387287771992980652e+02
1.063803145043649238e+04,4.387350672576545776e+02
1.063803147227201043e+04,4.387413566576001358e+02
1.063803149410752667e+04,4.387476453980668794e+02
1.063803151594304290e+04,4.387539334795584978e+02
1.063803153777856096e+04,4.387602209025784532e+02
1.063803155961407720e+04,4.387665076660591694e+02
1.063803158144959525e+04,4.387727937710278638e+02
1.063803160328511149e+04,4.387790792164170171e+02
1.063803162512062772e+04,4.387853640027302049e+02
1.063803164695614578e+04,4.387916481304706622e+02
1.063803166879166201e+04,4.387979315985712674e+02
1.063803169062717825e+04,4.388042144075353690e+02
1.063803171246269631e+04,4.388104965578659744e+02
1.063803173429821254e+04,4.388167780484965306e+02
1.063803175613372878e+04,4.388230588799300449e+02
1.063803177796924683e+04,4.388293390526695816e+02
1.063803179980476307e+04,4.388356185656485877e+02
1.063803182164027930e+04,4.388418974193701274e+02
1.063803184347579736e+04,4.388481756143369807e+02
1.063803186531131360e+04,4.388544531494831062e+02
1.063803188714683165e+04,4.388607300258341866e+02
1.063803190898234789e+04,4.388670062423242371e+02
1.063803193081786412e+04,4.388732817994561515e+02
1.063803195265338218e+04,4.388795566977323119e+02
1.063803197448889841e+04,4.388858309360874159e+02
1.063803199632441465e+04,4.388921045150238456e+02
1.063803201815993270e+04,4.388983774350440399e+02
1.063803203999544894e+04,4.389046496950828100e+02
1.063803206183096518e+04,4.389109212956425949e+02
1.063803208366648323e+04,4.389171922372255494e+02
1.063803210550199947e+04,4.389234625187668257e+02
1.063803212733751570e+04,4.389297321407687491e+02
1.063803214917303376e+04,4.389360011037334175e+02
1.063803217100854999e+04,4.389422694065961537e+02
1.063803219284406623e+04,4.389485370498591692e+02
1.063803221467958429e+04,4.389548040340243915e+02
1.063803223651510052e+04,4.389610703580274844e+02
1.063803225835061858e+04,4.389673360228924821e+02
1.063803228018613481e+04,4.389736010275553326e+02
1.063803230202165105e+04,4.389798653725177928e+02
1.063803232385716910e+04,4.389861290582817333e+02
1.063803234569268534e+04,4.389923920837832725e+02
1.063803236752820158e+04,4.389986544495242811e+02
1.063803238936371963e+04,4.390049161560061748e+02
1.063803241119923587e+04,4.390111772021656407e+02
1.063803243303475210e+04,4.390174375885041513e+02
1.063803245487027016e+04,4.390236973155232363e+02
1.063803247670578639e+04,4.390299563821596962e+02
1.063803249854130263e+04,4.390362147889150606e+02
1.063803252037682068e+04,4.390424725362903473e+02
1.063803254221233692e+04,4.390487296232230392e+02
1.063803256404785498e+04,4.390549860507355220e+02
1.063803258588337121e+04,4.390612418177652216e+02
1.063803260771888745e+04,4.390674969248134403e+02
1.063803262955440550e+04,4.390737513723810252e+02
1.063803265138992174e+04,4.390800051594058004e+02
1.063803267322543797e+04,4.390862582863888406e+02
1.063803269506095603e+04,4.390925107538309362e+02
1.063803271689647227e+04,4.390987625606701386e+02
1.063803273873198850e+04,4.391050137074074087e+02
1.063803276056750656e+04,4.391112641945432529e+02
1.063803278240302279e+04,4.391175140210163477e+02
1.063803280423853903e+04,4.391237631873271994e+02
1.063803282607405708e+04,4.391300116939764848e+02
1.063803284790957332e+04,4.391362595399028805e+02
1.063803286974509138e+04,4.391425067261272943e+02
1.063803289158060761e+04,4.391487532515889711e+02
1.063803291341612385e+04,4.391549991167881899e+02
1.063803293525164190e+04,4.391612443222252864e+02
1.063803295708715814e+04,4.391674888668394487e+02
1.063803297892267437e+04,4.391737327511312401e+02
1.063803300075819243e+04,4.391799759756003709e+02
1.063803302259370867e+04,4.391862185391868252e+02
1.063803304442922490e+04,4.391924604423906544e+02
1.063803306626474296e+04,4.391987016857117396e+02
