Time (BJD_TBD - 2450000), F_e/F_star (ppm)
1.014096944313284621e+04,8.546759037462871333e+01
1.014096946197963734e+04,8.546647372172303392e+01
1.014096948082643030e+04,8.546535705989785470e+01
1.014096949967322143e+04,8.546424038936916645e+01
1.014096951852001439e+04,8.546312370992171736e+01
1.014096953736680553e+04,8.546200702177162611e+01
1.014096955621359848e+04,8.546089032470365510e+01
1.014096957506038962e+04,8.545977361893383772e+01
1.014096959390718257e+04,8.545865690424700745e+01
1.014096961275397371e+04,8.545754018085919768e+01
1.014096963160076666e+04,8.545642344855519923e+01
1.014096965044755962e+04,8.545530670744325619e+01
1.014096966929435075e+04,8.545418995763157000e+01
1.014096968814114371e+04,8.545307319890494568e+01
1.014096970698793484e+04,8.545195643147944509e+01
1.014096972583472780e+04,8.545083965513985902e+01
1.014096974468151893e+04,8.544972287010222090e+01
1.014096976352831189e+04,8.544860607615137837e+01
1.014096978237510302e+04,8.544748927350327961e+01
1.014096980122189598e+04,8.544637246194285751e+01
1.014096982006868711e+04,8.544525564168601761e+01
1.014096983891548007e+04,8.544413881251763598e+01
1.014096985776227120e+04,8.544302197465373183e+01
1.014096987660906416e+04,8.544190512787911018e+01
1.014096989545585529e+04,8.544078827240981866e+01
1.014096991430264825e+04,8.543967140803067650e+01
1.014096993314943938e+04,8.543855453495764607e+01
1.014096995199623234e+04,8.543743765297564607e+01
1.014096997084302348e+04,8.543632076230063888e+01
1.014096998968981643e+04,8.543520386271742950e+01
1.014097000853660757e+04,8.543408695444205136e+01
1.014097002738340052e+04,8.543297003725933791e+01
1.014097004623019347e+04,8.543185311127753323e+01
1.014097006507698461e+04,8.543073617660481034e+01
1.014097008392377757e+04,8.542961923302601690e+01
1.014097010277056870e+04,8.542850228075717212e+01
1.014097012161736166e+04,8.542738531958310944e+01
1.014097014046415279e+04,8.542626834971980543e+01
1.014097015931094575e+04,8.542515137095213618e+01
1.014097017815773688e+04,8.542403438349607825e+01
1.014097019700452984e+04,8.542291738713646509e+01
1.014097021585132097e+04,8.542180038208934434e+01
1.014097023469811393e+04,8.542068336813950680e+01
1.014097025354490506e+04,8.541956634550297167e+01
1.014097027239169802e+04,8.541844931396461504e+01
1.014097029123848915e+04,8.541733227374039927e+01
1.014097031008528211e+04,8.541621522461511518e+01
1.014097032893207324e+04,8.541509816680488143e+01
1.014097034777886620e+04,8.541398110009440359e+01
1.014097036662565733e+04,8.541286402469982875e+01
1.014097038547245029e+04,8.541174694040589088e+01
1.014097040431924142e+04,8.541062984742862341e+01
1.014097042316603438e+04,8.540951274555287398e+01
1.014097044201282552e+04,8.540839563499469023e+01
1.014097046085961847e+04,8.540727851553877770e+01
1.014097047970641142e+04,8.540616138729343731e+01
1.014097049855320256e+04,8.540504425036692737e+01
1.014097051739999552e+04,8.540392710454401026e+01
1.014097053624678665e+04,8.540280995004069098e+01
1.014097055509357961e+04,8.540169278664185981e+01
1.014097057394037074e+04,8.540057561456350754e+01
1.014097059278716370e+04,8.539945843359042499e+01
1.014097061163395483e+04,8.539834124393864556e+01
1.014097063048074779e+04,8.539722404539303113e+01
1.014097064932753892e+04,8.539610683816955827e+01
1.014097066817433188e+04,8.539498962205304622e+01
1.014097068702112301e+04,8.539387239725957102e+01
1.014097070586791597e+04,8.539275516357388085e+01
1.014097072471470710e+04,8.539163792121203755e+01
1.014097074356150006e+04,8.539052066995888879e+01
1.014097076240829119e+04,8.538940341003039691e+01
