Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.891602090933803993e+03,1.214978193187628897e+01
9.891602113826140339e+03,1.214967210540708287e+01
9.891602136718474867e+03,1.214956227908614039e+01
9.891602159610811213e+03,1.214945245289603193e+01
9.891602182503145741e+03,1.214934262685421018e+01
9.891602205395482088e+03,1.214923280094322244e+01
9.891602228287816615e+03,1.214912297518053563e+01
9.891602251180152962e+03,1.214901314954869882e+01
9.891602274072489308e+03,1.214890332405645168e+01
9.891602296964823836e+03,1.214879349871252145e+01
9.891602319857160182e+03,1.214868367349946787e+01
9.891602342749494710e+03,1.214857384843473831e+01
9.891602365641831057e+03,1.214846402350089427e+01
9.891602388534165584e+03,1.214835419871539379e+01
9.891602411426501931e+03,1.214824437406078772e+01
9.891602434318836458e+03,1.214813454955454475e+01
9.891602457211172805e+03,1.214802472517920506e+01
9.891602480103509151e+03,1.214791490094352255e+01
9.891602502995843679e+03,1.214780507685620847e+01
9.891602525888180026e+03,1.214769525289982077e+01
9.891602548780514553e+03,1.214758542909182282e+01
9.891602571672850900e+03,1.214747560541476545e+01
9.891602594565185427e+03,1.214736578188611382e+01
9.891602617457521774e+03,1.214725595848841344e+01
9.891602640349856301e+03,1.214714613523913123e+01
9.891602663242192648e+03,1.214703631212082158e+01
9.891602686134527175e+03,1.214692648915093720e+01
9.891602709026863522e+03,1.214681666631202894e+01
9.891602731919199869e+03,1.214670684361284181e+01
9.891602754811534396e+03,1.214659702106209949e+01
9.891602777703870743e+03,1.214648719864235460e+01
9.891602800596205270e+03,1.214637737637107229e+01
9.891602823488541617e+03,1.214626755423079985e+01
9.891602846380876144e+03,1.214615773223900597e+01
9.891602869273212491e+03,1.214604791037823794e+01
9.891602892165547019e+03,1.214593808866594848e+01
9.891602915057883365e+03,1.214582826708471330e+01
9.891602937950219712e+03,1.214571844564323655e+01
9.891602960842554239e+03,1.214560862435027211e+01
9.891602983734890586e+03,1.214549880318836017e+01
9.891603006627225113e+03,1.214538898217497120e+01
9.891603029519561460e+03,1.214527916129265606e+01
9.891603052411895987e+03,1.214516934055886210e+01
9.891603075304232334e+03,1.214505951995616329e+01
9.891603098196566862e+03,1.214494969950200343e+01
9.891603121088903208e+03,1.214483987917894403e+01
9.891603143981239555e+03,1.214473005899571056e+01
9.891603166873574082e+03,1.214462023896104270e+01
9.891603189765910429e+03,1.214451041905748774e+01
9.891603212658244956e+03,1.214440059930251259e+01
9.891603235550581303e+03,1.214429077967866988e+01
9.891603258442915831e+03,1.214418096020340698e+01
9.891603281335252177e+03,1.214407114085929784e+01
9.891603304227586705e+03,1.214396132166378628e+01
9.891603327119923051e+03,1.214385150259943380e+01
9.891603350012257579e+03,1.214374168368369133e+01
9.891603372904593925e+03,1.214363186489911506e+01
