Time (BJD_TBD - 2450000), L_total/L_star (ppm)
1.013196377323974230e+04,1.412141751605668105e+03
1.013196379401149534e+04,1.412149512973814581e+03
1.013196381478324838e+04,1.412157270792306917e+03
1.013196383555500324e+04,1.412165025061781535e+03
1.013196385632675629e+04,1.412172775780837128e+03
1.013196387709850933e+04,1.412180522950110799e+03
1.013196389787026237e+04,1.412188266569558436e+03
1.013196391864201541e+04,1.412196006639138204e+03
1.013196393941376846e+04,1.412203743158807583e+03
1.013196396018552150e+04,1.412211476128523145e+03
1.013196398095727454e+04,1.412219205548242599e+03
1.013196400172902759e+04,1.412226931417923424e+03
1.013196402250078063e+04,1.412234653737522422e+03
1.013196404327253367e+04,1.412242372506997299e+03
1.013196406404428672e+04,1.412250087726305765e+03
1.013196408481603976e+04,1.412257799395404163e+03
1.013196410558779280e+04,1.412265507514251340e+03
1.013196412635954584e+04,1.412273212082803866e+03
1.013196414713129889e+04,1.412280913101019905e+03
1.013196416790305193e+04,1.412288610568855574e+03
1.013196418867480497e+04,1.412296304486270401e+03
1.013196420944655802e+04,1.412303994853220729e+03
1.013196423021831106e+04,1.412311681669663812e+03
1.013196425099006410e+04,1.412319364935558269e+03
1.013196427176181714e+04,1.412327044650861353e+03
1.013196429253357019e+04,1.412334720815530318e+03
1.013196431330532323e+04,1.412342393429523781e+03
1.013196433407707627e+04,1.412350062492798315e+03
1.013196435484882932e+04,1.412357728005312765e+03
1.013196437562058236e+04,1.412365389967023475e+03
1.013196439639233540e+04,1.412373048377889972e+03
1.013196441716408845e+04,1.412380703237869056e+03
1.013196443793584149e+04,1.412388354546918436e+03
1.013196445870759453e+04,1.412396002304996273e+03
1.013196447947934939e+04,1.412403646512729892e+03
1.013196450025110244e+04,1.412411287168737772e+03
1.013196452102285548e+04,1.412418924273648372e+03
1.013196454179460852e+04,1.412426557827418492e+03
1.013196456256636156e+04,1.412434187830007204e+03
1.013196458333811461e+04,1.412441814281371762e+03
1.013196460410986765e+04,1.412449437181470330e+03
1.013196462488162069e+04,1.412457056530261525e+03
1.013196464565337374e+04,1.412464672327702829e+03
1.013196466642512678e+04,1.412472284573752404e+03
1.013196468719687982e+04,1.412479893268368642e+03
1.013196470796863287e+04,1.412487498411509478e+03
1.013196472874038591e+04,1.412495100003132848e+03
1.013196474951213895e+04,1.412502698043197597e+03
1.013196477028389199e+04,1.412510292531661662e+03
1.013196479105564504e+04,1.412517883468483433e+03
1.013196481182739808e+04,1.412525470853620618e+03
1.013196483259915112e+04,1.412533054687031836e+03
1.013196485337090417e+04,1.412540634968675704e+03
1.013196487414265721e+04,1.412548211698510386e+03
1.013196489491441025e+04,1.412555784876493817e+03
1.013196491568616329e+04,1.412563354502585298e+03
1.013196493645791634e+04,1.412570920576742310e+03
1.013196495722966938e+04,1.412578483098924153e+03
1.013196497800142242e+04,1.412586042069088535e+03
1.013196499877317547e+04,1.412593597487194302e+03
1.013196501954492851e+04,1.412601149353200299e+03
1.013196504031668155e+04,1.412608697667064007e+03
1.013196506108843460e+04,1.412616242428745636e+03
1.013196508186018764e+04,1.412623783638202440e+03
1.013196510263194068e+04,1.412631321295393263e+03
1.013196512340369372e+04,1.412638855400277180e+03
1.013196514417544859e+04,1.412646385953471736e+03
1.013196516494720163e+04,1.412653912953617237e+03
1.013196518571895467e+04,1.412661436401331457e+03
1.013196520649070771e+04,1.412668956296573469e+03
1.013196522726246076e+04,1.412676472639301892e+03
1.013196524803421380e+04,1.412683985429475115e+03
1.013196526880596684e+04,1.412691494667052666e+03
1.013196528957771989e+04,1.412699000351993163e+03
1.013196531034947293e+04,1.412706502484255225e+03
1.013196533112122597e+04,1.412714001063798150e+03
1.013196535189297902e+04,1.412721496090580331e+03
1.013196537266473206e+04,1.412728987564561066e+03
1.013196539343648510e+04,1.412736475485698975e+03
1.013196541420823814e+04,1.412743959853953811e+03
1.013196543497999119e+04,1.412751440669282829e+03
1.013196545575174423e+04,1.412758917931647602e+03
1.013196547652349727e+04,1.412766391641005612e+03
1.013196549729525032e+04,1.412773861797315931e+03
1.013196551806700336e+04,1.412781328400537859e+03
1.013196553883875640e+04,1.412788791450630697e+03
1.013196555961050944e+04,1.412796250947553972e+03
1.013196558038226249e+04,1.412803706891265165e+03
1.013196560115401553e+04,1.412811159281725622e+03
1.013196562192576857e+04,1.412818608118893962e+03
1.013196564269752162e+04,1.412826053402728348e+03
1.013196566346927466e+04,1.412833495133188990e+03
1.013196568424102770e+04,1.412840933310235187e+03
1.013196570501278075e+04,1.412848367933826012e+03
1.013196572578453379e+04,1.412855799003920993e+03
1.013196574655628683e+04,1.412863226520479429e+03
1.013196576732803987e+04,1.412870650483460395e+03
1.013196578809979474e+04,1.412878070893473478e+03
1.013196580887154778e+04,1.412885487749178310e+03
1.013196582964330082e+04,1.412892901051184253e+03
1.013196585041505386e+04,1.412900310799451290e+03
1.013196587118680691e+04,1.412907716993937584e+03
1.013196589195855995e+04,1.412915119634604480e+03
1.013196591273031299e+04,1.412922518721409688e+03
1.013196593350206604e+04,1.412929914254315236e+03
1.013196595427381908e+04,1.412937306233278605e+03
1.013196597504557212e+04,1.412944694658259550e+03
1.013196599581732517e+04,1.412952079529218736e+03
1.013196601658907821e+04,1.412959460846115462e+03
1.013196603736083125e+04,1.412966838608909939e+03
1.013196605813258429e+04,1.412974212817560556e+03
1.013196607890433734e+04,1.412981583472027978e+03
1.013196609967609038e+04,1.412988950572272415e+03
1.013196612044784342e+04,1.412996314118252940e+03
1.013196614121959647e+04,1.413003674109929534e+03
1.013196616199134951e+04,1.413011030547261953e+03
1.013196618276310255e+04,1.413018383430210633e+03
1.013196620353485559e+04,1.413025732758734875e+03
1.013196622430660864e+04,1.413033078532795116e+03
1.013196624507836168e+04,1.413040420752351110e+03
1.013196626585011472e+04,1.413047759417362840e+03
1.013196628662186777e+04,1.413055094527790061e+03
1.013196630739362081e+04,1.413062426083592982e+03
1.013196632816537385e+04,1.413069754084731585e+03
1.013196634893712690e+04,1.413077078531166308e+03
1.013196636970887994e+04,1.413084399422856904e+03
1.013196639048063298e+04,1.413091716759763585e+03
1.013196641125238602e+04,1.413099030541847014e+03
1.013196643202414089e+04,1.413106340769706321e+03
1.013196645279589393e+04,1.413113647442022057e+03
1.013196647356764697e+04,1.413120950559394714e+03
1.013196649433940001e+04,1.413128250121784731e+03
1.013196651511115306e+04,1.413135546129151635e+03
1.013196653588290610e+04,1.413142838581456544e+03
1.013196655665465914e+04,1.413150127478659670e+03
1.013196657742641219e+04,1.413157412820720765e+03
1.013196659819816523e+04,1.413164694607600723e+03
1.013196661896991827e+04,1.413171972839260206e+03
1.013196663974167132e+04,1.413179247515658972e+03
1.013196666051342436e+04,1.413186518636757455e+03
1.013196668128517740e+04,1.413193786202516776e+03
1.013196670205693044e+04,1.413201050212897144e+03
1.013196672282868349e+04,1.413208310667858996e+03
1.013196674360043653e+04,1.413215567567362541e+03
1.013196676437218957e+04,1.413222820911369126e+03
1.013196678514394262e+04,1.413230070699838734e+03
1.013196680591569566e+04,1.413237316932732483e+03
1.013196682668744870e+04,1.413244559610009674e+03
1.013196684745920174e+04,1.413251798731633471e+03
1.013196686823095479e+04,1.413259034297562266e+03
1.013196688900270783e+04,1.413266266307757633e+03
1.013196690977446087e+04,1.413273494762180462e+03
1.013196693054621392e+04,1.413280719660791419e+03
1.013196695131796696e+04,1.413287941003551168e+03
1.013196697208972000e+04,1.413295158790420146e+03
1.013196699286147305e+04,1.413302373021360154e+03
1.013196701363322609e+04,1.413309583696331629e+03
1.013196703440497913e+04,1.413316790815294780e+03
1.013196705517673217e+04,1.413323994378211410e+03
1.013196707594848704e+04,1.413331194385672461e+03
1.013196709672024008e+04,1.413338390836377584e+03
1.013196711749199312e+04,1.413345583730919088e+03
1.013196713826374616e+04,1.413352773069257410e+03
1.013196715903549921e+04,1.413359958851354349e+03
1.013196717980725225e+04,1.413367141077170118e+03
1.013196720057900529e+04,1.413374319746665606e+03
1.013196722135075834e+04,1.413381494859803070e+03
1.013196724212251138e+04,1.413388666416542719e+03
