Time (BJD_TBD - 2450000), F_h/F_star (ppm)
9.896133376244033570e+03,9.485271036243939080e-02
9.896133399100486713e+03,9.486583034905976541e-02
9.896133421956938037e+03,9.487895123917193529e-02
9.896133444813391179e+03,9.489207303486206502e-02
9.896133467669842503e+03,9.490519573404224141e-02
9.896133490526295645e+03,9.491831933879693595e-02
9.896133513382746969e+03,9.493144384704169103e-02
9.896133536239200112e+03,9.494456926086093651e-02
9.896133559095651435e+03,9.495769557816680084e-02
9.896133581952104578e+03,9.497082280104544860e-02
9.896133604808557720e+03,9.498395092845464405e-02
9.896133627665009044e+03,9.499707995934700278e-02
9.896133650521462187e+03,9.501020989581041021e-02
9.896133673377913510e+03,9.502334073575526008e-02
9.896133696234366653e+03,9.503647248127287950e-02
9.896133719090817976e+03,9.504960513026848579e-02
9.896133741947271119e+03,9.506273868483341993e-02
9.896133764803722443e+03,9.507587314287806179e-02
9.896133787660175585e+03,9.508900850648857594e-02
9.896133810516626909e+03,9.510214477357707696e-02
9.896133833373080051e+03,9.511528194623145027e-02
9.896133856229533194e+03,9.512842002340775316e-02
9.896133879085984518e+03,9.514155900405686650e-02
9.896133901942437660e+03,9.515469889027011741e-02
9.896133924798888984e+03,9.516783967995619264e-02
9.896133947655342126e+03,9.518098137520640545e-02
9.896133970511793450e+03,9.519412397392598701e-02
9.896133993368246593e+03,9.520726747820625058e-02
9.896134016224697916e+03,9.522041188595760375e-02
9.896134039081151059e+03,9.523355719926793195e-02
9.896134061937602382e+03,9.524670341604589419e-02
9.896134084794055525e+03,9.525985053838281758e-02
9.896134107650506849e+03,9.527299856418565416e-02
9.896134130506959991e+03,9.528614749554573105e-02
9.896134153363413134e+03,9.529929733141566384e-02
9.896134176219864457e+03,9.531244807074977510e-02
9.896134199076317600e+03,9.532559971563768497e-02
9.896134221932768924e+03,9.533875226398805247e-02
9.896134244789222066e+03,9.535190571789392555e-02
9.896134267645673390e+03,9.536506007525709372e-02
9.896134290502126532e+03,9.537821533817404662e-02
9.896134313358577856e+03,9.539137150454828074e-02
9.896134336215030999e+03,9.540452857647459262e-02
9.896134359071482322e+03,9.541768655185645098e-02
9.896134381927935465e+03,9.543084543278865239e-02
9.896134404784388607e+03,9.544400521822207772e-02
9.896134427640839931e+03,9.545716590711106342e-02
9.896134450497293074e+03,9.547032750154520186e-02
9.896134473353744397e+03,9.548348999943317983e-02
9.896134496210197540e+03,9.549665340286804527e-02
9.896134519066648863e+03,9.550981770975155993e-02
9.896134541923102006e+03,9.552298292218197595e-02
9.896134564779553330e+03,9.553614903805930647e-02
9.896134587636006472e+03,9.554931605948181750e-02
9.896134610492457796e+03,9.556248398434952218e-02
9.896134633348910938e+03,9.557565281476065877e-02
9.896134656205364081e+03,9.558882254966440117e-02
9.896134679061815405e+03,9.560199318801335111e-02
9.896134701918268547e+03,9.561516473190227738e-02
9.896134724774719871e+03,9.562833717923469035e-02
9.896134747631173013e+03,9.564151053210535880e-02
9.896134770487624337e+03,9.565468478841605837e-02
9.896134793344077480e+03,9.566785995026501344e-02
9.896134816200528803e+03,9.568103601555399962e-02
9.896134839056981946e+03,9.569421298637779960e-02
9.896134861913433269e+03,9.570739086063989598e-02
9.896134884769886412e+03,9.572056964043508531e-02
9.896134907626339555e+03,9.573374932471769017e-02
9.896134930482790878e+03,9.574692991243341500e-02
9.896134953339244021e+03,9.576011140568223279e-02
9.896134976195695344e+03,9.577329380236589140e-02
9.896134999052148487e+03,9.578647710457918740e-02
9.896135021908599811e+03,9.579966131022389642e-02
9.896135044765052953e+03,9.581284642139822894e-02
9.896135067621504277e+03,9.582603243600396059e-02
9.896135090477957419e+03,9.583921935613759491e-02
9.896135113334408743e+03,9.585240717969918667e-02
9.896135136190861886e+03,9.586559590878696024e-02
9.896135159047313209e+03,9.587878554130267739e-02
9.896135181903766352e+03,9.589197607934285550e-02
9.896135204760219494e+03,9.590516752185837546e-02
9.896135227616670818e+03,9.591835986779839729e-02
9.896135250473123961e+03,9.593155311926114537e-02
9.896135273329575284e+03,9.594474727414666060e-02
9.896135296186028427e+03,9.595794233455491595e-02
9.896135319042479750e+03,9.597113829838248289e-02
9.896135341898932893e+03,9.598433516773106911e-02
9.896135364755384217e+03,9.599753294050068775e-02
9.896135387611837359e+03,9.601073161878787010e-02
9.896135410468288683e+03,9.602393120049265707e-02
9.896135433324741825e+03,9.603713168771325914e-02
9.896135456181194968e+03,9.605033307940230580e-02
9.896135479037646292e+03,9.606353537450722235e-02
9.896135501894099434e+03,9.607673857512623317e-02
9.896135524750550758e+03,9.608994267915767218e-02
9.896135547607003900e+03,9.610314768870494018e-02
9.896135570463455224e+03,9.611635360166290165e-02
9.896135593319908367e+03,9.612956042013325042e-02
9.896135616176359690e+03,9.614276814201427879e-02
9.896135639032812833e+03,9.615597676940769445e-02
9.896135661889264156e+03,9.616918630020834802e-02
9.896135684745717299e+03,9.618239673651793331e-02
9.896135707602170442e+03,9.619560807728733121e-02
9.896135730458621765e+03,9.620882032146051144e-02
9.896135753315074908e+03,9.622203347114262340e-02
9.896135776171526231e+03,9.623524752422853157e-02
9.896135799027979374e+03,9.624846248282163674e-02
9.896135821884430698e+03,9.626167834481508256e-02
9.896135844740883840e+03,9.627489511231400454e-02
9.896135867597335164e+03,9.628811278321500189e-02
9.896135890453788306e+03,9.630133135961801982e-02
9.896135913310239630e+03,9.631455083942137840e-02
9.896135936166692773e+03,9.632777122472675757e-02
9.896135959023145915e+03,9.634099251447987566e-02
