Time (BJD_TBD - 2450000), F_star + F_d (mJy)
9.896255658263902660e+03,3.604362387656690370e+00
9.896255681120355803e+03,3.604362379133729810e+00
9.896255703976807126e+03,3.604362370610721733e+00
9.896255726833260269e+03,3.604362362087666138e+00
9.896255749689711593e+03,3.604362353564563914e+00
9.896255772546164735e+03,3.604362345041412841e+00
9.896255795402616059e+03,3.604362336518215137e+00
9.896255818259069201e+03,3.604362327994969029e+00
9.896255841115520525e+03,3.604362319471676290e+00
9.896255863971973668e+03,3.604362310948335590e+00
9.896255886828424991e+03,3.604362302424947373e+00
9.896255909684878134e+03,3.604362293901511638e+00
9.896255932541331276e+03,3.604362285378028385e+00
9.896255955397782600e+03,3.604362276854498059e+00
9.896255978254235742e+03,3.604362268330919772e+00
9.896256001110687066e+03,3.604362259807294855e+00
9.896256023967140209e+03,3.604362251283621976e+00
9.896256046823591532e+03,3.604362242759902024e+00
9.896256069680044675e+03,3.604362234236133666e+00
9.896256092536495999e+03,3.604362225712318679e+00
9.896256115392949141e+03,3.604362217188456174e+00
9.896256138249400465e+03,3.604362208664546152e+00
9.896256161105853607e+03,3.604362200140589501e+00
9.896256183962306750e+03,3.604362191616584443e+00
9.896256206818758073e+03,3.604362183092532312e+00
9.896256229675211216e+03,3.604362174568433108e+00
9.896256252531662540e+03,3.604362166044287275e+00
9.896256275388115682e+03,3.604362157520092591e+00
9.896256298244567006e+03,3.604362148995851278e+00
9.896256321101020148e+03,3.604362140471563336e+00
9.896256343957471472e+03,3.604362131947227876e+00
9.896256366813924615e+03,3.604362123422844455e+00
9.896256389670375938e+03,3.604362114898414404e+00
9.896256412526829081e+03,3.604362106373936392e+00
9.896256435383282223e+03,3.604362097849411306e+00
9.896256458239733547e+03,3.604362089324839591e+00
9.896256481096186690e+03,3.604362080800220358e+00
9.896256503952638013e+03,3.604362072275554496e+00
9.896256526809091156e+03,3.604362063750840228e+00
9.896256549665542479e+03,3.604362055226079775e+00
9.896256572521995622e+03,3.604362046701271360e+00
9.896256595378446946e+03,3.604362038176416760e+00
9.896256618234900088e+03,3.604362029651513755e+00
9.896256641091351412e+03,3.604362021126565452e+00
9.896256663947804554e+03,3.604362012601567855e+00
9.896256686804257697e+03,3.604362004076524517e+00
9.896256709660709021e+03,3.604361995551433218e+00
9.896256732517162163e+03,3.604361987026295289e+00
9.896256755373613487e+03,3.604361978501110730e+00
9.896256778230066629e+03,3.604361969975878210e+00
9.896256801086517953e+03,3.604361961450599949e+00
9.896256823942971096e+03,3.604361952925272838e+00
9.896256846799422419e+03,3.604361944399900430e+00
9.896256869655875562e+03,3.604361935874479617e+00
9.896256892512326885e+03,3.604361927349012618e+00
9.896256915368780028e+03,3.604361918823498545e+00
9.896256938225231352e+03,3.604361910297936955e+00
9.896256961081684494e+03,3.604361901772329180e+00
9.896256983938137637e+03,3.604361893246673443e+00
9.896257006794588960e+03,3.604361884720971521e+00
9.896257029651042103e+03,3.604361876195222081e+00
9.896257052507493427e+03,3.604361867669426456e+00
9.896257075363946569e+03,3.604361859143583313e+00
9.896257098220397893e+03,3.604361850617692653e+00
9.896257121076851035e+03,3.604361842091755808e+00
9.896257143933302359e+03,3.604361833565772777e+00
9.896257166789755502e+03,3.604361825039741341e+00
9.896257189646206825e+03,3.604361816513663719e+00
