Time (BJD_TBD - 2450000), L_e/L_star (ppm)
1.063802913587170406e+04,3.571625615776825668e+01
1.063802915770722029e+04,3.571754859316513375e+01
1.063802917954273653e+04,3.571884104291031292e+01
1.063802920137825458e+04,3.572013350711080193e+01
1.063802922321377082e+04,3.572142598555066684e+01
1.063802924504928706e+04,3.572271847833687275e+01
1.063802926688480511e+04,3.572401098557642740e+01
1.063802928872032135e+04,3.572530350705337554e+01
1.063802931055583758e+04,3.572659604287471069e+01
1.063802933239135564e+04,3.572788859314744059e+01
1.063802935422687187e+04,3.572918115765560287e+01
1.063802937606238811e+04,3.573047373650617686e+01
1.063802939789790616e+04,3.573176632980622713e+01
1.063802941973342240e+04,3.573305893733969185e+01
1.063802944156894046e+04,3.573435155932131835e+01
1.063802946340445669e+04,3.573564419553508031e+01
1.063802948523997293e+04,3.573693684608798549e+01
1.063802950707549098e+04,3.573822951108709844e+01
1.063802952891100722e+04,3.573952219031637867e+01
1.063802955074652346e+04,3.574081488388284811e+01
1.063802957258204151e+04,3.574210759189354292e+01
1.063802959441755775e+04,3.574340031413244390e+01
1.063802961625307398e+04,3.574469305070657299e+01
1.063802963808859204e+04,3.574598580172299478e+01
1.063802965992410827e+04,3.574727856696562611e+01
1.063802968175962451e+04,3.574857134654155288e+01
1.063802970359514256e+04,3.574986414055778994e+01
1.063802972543065880e+04,3.575115694879826833e+01
1.063802974726617686e+04,3.575244977147779224e+01
1.063802976910169309e+04,3.575374260838025009e+01
1.063802979093720933e+04,3.575503545961272778e+01
1.063802981277272738e+04,3.575632832528224014e+01
1.063802983460824362e+04,3.575762120517275378e+01
1.063802985644375985e+04,3.575891409939131904e+01
1.063802987827927791e+04,3.576020700804495078e+01
1.063802990011479415e+04,3.576149993091762980e+01
1.063802992195031038e+04,3.576279286811638514e+01
1.063802994378582844e+04,3.576408581974825296e+01
1.063802996562134467e+04,3.576537878559719275e+01
1.063802998745686091e+04,3.576667176577025486e+01
1.063803000929237896e+04,3.576796476037449679e+01
1.063803003112789520e+04,3.576925776919381406e+01
1.063803005296341325e+04,3.577055079244299662e+01
1.063803007479892949e+04,3.577184382990599687e+01
1.063803009663444573e+04,3.577313688168980832e+01
1.063803011846996378e+04,3.577442994790153108e+01
1.063803014030548002e+04,3.577572302832509621e+01
1.063803016214099625e+04,3.577701612306751855e+01
1.063803018397651431e+04,3.577830923223589821e+01
1.063803020581203054e+04,3.577960235561413782e+01
1.063803022764754678e+04,3.578089549330928065e+01
1.063803024948306484e+04,3.578218864542843392e+01
