Time (BJD_TBD - 2450000), L_e/L_star (ppm)
7.261143114311431418e+03,1.254560776708772210e+02
7.261146114611461599e+03,1.253988997625523751e+02
7.261149114911490869e+03,1.253411360069680285e+02
7.261152115211521050e+03,1.252827869559515221e+02
7.261155115511551230e+03,1.252238531669743367e+02
7.261158115811581411e+03,1.251643352030771865e+02
7.261161116111611591e+03,1.251042336328815026e+02
7.261164116411640862e+03,1.250435490306031880e+02
7.261167116711671042e+03,1.249822819759728674e+02
7.261170117011701223e+03,1.249204330543409611e+02
7.261173117311731403e+03,1.248580028565985174e+02
7.261176117611761583e+03,1.247949919791900726e+02
7.261179117911790854e+03,1.247314010241271518e+02
7.261182118211821034e+03,1.246672305989053626e+02
7.261185118511851215e+03,1.246024813166140035e+02
7.261188118811881395e+03,1.245371537958537971e+02
7.261191119111911576e+03,1.244712486607494242e+02
7.261194119411940846e+03,1.244047665409645731e+02
7.261197119711971027e+03,1.243377080716145002e+02
7.261200120012001207e+03,1.242700738933813511e+02
7.261203120312031388e+03,1.242018646524272043e+02
7.261206120612061568e+03,1.241330810004083531e+02
7.261209120912090839e+03,1.240637235944898720e+02
7.261212121212121019e+03,1.239937930972552778e+02
7.261215121512151200e+03,1.239232901768262138e+02
7.261218121812181380e+03,1.238522155067721542e+02
7.261221122112211560e+03,1.237805697661250832e+02
7.261224122412240831e+03,1.237083536393946872e+02
7.261227122712271012e+03,1.236355678164743210e+02
7.261230123012301192e+03,1.235622129927656658e+02
7.261233123312331372e+03,1.234882898690847242e+02
7.261236123612361553e+03,1.234137991516768835e+02
7.261239123912390824e+03,1.233387415522330741e+02
7.261242124212421004e+03,1.232631177877916997e+02
7.261245124512451184e+03,1.231869285808683543e+02
7.261248124812481365e+03,1.231101746593581368e+02
7.261251125112511545e+03,1.230328567565512543e+02
7.261254125412540816e+03,1.229549756111498056e+02
7.261257125712570996e+03,1.228765319671659597e+02
7.261260126012601177e+03,1.227975265740568318e+02
7.261263126312631357e+03,1.227179601866226193e+02
7.261266126612661537e+03,1.226378335650232856e+02
7.261269126912691718e+03,1.225571474747711136e+02
7.261272127212720989e+03,1.224759026867480287e+02
