Time (BJD_TBD - 2450000), L_g/L_star (ppm)
1.014846475676028786e+04,6.683957275268231739e-03
1.014846477763506118e+04,6.690092272209360001e-03
1.014846479850983269e+04,6.696230082510310280e-03
1.014846481938460602e+04,6.702370707235585229e-03
1.014846484025937934e+04,6.708514145852933520e-03
1.014846486113415085e+04,6.714660397827334343e-03
1.014846488200892418e+04,6.720809464226058100e-03
1.014846490288369569e+04,6.726961343979060565e-03
1.014846492375846901e+04,6.733116038156387699e-03
1.014846494463324234e+04,6.739273546220244000e-03
1.014846496550801385e+04,6.745433867635606921e-03
1.014846498638278717e+04,6.751597003475294512e-03
1.014846500725756050e+04,6.757762953201511269e-03
1.014846502813233201e+04,6.763931716273689602e-03
1.014846504900710534e+04,6.770103293767421385e-03
1.014846506988187866e+04,6.776277685147682334e-03
1.014846509075665017e+04,6.782454889871133638e-03
1.014846511163142350e+04,6.788634909016136657e-03
1.014846513250619500e+04,6.794817741501557942e-03
1.014846515338096833e+04,6.801003388411303030e-03
1.014846517425574166e+04,6.807191849196488932e-03
1.014846519513051317e+04,6.813383123324866057e-03
1.014846521600528649e+04,6.819577211872022808e-03
1.014846523688005982e+04,6.825774114297391594e-03
1.014846525775483133e+04,6.831973830057636206e-03
1.014846527862960465e+04,6.838176360239431664e-03
1.014846529950437798e+04,6.844381704293894982e-03
1.014846532037914949e+04,6.850589861683234125e-03
1.014846534125392282e+04,6.856800833488579938e-03
1.014846536212869432e+04,6.863014618628799843e-03
1.014846538300346765e+04,6.869231218182255197e-03
1.014846540387824098e+04,6.875450631605607189e-03
1.014846542475301248e+04,6.881672858363833273e-03
1.014846544562778581e+04,6.887897899532523585e-03
1.014846546650255914e+04,6.894125754571108801e-03
1.014846548737733065e+04,6.900356422939025666e-03
1.014846550825210397e+04,6.906589905717405026e-03
1.014846552912687548e+04,6.912826201822341345e-03
1.014846555000164881e+04,6.919065312337741025e-03
1.014846557087642213e+04,6.925307236717494902e-03
1.014846559175119364e+04,6.931551974423804871e-03
1.014846561262596697e+04,6.937799526537806113e-03
1.014846563350074030e+04,6.944049892516159818e-03
1.014846565437551180e+04,6.950303071815527173e-03
1.014846567525028513e+04,6.956559065522584934e-03
1.014846569612505846e+04,6.962817873093996024e-03
1.014846571699982997e+04,6.969079493978103633e-03
1.014846573787460329e+04,6.975343929272673736e-03
1.014846575874937480e+04,6.981611177879941225e-03
1.014846577962414813e+04,6.987881240894901723e-03
1.014846580049892145e+04,6.994154117768668771e-03
1.014846582137369296e+04,7.000429807955132339e-03
1.014846584224846629e+04,7.006708312543743870e-03
1.014846586312323961e+04,7.012989630991162820e-03
1.014846588399801112e+04,7.019273762748507069e-03
1.014846590487278445e+04,7.025560708907998414e-03
1.014846592574755778e+04,7.031850468923525090e-03
1.014846594662232928e+04,7.038143042243431152e-03
1.014846596749710261e+04,7.044438429965485179e-03
1.014846598837187412e+04,7.050736630994692417e-03
1.014846600924664745e+04,7.057037646420502575e-03
1.014846603012142077e+04,7.063341475699575975e-03
1.014846605099619228e+04,7.069648118283029629e-03
1.014846607187096561e+04,7.075957575263086205e-03
1.014846609274573893e+04,7.082269846090862714e-03
1.014846611362051044e+04,7.088584930220246522e-03
1.014846613449528377e+04,7.094902828746234985e-03
1.014846615537005709e+04,7.101223541119940780e-03
1.014846617624482860e+04,7.107547066789712299e-03
1.014846619711960193e+04,7.113873406856085005e-03
1.014846621799437344e+04,7.120202560215750480e-03
1.014846623886914676e+04,7.126534527972018876e-03
1.014846625974392009e+04,7.132869309570462162e-03
1.014846628061869160e+04,7.139206904462197349e-03
1.014846630149346493e+04,7.145547313744991282e-03
1.014846632236823825e+04,7.151890536872732192e-03
1.014846634324300976e+04,7.158236573285448739e-03
1.014846636411778309e+04,7.164585424091996120e-03
1.014846638499255641e+04,7.170937088740718390e-03
1.014846640586732792e+04,7.177291566671644210e-03
1.014846642674210125e+04,7.183648858993628775e-03
1.014846644761687276e+04,7.190008964600588109e-03
1.014846646849164608e+04,7.196371884598605322e-03
1.014846648936641941e+04,7.202737618430482894e-03
1.014846651024119092e+04,7.209106165544563148e-03
1.014846653111596424e+04,7.215477527046930059e-03
1.014846655199073757e+04,7.221851702383156463e-03
1.014846657286550908e+04,7.228228690996040505e-03
1.014846659374028241e+04,7.234608493997210336e-03
1.014846661461505573e+04,7.240991110829468440e-03
1.014846663548982724e+04,7.247376540935612961e-03
1.014846665636460057e+04,7.253764785430043271e-03
1.014846667723937207e+04,7.260155843195588779e-03
1.014846669811414540e+04,7.266549715349420943e-03
1.014846671898891873e+04,7.272946401328794601e-03
1.014846673986369024e+04,7.279345900576512235e-03
1.014846676073846356e+04,7.285748214209743570e-03
1.014846678161323689e+04,7.292153341668517266e-03
1.014846680248800840e+04,7.298561282395633204e-03
1.014846682336278172e+04,7.304972037502719534e-03
1.014846684423755323e+04,7.311385605875376885e-03
1.014846686511232656e+04,7.317801988630774981e-03
1.014846688598709989e+04,7.324221185206172130e-03
1.014846690686187139e+04,7.330643195044366477e-03
1.014846692773664472e+04,7.337068019265304171e-03
1.014846694861141805e+04,7.343495657303467962e-03
1.014846696948618956e+04,7.349926108601657730e-03
1.014846699036096288e+04,7.356359374277044935e-03
1.014846701123573621e+04,7.362795453772430325e-03
1.014846703211050772e+04,7.369234346522297516e-03
1.014846705298528104e+04,7.375676053652134231e-03
1.014846707386005255e+04,7.382120574033681527e-03
1.014846709473482588e+04,7.388567908789655039e-03
1.014846711560959920e+04,7.395018057362852913e-03
1.014846713648437071e+04,7.401471019187761367e-03
1.014846715735914404e+04,7.407926795387096905e-03
1.014846717823391737e+04,7.414385385395339673e-03
1.014846719910868887e+04,7.420846788655293021e-03
1.014846721998346220e+04,7.427311006286900497e-03
1.014846724085823553e+04,7.433778037730189026e-03
1.014846726173300704e+04,7.440247882416871003e-03
1.014846728260778036e+04,7.446720541477979197e-03
1.014846730348255187e+04,7.453196013779709618e-03
1.014846732435732520e+04,7.459674300453092433e-03
1.014846734523209852e+04,7.466155400932612124e-03
1.014846736610687003e+04,7.472639314655523529e-03
1.014846738698164336e+04,7.479126042744547488e-03
1.014846740785641668e+04,7.485615584639707457e-03
1.014846742873118819e+04,7.492107939769945477e-03
1.014846744960596152e+04,7.498603109271835022e-03
1.014846747048073485e+04,7.505101092571546915e-03
1.014846749135550635e+04,7.511601889109108948e-03
1.014846751223027968e+04,7.518105500012778331e-03
